number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
2280,Automatically identify the class name based on the specified line number.,Varniex,2024-12-16T10:28:40Z,2024-12-28T15:18:33+00:00,7,292.83,True,28,14,5,618,4,4,8,MERGED
2278,Have autoreload update shell namespace with reloaded module variables,3b1b,2024-12-13T19:05:07Z,2024-12-13T21:23:50+00:00,1,2.31,True,7,4,2,341,2,1,3,MERGED
2107,Update example_scenes.py,HarryE2009,2024-03-09T20:21:19Z,2024-09-06T16:24:41+00:00,2,4340.06,False,2,2,1,54,0,0,0,CLOSED
2057,add zorder to mobject,zhuanvi,2023-08-27T07:39:50Z,2024-09-06T17:11:40+00:00,1,9033.53,True,9,0,2,619,0,3,3,MERGED
2056,fix aspect_ratio other than 16:9 issue,zhuanvi,2023-08-27T06:02:19Z,2024-09-06T17:26:07+00:00,1,9035.4,True,27,6,3,444,0,0,0,MERGED
2044,added information for M1 Users,eivaremir,2023-07-16T17:20:58Z,2025-06-10T15:42:40+00:00,1,16678.36,True,6,1,1,192,0,1,1,MERGED
2028,Update installation.rst added FFmpeg install,rudransh61,2023-05-26T10:58:06Z,2024-01-01T20:55:18+00:00,2,5289.95,True,26,0,1,378,8,0,8,MERGED
1969,Make isinstance check work for python 3.7-3.9,sagelywizard,2023-01-22T20:32:17Z,2023-01-23T03:36:51+00:00,1,7.08,True,1,1,1,268,0,0,0,MERGED
1962,Updated tqdm to support also notebooks,LucaCappelletti94,2023-01-12T11:05:59Z,2023-01-13T16:09:14+00:00,1,29.05,True,3,3,3,388,0,0,0,MERGED
1932,Kill config,3b1b,2022-12-17T21:19:56Z,2022-12-18T18:27:15+00:00,2,21.12,True,3549,7020,77,330,3,1,4,MERGED
1927,Fix 2 typos,CaftBotti,2022-12-12T14:42:25Z,2022-12-13T06:57:37+00:00,1,16.25,True,2,2,1,123,1,0,1,MERGED
1913,Fix typo in vectorized_mobject.py,eltociear,2022-11-21T15:40:04Z,2022-12-13T06:57:23+00:00,1,519.29,True,1,1,1,34,0,0,0,MERGED
1872,"Fixing a typo (""termnial"" -> ""terminal"")",CheryX,2022-09-30T20:29:41Z,2022-10-01T08:07:09+00:00,1,11.62,True,2,2,2,152,1,0,1,MERGED
1862,Add `set_anim_args` to `.animate` method,widcardw,2022-09-11T03:15:17Z,2022-09-13T19:42:36+00:00,1,64.46,True,33,4,2,708,2,0,2,MERGED
