number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
1670,fix: 煎饺内容微调,LyInfi,2025-09-28T02:04:50Z,2025-09-28T03:16:46+00:00,1,1.2,True,1,0,1,328,0,0,0,MERGED
1665,add:添加了炒制糖色需要注意的一点内容,GoldenHoe,2025-09-14T03:30:01Z,2025-09-14T05:07:25+00:00,1,1.62,True,4,0,1,322,3,0,3,MERGED
1663,Add new recipe: 煎烤羊排,ceyang-201502223,2025-09-11T20:26:03Z,2025-09-12T04:07:01+00:00,1,7.68,True,53,1,2,409,0,0,0,MERGED
1657,Add scripts for app quick build / run,justbeay,2025-08-16T14:25:36Z,2025-08-16T17:18:58+00:00,1,2.89,False,95,0,2,322,2,0,2,CLOSED
1646,Update 龟苓膏.md,chenfy840,2025-07-12T01:21:40Z,2025-07-12T03:51:11+00:00,1,2.49,True,1,1,1,329,0,0,0,MERGED
1642,feat(油泼面): 添加陕西油泼面,Frank17008,2025-07-07T06:23:28Z,2025-07-08T04:56:24+00:00,1,22.55,True,77,0,3,5,0,0,0,MERGED
1634,Add recipe: 酒酿的做法,FionaHU1226,2025-06-28T13:10:34Z,2025-06-28T15:21:42+00:00,1,2.19,True,55,0,3,330,1,0,1,MERGED
1628,农家一碗香菜谱的错误,xiaoyu777-coder,2025-06-22T12:23:53Z,2025-06-23T03:45:17+00:00,1,15.36,True,1,1,1,328,1,0,1,MERGED
1626,新增油醋爆蛋,jjtheshy,2025-06-18T13:32:33Z,2025-06-20T04:37:02+00:00,1,39.07,True,43,0,1,322,1,0,1,MERGED
1623,"Add豉汁蒸白鱔 recipe with detailed ingredients, instructions, and tips",Sintsun,2025-06-14T20:48:25Z,2025-06-15T09:53:29+00:00,2,13.08,True,87,0,2,322,0,1,1,MERGED
1622,update docker run port,singleswill,2025-06-13T14:13:12Z,2025-06-13T19:19:02+00:00,1,5.1,True,1,1,1,322,0,0,0,MERGED
1621,修正Dockerfile的警告。使用nginx镜像，方便arm64环境执行。,googollee,2025-06-10T19:43:42Z,2025-06-11T04:59:39+00:00,1,9.27,True,4,4,1,322,1,0,1,MERGED
1619,Create 食材相克与禁忌,Bin-hy,2025-06-07T13:24:57Z,2025-07-01T15:47:31+00:00,1,578.38,True,68,0,1,341,2,0,2,MERGED
1614,Update 鸡蛋羹.md,gay-chicken,2025-06-06T21:05:49Z,2025-06-07T05:10:27+00:00,1,8.08,True,5,2,1,343,0,0,0,MERGED
1611,updated 电饭煲三文鱼炊饭,kanlo456,2025-06-05T19:36:44Z,2025-06-06T04:43:30+00:00,1,9.11,True,42,0,2,322,0,0,0,MERGED
1609,fix: 修改反式脂肪酸相关描述,alex3236,2025-06-04T17:12:44Z,2025-06-05T03:48:15+00:00,1,10.59,True,9,41,1,509,0,0,0,MERGED
1606,蒸水蛋=鸡蛋糕,joejztang,2025-06-03T20:27:26Z,2025-07-01T15:45:16+00:00,1,667.3,True,1,1,1,322,0,0,0,MERGED
1595,fix typo,fishshi,2025-05-19T05:52:06Z,2025-05-19T07:09:38+00:00,1,1.29,True,2,2,1,322,1,0,1,MERGED
1588,Create 3 vegetable_dishes,phyang-zero,2025-05-13T09:15:52Z,2025-05-13T13:47:53+00:00,1,4.53,True,136,0,3,322,0,0,0,MERGED
1587,Update manual_lint.js：重构校验脚本为模块化结构，提升可读性与可维护性；使用 path.resolve 统一管理 glob 路径，路径处理更安全。,phyang-zero,2025-05-13T09:12:47Z,2025-05-13T13:49:15+00:00,1,4.61,True,176,138,1,322,2,0,2,MERGED
1586,Create 凉拌豆腐.md,phyang-zero,2025-05-12T02:41:26Z,2025-05-12T06:31:13+00:00,1,3.83,True,55,0,1,322,0,0,0,MERGED
1583,完成PR1581中提到的合并两篇糖色的相关事项以及修复虎皮肘子,sin1111yi,2025-05-06T13:02:38Z,2025-05-06T14:11:46+00:00,2,1.15,True,15,7,3,322,0,0,0,MERGED
1581,添加虎皮肘子和炒糖色（shai，三声）的方法,sin1111yi,2025-05-05T14:11:26Z,2025-05-06T06:15:55+00:00,1,16.07,True,151,0,3,330,2,0,2,MERGED
1576,添加意式肉酱面,Samuel-233,2025-05-03T01:48:16Z,2025-05-03T04:59:07+00:00,1,3.18,True,59,1,6,322,1,0,1,MERGED
1574,add 蒜蓉空心菜,HydrogenSulfate,2025-05-02T17:10:06Z,2025-05-03T17:51:22+00:00,3,24.69,True,46,0,2,322,1,0,1,MERGED
1572,修改图片,foryond,2025-04-30T04:48:49Z,2025-04-30T08:07:07+00:00,1,3.31,True,37,1,3,322,0,0,0,MERGED
1566,添加python版的mcp插件,DusKing1,2025-04-26T08:29:10Z,2025-04-28T06:13:53+00:00,1,45.75,True,1,0,1,322,0,0,0,MERGED
1564,Update 食品安全.md （Fix #1260）,TheLittleStone-OvO,2025-04-26T04:23:23Z,2025-04-26T05:46:18+00:00,1,1.38,True,6,19,1,322,0,0,0,MERGED
1563,Update 懒人蛋挞.md,XiaoluoFoxington,2025-04-26T03:29:20Z,2025-04-26T05:42:56+00:00,1,2.23,True,1,1,1,322,2,0,2,MERGED
1549,补充空气炸锅常用食物参数建议,CharlessLi,2025-04-23T12:00:13Z,2025-04-23T13:28:22+00:00,1,1.47,True,36,0,1,330,2,0,2,MERGED
1538,Create 巴基斯坦牛肉咖喱.md,Rico00121,2025-04-20T23:40:47Z,2025-04-21T05:40:57+00:00,1,6.0,True,61,0,7,322,1,0,1,MERGED
1535,Update 食品安全.md 委托 Fix #1448，错误更新了 干煎阿根廷红虾 食谱 ,TheLittleStone-OvO,2025-04-20T09:46:40Z,2025-04-20T10:53:52+00:00,1,1.12,True,8,8,2,332,2,0,2,MERGED
1498,feat: 新增蒜香黄油虾菜谱,Moitr,2025-04-18T12:22:35Z,2025-04-18T13:55:23+00:00,1,1.55,True,51,1,4,322,2,0,2,MERGED
1497,Create 手抓饼.md,chenfy840,2025-04-18T12:12:57Z,2025-04-18T16:14:00+00:00,1,4.02,True,59,0,1,328,0,0,0,MERGED
1446,Create 粉蒸肉.md,phyang-zero,2025-04-15T13:37:22Z,2025-04-16T05:27:35+00:00,1,15.84,True,61,0,1,322,1,0,1,MERGED
1444,Create 牛排.md,NomotoK,2025-04-15T09:12:30Z,2025-04-17T09:39:05+00:00,1,48.44,True,105,0,2,331,1,0,1,MERGED
1443,Create 蚂蚁上树.md,phyang-zero,2025-04-15T08:54:05Z,2025-04-15T12:38:21+00:00,1,3.74,True,53,0,1,322,1,0,1,MERGED
1440,增加贵州辣子鸡,iam-xiaogang,2025-04-15T04:04:52Z,2025-04-15T06:28:25+00:00,1,2.39,True,64,0,3,330,2,0,2,MERGED
1437,Update 回锅肉.md,HosisoraLing,2025-04-14T18:31:15Z,2025-04-19T05:00:26+00:00,1,106.49,True,5,4,1,322,1,0,1,MERGED
1432,Update 食品安全.md ： 所有菌类长时间泡发均有中毒风险 Update,TheLittleStone-OvO,2025-04-13T00:58:42Z,2025-04-13T05:41:27+00:00,1,4.71,True,1,1,1,325,0,0,0,MERGED
1426,重构了指尖量水法的表述不清的句子,Kevin-O-Hsu,2025-03-26T04:48:14Z,2025-03-26T13:39:00+00:00,1,8.85,True,2,2,1,425,2,0,2,MERGED
1424,chore: 更新 GitHub Actions 工作流，添加 Docker Buildx 支持并构建多架构 Docker 镜像,lihuacai168,2025-03-25T17:24:45Z,2025-04-23T10:25:21+00:00,1,689.01,False,17,5,1,322,0,0,0,CLOSED
1419,feat: 海边落日酒品提交,JCYTopWorld,2025-02-20T06:53:58Z,2025-02-22T10:34:24+00:00,1,51.67,True,66,0,2,322,0,0,0,MERGED
1417,feat: 完美水煮蛋,deventw,2025-02-13T16:26:39Z,2025-02-14T04:42:51+00:00,1,12.27,True,51,4,3,322,1,0,1,MERGED
1409,Create 羊肉汤.md,zhangfangbiao,2025-01-21T09:11:49Z,2025-01-21T12:39:00+00:00,1,3.45,True,49,0,2,322,1,0,1,MERGED
