number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
66,fix: resolve hydration error,iFwu,2023-03-27T09:50:26Z,2023-03-27T13:59:19+00:00,2,4.15
96,1,01121531,2023-03-28T09:16:37Z,2023-03-28T10:52:07+00:00,3,1.59
148,supports the display of line breaks in Markdown,12og3r,2023-03-29T08:29:06Z,2023-03-29T10:05:53+00:00,3,1.61
193,feat: import ramarkBreaks plugin,12og3r,2023-03-30T02:02:44Z,2023-03-30T04:19:53+00:00,4,2.29
234,feat: support history message count to zero,GOWxx,2023-03-30T10:51:56Z,2023-03-30T16:56:57+00:00,1,6.08
259,Update: locales in spanish,DanielRondonGarcia,2023-03-31T00:54:21Z,2023-03-31T08:45:29+00:00,1,7.85
313,feat: add editable mode ,12og3r,2023-04-01T07:14:17Z,2023-04-05T20:12:39+00:00,2,108.97
318,feat: textarea with adaptive height,leedom92,2023-04-01T09:36:36Z,2023-04-07T17:01:52+00:00,1,151.42
355,fix: fix history message count,cesaryuan,2023-04-02T11:43:32Z,2023-04-02T13:42:46+00:00,4,1.99
493,Added support for Arabic language and right-to-left direction,Zizwar,2023-04-05T06:12:25Z,2023-06-24T04:19:08+00:00,2,1918.11
800,Update tw.ts,jtung4,2023-04-14T08:11:50Z,2023-04-14T11:21:24+00:00,1,3.16
935,Add Azure OpenAI API support.,realDuang,2023-04-19T12:19:58Z,2023-11-09T18:44:10+00:00,3,4902.4
993,v2.0 Prompt Templates,Yidadaa,2023-04-21T17:18:11Z,2023-04-27T17:23:43+00:00,1,144.09
1065,Add Norwegian translation,perandre,2023-04-24T20:59:37Z,2023-06-16T16:33:26+00:00,2,1267.56
1092,Add a description for the analytics function of the Vercel platform,E-lemon,2023-04-26T01:35:32Z,2023-05-04T06:56:24+00:00,1,197.35
1132,完善会话默认选中的逻辑、修复标题错误的问题,jinmiaoluo,2023-04-28T04:50:38Z,2023-05-01T15:46:51+00:00,5,82.94
1152,Improve the UX when delete ChatItem,zZOMZz,2023-04-28T17:52:06Z,2023-05-01T15:46:34+00:00,1,69.91
