number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
315,Added C++ Cheat Sheet for Interview,awalrujaa,2024-05-13T05:05:09Z,2025-01-05T13:52:32+00:00,1,5696.79,False,1,0,1,383,3,0,3,CLOSED
252,Added `Design patterns` link,Rafat97,2021-11-21T04:12:31Z,2023-05-05T14:14:09+00:00,1,12730.03,False,3,1,2,64,4,0,4,CLOSED
250,Added `reactJS` interview question,Rafat97,2021-11-11T20:55:28Z,2021-11-16T18:04:50+00:00,2,117.16,True,1,0,1,0,0,0,0,MERGED
249,Added  `nodejs`  Interview Questions link,Rafat97,2021-11-06T15:01:25Z,2021-11-16T18:05:32+00:00,1,243.07,True,1,0,1,188,0,0,0,MERGED
248,Update README.md,Ebennetteng,2021-10-26T14:13:03Z,2021-11-16T18:05:38+00:00,1,507.88,True,5,8,1,58,0,0,0,MERGED
247,Top Questions and Answer of Angular in 2021,akbarsaputrait,2021-10-23T11:34:28Z,2021-11-16T18:05:56+00:00,1,582.52,True,1,0,1,0,0,0,0,MERGED
245,Added docker interview questions resource page,cloudytech147,2021-10-09T13:56:32Z,2021-11-16T18:45:23+00:00,1,916.81,True,1,0,1,99,0,0,0,MERGED
244,Added resource page,cloudytech147,2021-10-08T12:59:35Z,2021-11-16T18:45:13+00:00,1,941.76,True,1,0,1,74,0,0,0,MERGED
243,Update interview handbook websites,yangshun,2021-09-19T11:01:27Z,2021-11-16T18:12:12+00:00,1,1399.18,True,5,5,1,110,0,0,0,MERGED
241,Useful Link,sukanya-pai,2021-08-14T17:40:24Z,2021-11-16T18:05:15+00:00,1,2256.41,True,1,0,1,0,0,0,0,MERGED
240,Update List of Java programs for interview,thecoder8890,2021-07-15T05:24:07Z,2021-08-04T03:23:10+00:00,1,477.98,True,1,0,1,48,0,0,0,MERGED
237,Adding Spark Resource,ankurchavda,2021-07-02T13:40:03Z,2021-08-04T03:25:23+00:00,1,781.76,True,5,0,1,199,0,0,0,MERGED
236,add: Docker interview questions and answers link,akiffeyzioglu,2021-06-21T08:51:56Z,2021-08-04T03:28:22+00:00,1,1050.61,True,1,0,1,57,0,0,0,MERGED
235,Adds VueJs section,eugenekulikou,2021-06-08T16:28:34Z,2021-08-04T03:32:32+00:00,3,1355.07,True,4,0,1,117,0,2,2,MERGED
234,"Added New Resource for Android, Networking, etc",Prasanthpadp,2021-05-31T09:22:46Z,2021-08-04T03:34:09+00:00,1,1554.19,True,3,0,1,68,0,0,0,MERGED
233,Added New Resource To Android,Prasanthpadp,2021-05-18T11:25:21Z,2021-08-04T03:27:37+00:00,1,1864.04,True,1,0,1,97,0,0,0,MERGED
232,docs: update years in titles of Python and Data Science,Lance0218,2021-04-28T08:52:07Z,2021-08-04T03:26:09+00:00,1,2346.57,True,2,2,1,181,0,0,0,MERGED
230,Added android interview questions,akhilesh0707,2021-04-13T19:33:00Z,2021-04-19T02:19:16+00:00,1,126.77,True,3,0,1,33,0,0,0,MERGED
228,Added github repo link for JavaScript,sadanandpai,2021-03-13T12:44:51Z,2021-03-22T07:05:47+00:00,1,210.35,True,1,0,1,70,0,0,0,MERGED
227,"New resources for HTML, C, C#, Nodejs, & Docker",Prasanthpadp,2021-03-11T13:40:42Z,2021-03-29T12:03:31+00:00,1,430.38,True,5,0,1,93,0,0,0,MERGED
226,Correction of python  interview questions count in README.md,kishanmadhu,2021-02-11T05:45:21Z,2021-03-22T07:09:38+00:00,2,937.4,True,1,1,1,40,0,0,0,MERGED
224,added one more resource in data structures section,msumeet,2021-02-03T07:52:57Z,2021-03-02T03:04:37+00:00,1,643.19,True,2,0,1,0,1,0,1,MERGED
217,Fixed broken link for Pangara's WP questions,bnrosa,2020-10-03T14:48:37Z,2021-03-02T03:05:11+00:00,3,3588.28,True,1,1,1,77,1,0,1,MERGED
216,Adding important Ionic Questions.,GoGi2712,2020-10-02T05:22:12Z,2021-03-02T03:05:39+00:00,2,3621.72,True,3,0,1,35,2,0,2,MERGED
