number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
10533,fix: resolve Zmodem file transfer corruption on Ubuntu 24.04,midlaj-muhammed,2025-06-08T13:13:35Z,2025-06-09T14:34:41+00:00,1,25.35,False,205,560,4,2913,2,2,4,CLOSED
9891,Fix Issue #4946 Basic folder upload for sftp electron.,marko1616,2024-08-21T05:56:58Z,2024-08-24T21:49:47+00:00,2,87.88,True,141,23,7,1059,6,7,13,MERGED
9749,wsl: Get the distro icon from the package family name,microhobby,2024-07-01T02:18:39Z,2024-07-09T08:04:05+00:00,3,197.76,True,54,3,4,236,1,2,3,MERGED
9624,add setting to hide tray (menubar for macos),C41M50N,2024-05-07T16:16:05Z,2024-06-19T10:20:24+00:00,1,1026.07,True,20,1,4,95,7,1,8,MERGED
8726,Various fix/enhancement about Profiles,Clem-Fern,2023-07-20T18:42:44Z,2023-08-25T21:36:46+00:00,11,866.9,True,775,263,39,1070,16,9,25,MERGED
8707,Implement Window Controls Overlay,ferothefox,2023-07-14T07:21:10Z,2023-07-16T21:02:59+00:00,3,61.7,True,80,23,8,2147,10,4,14,MERGED
8589,Feat #6518: add disconnect current tab hotkey and context menu item,Clem-Fern,2023-06-15T19:38:19Z,2023-06-16T16:08:11+00:00,1,20.5,True,66,8,7,687,3,2,5,MERGED
8285,Bump @vaadin/vaadin-context-menu from 5.0.0 to 23.3.11 in /tabby-web,dependabot,2023-04-24T04:35:48Z,2023-05-01T05:03:53+00:00,1,168.47,False,150,88,2,2606,1,0,1,CLOSED
8206,[feature] add configurable behavior when session ends,Clem-Fern,2023-04-12T22:06:27Z,2023-04-24T04:07:07+00:00,6,270.01,True,120,52,8,463,2,3,5,MERGED
8042,Bump @types/node from 16.0.1 to 18.14.6 in /tabby-ssh,dependabot,2023-03-06T05:05:10Z,2023-04-13T05:00:10+00:00,1,911.92,False,5,5,2,1404,1,0,1,CLOSED
