number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
6344,Enable Presentation API on virtual display so apps with dual-screen support can use it as extended display,DavidRGriswold,2025-09-11T12:54:59Z,2025-09-13T14:26:49+00:00,2,49.53,False,3,2,1,1256,15,1,16,CLOSED
6129,Run a main looper,rom1v,2025-06-05T18:42:33Z,2025-06-11T15:49:59+00:00,2,141.12,True,67,281,5,243,0,1,1,MERGED
6107,Add app name SDL hint,ColinKinloch,2025-05-22T18:23:21Z,2025-06-05T18:06:20+00:00,4,335.72,False,19,0,2,104,1,2,3,CLOSED
6079,fix zsh completion file,hltdev8642,2025-05-09T13:42:32Z,2025-05-22T18:02:16+00:00,2,316.33,False,29,29,1,135,2,1,3,CLOSED
6009,Associate UHID devices to displays on Android 15,yume-chan,2025-04-16T06:38:03Z,2025-06-05T18:35:54+00:00,2,1211.96,False,78,29,5,773,22,1,23,CLOSED
5703,Sets the policy for how the display should show IME.,Mr-JingShi,2024-12-25T07:39:30Z,2025-02-22T10:06:33+00:00,6,1418.45,False,219,9,15,80,8,3,11,CLOSED
5697,Support older macOS versions in CI build,yume-chan,2024-12-22T17:20:28Z,2024-12-23T10:58:57+00:00,2,17.64,False,14,0,1,263,1,1,2,CLOSED
5669,Get camera list from camera service directly,yume-chan,2024-12-15T16:02:13Z,2024-12-23T10:00:09+00:00,3,185.97,False,210,39,6,348,10,2,12,CLOSED
5644,Add AV1 decoder in release builds,rom1v,2024-12-09T17:39:10Z,2024-12-09T21:50:34+00:00,2,4.19,True,76,5,5,894,10,2,12,MERGED
5455,On-device OpenGL video filters,rom1v,2024-11-07T09:26:35Z,2024-11-20T06:49:01+00:00,4,309.37,True,1924,587,37,5792,37,8,45,MERGED
5332,Upgrade FFmpeg (7.1) for Windows,backryun,2024-10-01T19:17:34Z,2024-11-20T07:25:43+00:00,1,1188.14,False,4,4,2,28,1,0,1,CLOSED
5270,Add gamepad support,rom1v,2024-09-06T21:18:15Z,2024-09-15T19:17:54+00:00,5,213.99,True,2460,469,58,1451,28,4,32,MERGED
5175,[feat] add support to create virtual display,rsanjuan87,2024-08-06T21:44:47Z,2024-10-29T00:33:09+00:00,1,1994.81,False,334,62,23,124,1,2,3,CLOSED
5014,Add --root option to bypass AID_SHELL secure display restriction starting in A12,Giantvince1,2024-06-23T00:21:08Z,2024-07-11T00:29:04+00:00,15,432.13,False,65,18,16,1232,9,11,20,CLOSED
4930,Fix: the server stopped when requesting the maximum integer value(2147483647) for 'videoBitRate',kyoung-mo-yang,2024-05-16T07:04:22Z,2024-05-28T02:39:52+00:00,3,283.59,False,26,2,2,567,0,2,2,CLOSED
4830,feat: boss key,hax0r31337,2024-04-09T11:51:26Z,2024-04-10T13:16:06+00:00,1,25.41,False,97,36,6,178,1,1,2,CLOSED
4713,Build all dependencies for Windows releases,rom1v,2024-03-01T19:03:23Z,2024-03-02T21:53:50+00:00,3,26.84,True,348,184,15,521,4,2,6,MERGED
4473,[WIP] UHID mouse/keyboard input,yume-chan,2023-11-28T09:26:26Z,2024-02-29T23:56:27+00:00,8,2246.5,False,1200,251,38,1961,29,3,32,CLOSED
4469,Restart capture when screen resolution changes,yume-chan,2023-11-27T09:08:20Z,2024-11-03T07:35:52+00:00,2,8206.46,False,114,36,4,469,15,1,16,CLOSED
4373,Some more small fixes,rootkea,2023-10-24T13:25:15Z,2023-10-24T21:28:16+00:00,2,8.05,False,12,15,5,128,7,2,9,CLOSED
4213,Add option to mirror camera,yume-chan,2023-08-03T06:39:56Z,2023-11-01T17:57:18+00:00,4,2171.29,False,924,274,15,200,38,4,42,CLOSED
4154,Add Socket for standalone server,trickymagus,2023-07-10T21:44:42Z,2025-09-25T19:34:20+00:00,1,19389.83,False,156,24,3,363,1,1,2,CLOSED
4130,Add --pause-on-exit to simplify launchers,rom1v,2023-06-29T19:47:01Z,2023-10-11T07:45:04+00:00,1,2483.97,True,127,11,8,774,2,1,3,MERGED
4005,Installing on Windows with winget,TrangOul,2023-05-16T10:54:07Z,2023-05-17T17:37:29+00:00,4,30.72,False,9,1,1,0,2,1,3,CLOSED
3979,Notify ScreenEncoder when a folding event occurs,AdoPi,2023-05-07T20:17:03Z,2023-06-01T07:20:48+00:00,1,587.06,False,72,1,4,515,3,1,4,CLOSED
3895,Get better OpenGL version than 2.1 on macOS,metayan,2023-04-05T14:34:06Z,2023-04-12T19:29:12+00:00,3,172.92,False,24,0,2,688,9,2,11,CLOSED
3721,Add GitHub actions for scrcpy server,qmfrederik,2023-02-05T14:52:23Z,2024-09-19T12:53:57+00:00,4,14206.03,False,17,0,2,283,4,2,6,CLOSED
3704,Fix chrome when --forward-all-clicks is enabled,rom1v,2023-01-29T22:20:00Z,2023-01-30T19:59:36+00:00,2,21.66,True,112,14,10,749,5,1,6,MERGED
3592,Use current adb port (if any) for --tcpip,rom1v,2022-11-24T08:13:19Z,2022-12-02T18:13:10+00:00,1,202.0,False,0,0,0,465,1,0,1,CLOSED
3547,Support wchar_t in argv in windows,npes87184,2022-10-23T06:21:04Z,2022-10-25T20:05:58+00:00,2,61.75,False,53,2,1,242,6,1,7,CLOSED
3523,Add -s auto-complete option,animaone,2022-10-07T14:27:17Z,2022-10-15T12:35:40+00:00,2,190.14,False,6,2,2,68,4,2,6,CLOSED
3369,Support smooth scrolling on notebook touchpads.,yume-chan,2022-07-06T05:36:21Z,2022-08-28T13:46:45+00:00,11,1280.17,False,98,29,10,284,8,3,11,CLOSED
3351,Desktop entry file for Linux app launchers #295,yan12125,2022-06-27T03:45:20Z,2022-09-09T17:09:46+00:00,1,1789.41,False,41,3,3,248,15,1,16,CLOSED
3341,Support Kitkat,consp1racy,2022-06-20T08:49:22Z,2025-09-18T17:17:01+00:00,8,28472.46,False,789,41,27,676,7,4,11,CLOSED
3177,Many improvements to documentation,Gitoffthelawn,2022-04-10T15:45:54Z,2022-04-22T07:30:43+00:00,12,279.75,False,71,72,1,98,3,7,10,CLOSED
3174,Fix a few minor README issues,JohnVeness,2022-04-09T14:46:18Z,2022-04-14T08:19:29+00:00,4,113.55,False,5,5,1,114,3,3,6,CLOSED
