number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
174,Made Updates.,PoojanKumar-lab,2025-08-09T05:48:16Z,2025-08-22T14:35:57+00:00,3,320.79,False,3,1,2,52,1,0,1,CLOSED
165,Update README.md - Adding Cybersources,bst04,2024-12-28T13:16:34Z,2025-01-18T01:48:02+00:00,23,492.52,True,1,0,1,102,8,2,10,MERGED
162,Add crypto_pkg,LucaBonamino,2024-06-10T20:22:08Z,2024-08-22T10:35:13+00:00,19,1742.22,False,1,0,1,36,4,1,5,CLOSED
161,Update README.md with BadUSB Scripts,MarkCyber,2024-05-26T16:35:58Z,2024-08-22T10:35:48+00:00,9,2106.0,False,1,0,1,505,8,0,8,CLOSED
156,Added the Cyberlopaedia,cr0mll,2023-12-21T08:08:24Z,2024-08-22T10:36:18+00:00,13,5882.47,False,1,0,1,0,3,1,4,CLOSED
154,Added CyberChef,LucEast,2023-12-01T19:53:00Z,2024-08-22T10:49:49+00:00,7,6350.95,False,1,0,1,280,3,1,4,CLOSED
152,feat: add new useful repository for pentest (Cognito Scanner),cfpadok,2023-08-08T10:17:20Z,2024-04-13T12:11:47+00:00,10,5977.91,False,1,0,1,138,3,2,5,CLOSED
151,Suggestion to add iSpy to `Awesome Repositories` list.,Dashbloxx,2023-07-31T14:23:14Z,2023-12-10T07:33:24+00:00,1,3161.17,False,1,0,1,87,4,0,4,CLOSED
150,Rewrite properly,mohitdamke,2023-07-18T13:50:04Z,2023-12-10T07:31:15+00:00,4,3473.69,False,12,10,1,64,1,1,2,CLOSED
149,my new contribution,RupeshKotal,2023-07-05T19:18:28Z,2023-12-10T07:29:51+00:00,8,3780.19,False,2,0,1,54,1,1,2,CLOSED
145,Add IPRanges repo,lord-alfred,2023-03-05T23:54:20Z,2023-03-30T04:23:08+00:00,2,580.48,False,1,0,1,121,2,0,2,CLOSED
144,Various fixes and additions,projectdp,2023-01-09T11:12:20Z,2024-08-22T10:37:33+00:00,21,14183.42,False,93,78,2,307,12,2,14,CLOSED
143,awsome has been changed to Awesome,Ashikur88,2022-11-07T16:35:17Z,2023-12-10T07:26:49+00:00,3,9542.86,False,13,13,1,100,0,2,2,CLOSED
140,Add files via upload,Saeedalbaji,2022-07-01T18:42:18Z,2022-07-03T10:53:17+00:00,4,40.18,False,0,0,1,0,3,0,3,CLOSED
139,Update README.md,shri142,2022-06-30T08:29:11Z,2022-08-27T11:28:04+00:00,5,1394.98,False,3,0,1,74,9,0,9,CLOSED
138,Capitalize headers to follow common styling,TLC-10,2022-06-30T00:01:22Z,2023-12-10T07:26:11+00:00,11,12679.41,True,2,2,1,90,2,2,4,MERGED
137,Add daily updated CVE PoC repository by Trickest,mihailotomic,2022-03-07T18:09:13Z,2023-12-10T07:24:03+00:00,7,15421.25,True,1,0,1,0,2,1,3,MERGED
136,Create PayPal INC Support,Lesliemicheal111,2022-02-17T22:31:19Z,2022-08-27T11:23:20+00:00,2,4572.87,False,21,0,1,0,2,0,2,CLOSED
135,Create ayden lewis,aydenlewis112,2022-02-14T00:27:41Z,2022-08-27T11:22:43+00:00,2,4666.92,False,1,0,1,7,0,0,0,CLOSED
134,added awesome-rtc-hacking to the list,sandrogauci,2022-02-09T06:49:12Z,2022-08-27T11:22:09+00:00,3,4780.55,True,1,0,1,0,3,0,3,MERGED
133,Update README.md,W00t3k,2022-02-05T12:34:18Z,2024-04-13T12:06:04+00:00,19,19151.53,False,2,1,1,53,6,5,11,CLOSED
132,add awesome-rl-for-cybersecurity,Limmen,2021-12-16T12:21:21Z,2022-08-27T11:18:00+00:00,4,6094.94,True,2,1,1,0,4,1,5,MERGED
130,https://www.facebook.com/profile.php?id=100049332442397,shilpiboksi,2021-08-08T13:20:17Z,2021-10-18T13:42:29+00:00,1,1704.37,False,21,0,1,8,1,0,1,CLOSED
123,Create DDOS file,FRIZDESIGN,2021-03-26T23:52:18Z,2021-07-31T15:58:11+00:00,2,3040.1,False,1,0,1,0,0,0,0,CLOSED
96,Smart hacking,ahmadjaniyyyy,2020-05-18T05:19:40Z,2020-05-29T11:42:06+00:00,2,270.37,False,1,0,1,22,4,0,4,CLOSED
86,awesome embedded and IoT security list,0xricksanchez,2020-03-28T12:46:25Z,2020-04-21T13:27:30+00:00,2,576.68,True,1,0,1,39,2,0,2,MERGED
74,Adding some useful resources and tools,SofianeHamlaoui,2020-02-14T20:05:34Z,2020-03-17T19:06:46+00:00,2,767.02,False,4,0,1,323,0,0,0,CLOSED
72,Update README.md,samanL33T,2020-01-02T14:06:37Z,2020-04-21T13:29:28+00:00,2,2639.38,True,1,0,1,31,4,0,4,MERGED
55,Remove link to Malware Scripts due to 404,teejayen,2019-10-02T10:57:24Z,2019-10-03T15:21:17+00:00,2,28.4,True,0,1,1,63,0,0,0,MERGED
54,Added link to Awesome-Asset-Discovery,teejayen,2019-10-02T10:46:16Z,2019-10-03T15:22:23+00:00,1,28.6,True,1,0,1,95,0,0,0,MERGED
52,Fixed gray-hacker-resources broken link,schneiderl,2019-07-19T17:52:59Z,2019-07-31T16:43:23+00:00,1,286.84,True,1,1,1,0,1,0,1,MERGED
50,Add: hacker-roadmap awesome repository,sundowndev,2019-04-13T21:51:32Z,2019-04-26T03:31:38+00:00,1,293.67,True,1,0,1,0,1,0,1,MERGED
48,Added the awesome-serverless-security repo,oorryy,2019-02-03T20:48:34Z,2019-02-09T09:00:42+00:00,1,132.2,True,1,0,1,0,1,0,1,MERGED
45,Update README.md,B-kay,2018-10-31T07:17:25Z,2018-11-07T12:06:14+00:00,1,172.81,False,1,0,1,46,0,1,1,CLOSED
42,README.md: header level should increment by 1,bekicot,2018-10-15T22:53:28Z,2018-10-25T06:33:58+00:00,1,223.68,True,4,4,1,37,0,0,0,MERGED
41,Added the How2Heap repository to the list of awesome repos,RMichelsen,2018-10-07T23:29:11Z,2021-07-31T15:43:21+00:00,3,24664.24,False,1,0,1,60,2,0,2,CLOSED
