number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
728,Update Li Hongyi's machine learning to the latest version,Riyasushin,2025-03-31T15:32:44Z,2025-06-08T03:08:50+00:00,2,1643.6,True,10,6,2,90,1,1,2,MERGED
724,[COURSE] Add KAIST CS220,TephrocactusMYC,2025-03-24T10:55:28Z,2025-03-24T13:34:31+00:00,1,2.65,True,49,0,3,72,2,1,3,MERGED
699,[COURSE] Add MIT6.100L,Alidme,2025-01-22T16:51:49Z,2025-01-24T14:43:12+00:00,5,45.86,True,50,0,3,51,1,4,5,MERGED
697,[BOOK] Update book recommendations,PEGASUS1993,2025-01-15T14:00:45Z,2025-02-21T01:30:20+00:00,3,875.49,True,2,2,1,262,1,1,2,MERGED
632,[COURSE] Add KAIST CS420: Compiler Design,zijian-yi,2024-07-03T22:32:11Z,2024-07-22T03:52:36+00:00,2,437.34,True,45,0,3,0,0,6,6,MERGED
627,[ENHANCE] Add resources for CS106B/X,Andy-xiaokang,2024-06-15T08:44:39Z,2024-06-16T05:50:52+00:00,2,21.1,True,26,7,2,36,0,3,3,MERGED
615,[COURSE] Add Cambridge: Semantics of Programming Languages,YunkaiZhang233,2024-05-20T17:40:49Z,2024-05-21T11:14:50+00:00,1,17.57,True,49,0,3,0,1,4,5,MERGED
612,[COURSE] MIT 6.031: Add spring 2022,WaterLemons2k,2024-05-13T10:24:34Z,2024-05-14T03:29:19+00:00,1,17.08,True,2,2,2,69,0,1,1,MERGED
610,[COURSE] Add MIT 6.092: Introduction To Programming In Java,CrewMoon,2024-05-07T05:06:15Z,2024-05-08T03:47:55+00:00,1,22.69,True,77,0,5,259,2,5,7,MERGED
579,[COURSE] Add NJU Compiler Course,TekkenSteve,2024-03-30T11:57:07Z,2024-03-31T08:26:19+00:00,5,20.49,True,73,0,3,0,0,8,8,MERGED
556,[COURSE] Add USTC Graphics Course,Michael-Jetson,2024-01-24T14:03:48Z,2024-01-25T16:09:19+00:00,3,26.09,True,45,2,5,0,1,6,7,MERGED
540,[Translate] translate CS188/Docker/GUN_Make,nzomi,2023-12-14T10:19:40Z,2023-12-15T05:45:13+00:00,1,19.43,True,48,0,3,0,1,1,2,MERGED
493,[COURSE] Add Stanford CS242,Qi-Zhan,2023-08-16T16:44:59Z,2023-08-17T11:29:11+00:00,2,18.74,True,93,0,3,19,1,3,4,MERGED
490, [COURSE] Add Cornell University CS3110 ,featherwit001,2023-08-15T10:52:27Z,2023-08-15T13:32:02+00:00,1,2.66,True,69,0,3,177,3,2,5,MERGED
484,[COURSE] Add UCB-Sysadmin-DeCal,TephrocactusMYC,2023-07-25T05:56:35Z,2023-08-08T14:51:01+00:00,1,344.91,True,24,0,2,177,1,1,2,MERGED
476,[COURSE] Add UMich EECS 498-007: Deep Learning for Computer Vision,xzhseh,2023-07-02T18:08:40Z,2023-07-03T15:15:16+00:00,1,21.11,True,111,0,4,678,4,1,5,MERGED
468,[COURSE] Add Computer Architecture 227-2210-00L and Digital Design and Computer Architecture 252-0028-00L,TephrocactusMYC,2023-06-13T17:47:54Z,2023-06-30T09:32:59+00:00,1,399.75,True,35,4,3,230,7,3,10,MERGED
464,[COURSE] Add UW–Madison CS571 for Web/Mobile Development,alicia-lyu,2023-06-07T02:43:57Z,2023-06-08T10:41:57+00:00,2,31.97,True,51,0,3,607,2,1,3,MERGED
454,[ENHANCE]Course `The Missing Semester` Chinese subtitles video group added. The hope of end!,ulic-youthlic,2023-05-22T16:14:20Z,2023-05-24T10:59:16+00:00,2,42.75,False,4,1,2,128,2,1,3,CLOSED
432,[TOOLS] add draw.io,vollate,2023-04-07T11:24:00Z,2023-04-07T12:37:09+00:00,1,1.22,True,1,0,1,0,0,1,1,MERGED
404,[TRANSLATE] Translated LaTeX.md,georgel2020,2023-02-07T06:38:17Z,2023-02-08T02:09:31+00:00,1,19.52,False,30,0,1,161,0,2,2,CLOSED
387,"[COURSE] Harvard CS50P, MIT6.006, and MIT6.046",taylover2016,2023-01-16T08:18:28Z,2023-01-18T03:29:29+00:00,3,43.18,True,133,4,9,274,0,1,1,MERGED
384,[TRANSLATION] translate CS229.md and add a missing translation in Vim.en.md,smxm,2023-01-12T08:47:57Z,2023-01-18T03:31:24+00:00,1,138.72,True,43,21,14,0,0,4,4,MERGED
376,[TRANSLATE] Haskell MOOC,LingkKang,2022-12-31T03:01:10Z,2023-01-04T14:50:52+00:00,2,107.83,True,39,1,2,0,0,4,4,MERGED
372,[UPDATE] Add some LaTeX resources,FDUZS,2022-12-29T06:44:35Z,2023-01-03T03:18:22+00:00,1,116.56,True,9,1,1,0,0,2,2,MERGED
368,[TOOLS] Add PlantUML,MedivhGO,2022-12-28T03:57:10Z,2022-12-28T12:34:03+00:00,2,8.61,True,1,0,1,0,0,1,1,MERGED
367,添加函数式编程课程 Haskell MOOC,showthesunli,2022-12-26T15:51:38Z,2022-12-27T11:00:04+00:00,1,19.14,True,39,0,2,10,2,2,4,MERGED
348,[NEW] Information retrieval tutorial,wuqi,2022-12-06T02:10:21Z,2022-12-23T03:22:50+00:00,1,409.21,True,123,0,2,6,2,4,6,MERGED
346,[TOOLS]: Add new tool websites,Koril33,2022-12-05T12:22:49Z,2022-12-05T13:47:12+00:00,1,1.41,True,4,1,1,0,0,1,1,MERGED
343,[UPDATE] Add resources in CS110L,fung-hwang,2022-12-04T13:22:24Z,2022-12-04T17:41:30+00:00,2,4.32,True,4,0,2,19,0,2,2,MERGED
326,[TRANSLATE] Translate Harvard's AI Course,unknown,2022-11-22T22:21:25Z,2022-11-30T02:50:26+00:00,1,172.48,True,22,0,1,0,0,2,2,MERGED
321,[TOOLS] Add Emacs and Wsl,smallst,2022-11-20T09:33:58Z,2024-04-13T16:08:15+00:00,1,12246.57,False,33,0,2,121,2,2,4,CLOSED
317,[TRANSLATE] Translate Vim.md,xhldtc,2022-11-18T11:51:40Z,2022-11-21T11:24:48+00:00,1,71.55,True,27,0,1,0,2,2,4,MERGED
315,[TRANSLATE] Translate Stanford's Compiler Course ,unknown,2022-11-16T04:14:37Z,2022-11-17T08:45:04+00:00,1,28.51,True,24,0,1,104,0,3,3,MERGED
305,[FEAT]Update the textbook resource,NeroHin,2022-11-04T17:24:05Z,2022-11-05T06:08:14+00:00,2,12.74,True,10,8,1,286,0,1,1,MERGED
302,[TOOLS] Add scoop article in tools,suiyun39,2022-10-31T16:38:31Z,2022-11-02T06:02:28+00:00,1,37.4,True,53,1,3,4,1,4,5,MERGED
301,[TRANSLATION] translate 15445.md and fix a typo,smxm,2022-10-31T12:19:18Z,2022-10-31T18:06:45+00:00,1,5.79,True,40,1,2,0,0,5,5,MERGED
291,[ENHANCE] Added MIT6.S081 xv6 support resource,Dariushuangg,2022-10-27T05:12:13Z,2022-10-28T16:27:51+00:00,2,35.26,True,2,0,2,0,2,1,3,MERGED
290,[TRANSLATION] translate mitweb.md,smxm,2022-10-25T15:05:29Z,2022-10-25T16:55:55+00:00,1,1.84,True,19,0,1,0,0,1,1,MERGED
283,[TRANSLATION] translate topdown_ustc.md,smxm,2022-10-23T11:05:02Z,2022-10-24T10:26:13+00:00,1,23.35,True,23,0,1,0,0,3,3,MERGED
282,[TRANSLATION] translate MIT6.824.md,smxm,2022-10-22T08:33:16Z,2022-10-22T15:32:15+00:00,1,6.98,True,28,0,1,0,0,2,2,MERGED
279,[TRANSLATION] translate CS149.md,smxm,2022-10-20T10:35:15Z,2022-10-21T15:30:04+00:00,1,28.91,True,24,0,1,0,0,1,1,MERGED
276,[TRANSLATION] translate cs189.md,LingkKang,2022-10-18T02:18:41Z,2022-10-18T08:15:50+00:00,1,5.95,True,18,0,1,0,0,1,1,MERGED
274,[TRANSLATION] translate MIT6.858.md and fix typo,smxm,2022-10-15T05:59:36Z,2022-10-16T14:05:35+00:00,1,32.1,True,35,6,7,0,0,1,1,MERGED
270,[TRANSLATION] translate CS162.md and fix a tiny erro,smxm,2022-10-12T11:44:34Z,2022-10-14T10:15:24+00:00,1,46.51,True,44,12,9,0,0,7,7,MERGED
269,[TRANSLATION] translate CS161.md ,LingkKang,2022-10-12T01:52:17Z,2022-10-14T02:08:20+00:00,1,48.27,True,33,1,2,14,0,2,2,MERGED
268,[TRANSLATION] translate CSAPP.md,smxm,2022-10-11T08:41:05Z,2022-10-11T13:37:43+00:00,1,4.94,True,28,0,1,0,0,3,3,MERGED
267,[TRANSLATION] translate DDCA.md and CS61C.md,smxm,2022-10-09T04:59:06Z,2022-10-10T10:50:29+00:00,1,29.86,True,47,0,2,0,0,5,5,MERGED
265,[TRANSLATION] translate CS169.md,smxm,2022-10-08T07:19:05Z,2022-10-08T16:39:54+00:00,1,9.35,True,25,1,2,0,0,2,2,MERGED
264,[TRANSLATION] translate CMake.md,LingkKang,2022-10-08T05:17:54Z,2022-10-08T06:33:00+00:00,2,1.25,True,9,0,1,0,0,2,2,MERGED
262,[TRANSLATION] translate 6031.md and fix a tiny error,smxm,2022-10-04T03:51:26Z,2022-10-04T06:36:08+00:00,3,2.75,True,34,1,2,0,0,7,7,MERGED
261,[TRANSLATION] translate Git.md,LingkKang,2022-10-03T12:17:50Z,2022-10-03T14:16:44+00:00,1,1.98,True,19,0,1,0,2,9,11,MERGED
260,[TRANSLATION] translate CS170.md,smxm,2022-10-03T10:43:21Z,2022-10-03T14:00:27+00:00,1,3.29,True,38,14,9,0,0,3,3,MERGED
259,[TRANSLATION] translate CS186.md,BarbarossaWang,2022-10-01T12:26:09Z,2022-10-02T09:20:02+00:00,1,20.9,True,23,0,1,0,0,2,2,MERGED
258,[TRANSLATION] translate signal.md,smxm,2022-10-01T08:35:32Z,2022-10-01T16:06:19+00:00,1,7.51,True,21,0,1,0,2,1,3,MERGED
257,[TRANSLATION] translate CS110L.md and correct a tiny error,smxm,2022-09-30T07:23:04Z,2022-09-30T23:17:12+00:00,1,15.9,True,31,3,4,0,0,6,6,MERGED
256,[TRANSLATE] translate Duke-Coursera-Intro-C.md,smxm,2022-09-30T02:36:21Z,2022-09-30T06:31:21+00:00,1,3.92,True,29,1,2,0,1,7,8,MERGED
