number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
343,refine tagview,leij1ang,2017-12-12T01:54:38Z,2017-12-13T09:43:03+00:00,1,31.81
622,siderbar 样式影响了普通导航栏样式,yuanyuanyuan,2018-04-25T06:29:46Z,2018-05-02T02:27:48+00:00,1,163.97
732,"fix(Tinymce): When content is null,set content to '' to avoid error",Insua,2018-06-01T06:30:53Z,2018-06-01T07:38:09+00:00,1,1.12
1290,fixed bug #1285,LarchLiu,2018-11-02T04:20:06Z,2018-11-02T07:07:40+00:00,2,2.79
1546,优化 parseTime,xbigcat,2019-01-23T05:33:05Z,2019-01-24T07:32:36+00:00,3,25.99
1718,feature 增加复杂表头导出示例,llccing,2019-03-15T10:04:27Z,2019-03-17T08:36:10+00:00,2,46.53
1924,修复仅向下/上拖动浏览器时，不会触发doResize,yuntao1997,2019-04-16T03:33:57Z,2019-04-16T06:56:08+00:00,1,3.37
2047,perf[store]: add support to sub-modules,yamelsenih,2019-05-09T16:33:28Z,2019-05-20T03:10:31+00:00,2,250.62
2643,feat[Search]: route search supports pinyin,mayunhai,2019-10-09T15:07:41Z,2020-05-04T13:38:44+00:00,2,4990.52
3360,路由缓存修改,Vcc1,2020-08-05T01:06:17Z,2024-08-01T14:58:28+00:00,3,34981.87
3683,docs: improve Japanese translation,eltociear,2021-04-28T07:43:51Z,2025-08-21T02:16:25+00:00,1,37818.54
