number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
3176,Add code of conduct,christianvuerings,2025-09-17T16:55:19Z,2025-09-17T18:12:44+00:00,1,1.29,True,3,0,1,293,2,0,2,MERGED
3172,[spam],mazumdersinghmou,2025-09-02T11:01:06Z,2025-09-02T16:00:41+00:00,1,4.99,False,1,1,1,21,0,0,0,CLOSED
3155,Switched markdownlint config to stable MD rule IDs,himaenshuu,2025-08-25T20:13:50Z,2025-08-26T18:29:52+00:00,1,22.27,False,43,155,2,370,2,0,2,CLOSED
3102,Update base.js,anuragchvn-blip,2025-03-05T16:04:00Z,2025-03-05T18:14:53+00:00,1,2.18,False,5,2,1,69,0,0,0,CLOSED
3101,Create no-console-in-prod.js,anuragchvn-blip,2025-03-05T15:59:26Z,2025-03-05T18:13:57+00:00,6,2.24,False,32,0,1,1437,0,1,1,CLOSED
3068,[eslint config] [deps] update `eslint-plugin-react-hooks`,ptmkenny,2024-12-07T04:06:58Z,2024-12-09T06:56:20+00:00,3,50.82,True,2,2,1,191,7,0,7,MERGED
3060,Bug Fix: Use HTML character entities to display JSX code,DetrojaRadhey,2024-11-09T20:45:34Z,2025-01-01T09:09:11+00:00,1,1260.39,False,4,4,1,193,0,0,0,CLOSED
3052,"Added Specificity,responsiveness and common pitfalls section to ReadMe",Sandhya-Madhuri,2024-10-12T09:04:23Z,2024-10-13T14:45:15+00:00,3,29.68,False,576,393,1,45,0,1,1,CLOSED
3047,Fix crash in ESLint invocation with TIMING env set,steelbrain,2024-10-01T21:14:53Z,2024-10-03T06:46:25+00:00,1,33.53,True,14,2,2,418,0,0,0,MERGED
3038,Add Zit Software to `In the Wild`,thangved,2024-09-24T07:43:32Z,2024-09-24T16:36:23+00:00,1,8.88,True,1,0,1,0,0,0,0,MERGED
3036,[readme] Remove dead URL,Naandalist,2024-09-21T22:03:49Z,2024-09-25T17:23:00+00:00,1,91.32,True,0,4,1,390,3,0,3,MERGED
3002,feature/css-in-js-guide-enhancements,GifftyCode,2024-06-27T17:40:14Z,2024-07-24T22:20:52+00:00,1,652.68,False,509,400,1,0,0,1,1,CLOSED
2996,Update README.md,kunalmishraa,2024-06-10T18:35:00Z,2024-06-10T20:14:46+00:00,1,1.66,False,2,2,1,56,0,1,1,CLOSED
2993,Update README.md && Attempt to make code concise.,aadil42,2024-05-31T03:14:55Z,2024-05-31T04:35:09+00:00,1,1.34,False,2,7,1,236,1,0,1,CLOSED
2980,Fixed typos in README.md,teddy5518,2024-05-10T14:30:54Z,2024-08-23T16:40:24+00:00,2,2522.16,False,1,1,1,325,1,0,1,CLOSED
2973,[spam],Satyam-Raaz,2024-04-19T20:27:35Z,2024-04-20T05:23:42+00:00,1,8.94,False,1,0,1,63,0,0,0,CLOSED
2970,Added one more example to [9.3](this to help with method chaining.),Prince-GH,2024-04-17T14:59:25Z,2024-04-18T14:58:38+00:00,1,23.99,False,22,0,1,358,0,0,0,CLOSED
2969,[spam],Poojageet07,2024-04-16T10:12:07Z,2024-04-16T11:31:25+00:00,1,1.32,False,2,0,1,22,0,0,0,CLOSED
2966,[spam],gayurv,2024-04-12T07:26:10Z,2024-04-12T14:58:05+00:00,1,7.53,False,2,0,1,12,0,0,0,CLOSED
2964,[spam],liladhar7666,2024-04-10T08:33:05Z,2024-04-10T14:15:51+00:00,1,5.71,False,1,0,1,71,0,0,0,CLOSED
2962,[readme] replace dead link with archive.org link,khanhadi,2024-04-07T18:19:52Z,2024-04-08T23:17:08+00:00,2,28.95,True,1,1,1,88,0,1,1,MERGED
2958,Added Quiz,mthirumalai2905,2024-03-31T14:08:00Z,2024-04-02T18:02:29+00:00,1,51.91,False,235,0,2,135,1,0,1,CLOSED
2955,update 404 `compat-table` url,muhammedriaz,2024-03-25T09:02:44Z,2024-03-25T17:31:03+00:00,1,8.47,True,17,7,5,113,0,0,0,MERGED
2950,[spam],LeylaNazimova,2024-03-22T12:22:58Z,2024-03-22T15:53:00+00:00,1,3.5,False,3,0,3,0,0,0,0,CLOSED
2949,[spam],LeylaNazimova,2024-03-22T12:22:16Z,2024-03-22T15:53:36+00:00,1,3.52,False,6,0,3,0,0,0,0,CLOSED
2946,chore: fix typo,avoidaway,2024-03-16T07:22:29Z,2024-03-16T14:49:52+00:00,1,7.46,False,1,1,1,0,0,0,0,CLOSED
2944,[spam],Adarshgupta04,2024-03-15T11:05:33Z,2024-03-15T14:12:09+00:00,1,3.11,False,1,0,1,11,0,0,0,CLOSED
2943,[spam],kamliyahardik,2024-03-15T10:09:22Z,2024-03-15T14:25:21+00:00,1,4.27,False,1,0,1,84,0,0,0,CLOSED
2930,[spam],aanchalbansal23,2024-03-05T08:40:17Z,2024-03-05T15:43:02+00:00,1,7.05,False,1,0,1,0,0,0,0,CLOSED
2926,[spam],ankitdube164,2024-03-03T18:47:30Z,2024-03-03T19:53:29+00:00,1,1.1,False,1,1,1,0,0,0,0,CLOSED
2924,[spam],ankitdubetsec,2024-03-02T05:04:36Z,2024-03-02T06:07:22+00:00,1,1.05,False,1,1,1,0,0,0,0,CLOSED
2920,[spam],Thakur0088,2024-03-01T08:40:27Z,2024-03-01T20:01:38+00:00,1,11.35,False,1,1,1,3,0,0,0,CLOSED
2919,[spam],imurbestfriend,2024-02-29T20:51:21Z,2024-03-05T01:05:02+00:00,1,100.23,False,16,0,1,0,0,0,0,CLOSED
2906,Added what BEM stands for (Block Element Modifier),emmanuel-455,2024-02-19T15:49:23Z,2024-09-21T05:46:57+00:00,6,5149.96,True,23,17,4,74,0,1,1,MERGED
2904,Issue #2804 Added support for .eslintrc.js in imports.js,SahilThakur02,2024-02-18T05:27:08Z,2024-02-19T02:42:36+00:00,1,21.26,False,1,1,1,274,0,0,0,CLOSED
2896,Update README.md,suraj112003,2024-02-08T00:42:01Z,2024-02-08T17:18:35+00:00,4,16.61,False,16,11,1,762,3,1,4,CLOSED
2878,remove object.entries dependency,43081j,2024-01-04T19:21:06Z,2024-01-28T05:21:29+00:00,1,562.01,True,35,28,7,1046,20,0,20,MERGED
2876,Update README.md,omchaudhary1220,2023-12-28T12:28:36Z,2023-12-28T16:51:56+00:00,1,4.39,False,1,1,1,50,2,0,2,CLOSED
2871,[spam],MustajabAptech,2023-12-07T12:59:03Z,2023-12-07T15:37:54+00:00,1,2.65,False,1,1,1,0,2,0,2,CLOSED
2870,[spam],Avinash960828,2023-12-06T08:29:16Z,2023-12-06T16:06:34+00:00,1,7.62,False,1,3,2,0,0,0,0,CLOSED
2864,Provide example of mid-variable acronym naming,danbeam,2023-11-09T22:20:09Z,2023-11-15T00:47:27+00:00,3,122.45,False,1,1,1,617,4,1,5,CLOSED
2856,fix #2301 web page Display error in jsx,fazil-shaik,2023-10-20T12:18:49Z,2023-10-21T02:23:51+00:00,1,14.08,False,2,2,1,28,0,0,0,CLOSED
2850,Upd link to es5 and es6 compat table in readme,matheusfelipeog,2023-10-13T08:08:41Z,2024-10-05T06:48:53+00:00,2,8590.67,True,1,1,1,171,7,0,7,MERGED
2849,Allow importing dev dependencies in ESLint flat config file,filiptammergard,2023-10-12T12:54:54Z,2024-04-16T14:12:53+00:00,5,4489.3,False,2,1,1,68,2,2,4,CLOSED
2848,[spam],RandomNose,2023-10-07T01:56:41Z,2023-10-07T03:10:51+00:00,1,1.24,False,1,1,1,63,0,0,0,CLOSED
2827,[guide] add node on error handling,rajanarahul93,2023-09-08T15:55:32Z,2024-05-20T08:34:45+00:00,1,6112.65,False,1,0,1,742,6,1,7,CLOSED
2824,Support flat config,OlivierZal,2023-09-02T21:40:33Z,2023-09-03T21:55:07+00:00,3,24.24,False,0,0,0,0,1,1,2,CLOSED
2819,[readme] Added Proper meaningful word in section 2.3,chetannada,2023-08-24T17:36:57Z,2023-08-24T19:26:12+00:00,6,1.82,False,1,1,1,172,0,1,1,CLOSED
2818,Imports rules: add eslint flat config support,OlivierZal,2023-08-24T14:16:09Z,2023-09-02T11:55:31+00:00,8,213.66,False,109,2,5,0,4,5,9,CLOSED
2815,[eslint config] [base] Add a message for `confusing-browser-globals`,vmohir,2023-08-21T14:45:48Z,2023-08-22T17:56:42+00:00,2,27.18,True,4,1,1,140,0,1,1,MERGED
2812,Added Object.hasOwn to section 3.7,savalaram-redkar,2023-08-15T15:01:27Z,2023-08-16T05:28:15+00:00,4,14.45,True,6,2,1,48,0,1,1,MERGED
2810,[readme] correct no-use-before-define justification,hamzahuda,2023-08-12T11:20:03Z,2023-08-12T21:49:40+00:00,1,10.49,True,1,1,1,131,0,0,0,MERGED
2803,"[guide] Add commas to Truth, Equality, and JavaScript",morninj,2023-08-01T16:28:07Z,2023-08-05T00:12:15+00:00,3,79.74,True,14,14,4,0,0,1,1,MERGED
2791,add new javascript operator `nullish coalescing` to docs,khadijagardezi,2023-07-02T18:54:32Z,2023-07-03T16:21:38+00:00,2,21.45,True,27,0,1,140,4,2,6,MERGED
2779,[guide] added second link to eslint rule for item 7.1,zhesha,2023-05-23T12:15:27Z,2023-05-23T17:15:09+00:00,1,5.0,True,1,1,1,182,0,0,0,MERGED
2775,fix: Updated README.md and alligned removing extra spaces,Zadid13,2023-05-21T09:47:58Z,2023-05-21T15:49:19+00:00,1,6.02,False,1,1,1,48,0,0,0,CLOSED
2774,fix: Updated grammatical errors on LICENSE.md,Zadid13,2023-05-20T22:58:08Z,2023-05-21T09:57:12+00:00,3,10.98,False,1,1,1,131,0,1,1,CLOSED
2773,Add documentation for no-use-before-define rule under hoisting section,ujwalkumar1995,2023-05-20T10:56:18Z,2023-05-30T20:30:31+00:00,7,249.57,True,50,0,1,96,1,9,10,MERGED
2771,add ILIAS to users,klees,2023-05-11T15:51:46Z,2024-09-30T09:01:45+00:00,2,12185.17,True,1,0,1,76,0,0,0,MERGED
2768,[readme] Updates ESLint rule in section 12.3 (exponentiation-operator),SpraxDev,2023-05-02T17:50:35Z,2023-05-02T19:41:34+00:00,1,1.85,True,1,1,1,111,0,0,0,MERGED
2767,"spell checking, fixed grammar error.",felipeGarciaDiaz,2023-04-28T07:34:24Z,2023-04-28T19:24:35+00:00,1,11.84,True,1,1,1,88,0,0,0,MERGED
2724,Added link of JavaScript Roadmap,syedmouaazfarrukh,2023-02-07T19:19:14Z,2023-02-09T07:26:44+00:00,1,36.12,True,50,12,6,439,4,0,4,MERGED
2705,[spam],mohammad-hossein-cholaki,2023-01-05T12:59:37Z,2023-01-05T19:00:51+00:00,1,6.02,False,16,0,2,16,2,0,2,CLOSED
2688,[guide] Add `Object.hasOwn`,0o001,2022-12-05T22:26:14Z,2022-12-06T18:56:08+00:00,10,20.5,True,2,0,1,348,1,2,3,MERGED
2686,[Tests] refactor test paths,mertcanaltin,2022-12-03T21:32:56Z,2022-12-03T22:37:03+00:00,5,1.07,True,6,4,2,207,4,4,8,MERGED
2682,[readme] add space before code blocks,Pushpendra100,2022-11-13T23:32:41Z,2022-11-17T22:00:29+00:00,2,94.46,True,14,0,3,43,10,0,10,MERGED
2679,[spam],chenbert1211,2022-11-11T22:32:20Z,2022-11-15T13:33:01+00:00,1,87.01,False,45,0,1,0,1,0,1,CLOSED
2677,[spam],chenbert1211,2022-11-06T22:50:53Z,2022-11-08T02:03:07+00:00,1,27.2,False,45,0,1,0,2,0,2,CLOSED
2676,Update .editorconfig,Coderayush13,2022-11-06T09:57:01Z,2022-11-07T08:23:34+00:00,1,22.44,False,0,2,1,20,0,0,0,CLOSED
2675,Update .gitignore,Coderayush13,2022-11-06T09:54:16Z,2022-11-07T08:24:00+00:00,1,22.5,False,0,2,1,19,0,0,0,CLOSED
2674,[spam],chenbert1211,2022-11-05T00:02:36Z,2022-11-05T04:54:44+00:00,1,4.87,False,2,0,1,0,0,0,0,CLOSED
