number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
15,fix: total commits count,anuraghazra,2020-07-10T09:15:33Z,2020-07-31T08:07:40+00:00,5,502.87
22,Add cache to function response,nombrekeff,2020-07-11T09:42:52Z,2020-07-15T06:41:44+00:00,8,92.98
27,"feat: receives text, title and icon colors from URL",JoaoVSouto,2020-07-11T19:11:03Z,2020-07-12T07:54:50+00:00,1,12.73
29,add request utils + remove duplicate codes,omidnikrah,2020-07-11T20:16:32Z,2020-07-12T09:07:21+00:00,3,12.85
33,perf: align icons and text vertical,ricosmall,2020-07-13T02:39:13Z,2020-07-16T10:21:21+00:00,1,79.7
49,improve: improved rating algorithm wip,anuraghazra,2020-07-14T08:39:55Z,2020-07-15T14:40:54+00:00,7,30.02
58,fix: increase github rate limit with multiple PATs,anuraghazra,2020-07-15T09:34:07Z,2020-07-15T12:23:44+00:00,13,2.83
67,feat(repocard): parse emojis in description,saitho,2020-07-15T15:44:21Z,2020-07-24T13:26:27+00:00,3,213.7
76,Add gh-index field to stats,b1f6c1c4,2020-07-16T00:51:25Z,2020-12-13T18:54:24+00:00,1,3618.05
78,Display username in repo card (optional),omrilotan,2020-07-16T09:48:38Z,2020-07-16T12:33:34+00:00,3,2.75
81,Changed hex colors to be copy/paste workable,reed-jones,2020-07-16T23:08:58Z,2020-07-17T15:24:48+00:00,1,16.26
97,Hide star and fork stats in repo card if count of equals to zero,omidnikrah,2020-07-18T14:11:28Z,2020-07-18T16:50:05+00:00,7,2.64
102,:pencil: add Chinese translation,jalenzz,2020-07-19T04:04:32Z,2020-07-19T12:38:58+00:00,3,8.57
109,Update & Improvements on Existing Simplified Chinese Translation of README,TonyTang2001,2020-07-20T00:30:28Z,2020-07-20T06:46:05+00:00,1,6.26
110,feat: resize card width based on rank display,terror,2020-07-20T06:29:16Z,2020-12-13T14:47:29+00:00,6,3512.3
114,added new theme,OddExtension5,2020-07-20T15:01:21Z,2020-09-11T13:36:44+00:00,6,1270.59
123,Added new theme,divyakelaskar,2020-07-21T05:41:40Z,2020-07-21T07:34:43+00:00,2,1.88
137,docs: changed bugs and feature link,rjoydip-zz,2020-07-21T17:50:57Z,2020-07-24T12:45:21+00:00,3,66.91
