number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
35526,fix(d3-format): call setupFormatters synchronously to apply D3 format…,innovark37,2025-10-06T15:01:15Z,2025-10-06T16:32:41+00:00,1,1.52,False,5,5,1,1968,1,0,1,CLOSED
35517,chore(deps): bump swagger-ui-react from 5.29.2 to 5.29.3 in /docs,dependabot,2025-10-06T07:06:03Z,2025-10-06T18:02:07+00:00,1,10.93,True,5,5,2,1857,2,0,2,MERGED
35515,chore(deps): bump caniuse-lite from 1.0.30001747 to 1.0.30001748 in /docs,dependabot,2025-10-06T07:05:16Z,2025-10-06T18:03:20+00:00,1,10.97,True,5,5,2,1575,2,0,2,MERGED
35513,chore(deps-dev): bump eslint from 9.36.0 to 9.37.0 in /superset-websocket,dependabot,2025-10-06T07:05:05Z,2025-10-06T18:20:29+00:00,1,11.26,True,49,43,2,3774,2,0,2,MERGED
35511,chore(deps-dev): bump @eslint/js from 9.36.0 to 9.37.0 in /docs,dependabot,2025-10-06T07:04:52Z,2025-10-06T18:19:06+00:00,1,11.24,True,7,2,2,3388,2,0,2,MERGED
35508,fix: Support metric macro for  embedded users,Vitor-Avila,2025-10-06T04:42:44Z,2025-10-06T17:05:54+00:00,3,12.39,True,79,1,2,998,1,2,3,MERGED
35507,fix(security): add missing active attribute to GuestUser class,irodriguez-nebustream,2025-10-05T20:26:35Z,2025-10-06T17:24:55+00:00,1,20.97,False,9,0,1,1508,3,0,3,CLOSED
35504,fix(webdriver): add missing options object to WebDriver initialization,aminghadersohi,2025-10-05T04:28:40Z,2025-10-06T17:23:13+00:00,2,36.91,True,1,0,1,2297,2,0,2,MERGED
35501,test(modals): flatten test structure to follow best practices,eschutho,2025-10-03T22:37:58Z,2025-10-04T00:09:44+00:00,2,1.53,False,159,174,2,1265,2,2,4,CLOSED
35497,fix(frontend): remove describe/it blocks from Modal.useModal tests,sadpandajoe,2025-10-03T19:49:09Z,2025-10-04T03:34:30+00:00,2,7.76,True,7,8,3,779,1,0,1,MERGED
35489,fix(explore): correct search icon in dashboard submenu,rebenitez1802,2025-10-03T17:18:57Z,2025-10-06T17:02:03+00:00,2,71.72,True,1,1,1,812,2,0,2,MERGED
35487,fix(Select): Prevent closing the select when clicking on a tag,msyavuz,2025-10-03T15:54:20Z,2025-10-04T05:11:14+00:00,4,13.28,True,62,3,2,1899,1,1,2,MERGED
35482,fix(sqlglot): adhoc expressions,betodealmeida,2025-10-03T13:43:00Z,2025-10-03T16:10:10+00:00,2,2.45,True,378,17,3,1856,1,0,1,MERGED
35476,chore(deps-dev): bump @types/node from 22.15.30 to 24.6.2 in /superset-frontend,dependabot,2025-10-03T07:55:02Z,2025-10-03T18:56:33+00:00,1,11.03,True,11,11,3,1525,2,0,2,MERGED
35473,chore(deps): bump caniuse-lite from 1.0.30001739 to 1.0.30001747 in /docs,dependabot,2025-10-03T07:05:57Z,2025-10-03T16:17:24+00:00,1,9.19,True,5,10,2,2070,2,0,2,MERGED
35472,chore(deps): bump swagger-ui-react from 5.29.1 to 5.29.2 in /docs,dependabot,2025-10-03T07:05:35Z,2025-10-03T16:17:51+00:00,1,9.2,True,5,5,2,1841,2,0,2,MERGED
