number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
4192,fix: issue template to new github format,Rabenherz112,2025-03-31T12:46:37Z,2025-04-17T16:13:10+00:00,6,411.44,True,5,1,2,274,2,2,4,MERGED
4125,Add RSSHub to Feed section,TonyRL,2023-08-21T18:04:12Z,2023-08-22T13:58:33+00:00,1,19.91,False,1,0,1,2447,1,1,2,CLOSED
4123,"Standardize ""alternative to"" proprietary services formatting",nodiscc,2023-08-21T11:29:30Z,2023-08-21T14:31:21+00:00,5,3.03,True,49,49,1,147,0,4,4,MERGED
4121,Remove EdPaste (unmaintained since Jan 2019),Rabenherz112,2023-08-20T08:43:19Z,2023-08-22T13:02:40+00:00,2,52.32,True,0,1,1,391,0,0,0,MERGED
4119,Remove budgetzero (unmaintained since Aug 2022),Rabenherz112,2023-08-20T08:30:47Z,2023-08-22T13:01:43+00:00,1,52.52,True,0,1,1,401,0,0,0,MERGED
4118,Remove Actionsflow (unmaintained since July 2022),Rabenherz112,2023-08-20T08:29:19Z,2023-08-22T13:01:54+00:00,1,52.54,True,0,1,1,409,0,0,0,MERGED
4117,Change link to Kubek,Seeroy,2023-08-20T05:23:12Z,2023-08-20T09:57:42+00:00,1,4.58,True,1,1,1,0,0,0,0,MERGED
4115,Add Fasten Health to Miscellaneous section,cfu288,2023-08-18T17:53:09Z,2023-08-22T13:02:05+00:00,3,91.15,True,1,0,1,2447,3,0,3,MERGED
4114,Add ifconfig.io to Automation,arbdevml,2023-08-18T15:59:17Z,2023-08-22T13:59:46+00:00,2,94.01,False,1,0,1,2447,3,1,4,CLOSED
4112,Add Sunshine to Games - Administrative Utilities & Control Panels,arbdevml,2023-08-18T15:29:43Z,2023-08-22T13:02:19+00:00,5,93.54,True,1,0,1,2447,8,1,9,MERGED
4111,Fix LinkWarden,Rabenherz112,2023-08-18T08:39:33Z,2023-08-18T19:50:49+00:00,1,11.19,True,1,1,1,54,0,0,0,MERGED
4110,"Remove bloben (unmaintained, website & docs down)",Rabenherz112,2023-08-18T08:38:19Z,2023-08-22T13:01:30+00:00,1,100.39,True,0,1,1,70,0,0,0,MERGED
4108,Updated Custom Communication Service Databag with new client,balzack,2023-08-16T16:11:21Z,2023-08-18T04:22:49+00:00,1,36.19,False,1,1,1,2447,1,0,1,CLOSED
4100,docs: add EvaDB,jarulraj,2023-08-14T16:12:01Z,2023-08-22T14:00:02+00:00,1,189.8,False,1,0,1,2449,1,1,2,CLOSED
4099,Fix mealie URLs,mkitzmann,2023-08-14T12:15:55Z,2023-08-14T17:54:26+00:00,2,5.64,True,1,1,1,2447,0,0,0,MERGED
4096,Adds Graphweaver to Software- API,tnodell,2023-08-14T00:32:41Z,2023-08-22T13:02:58+00:00,3,204.5,True,1,0,1,2447,1,1,2,MERGED
4094,Add rgit to Software Development - Project Management,w4,2023-08-11T22:40:00Z,2023-08-22T13:00:39+00:00,5,254.34,True,1,0,1,2447,5,1,6,MERGED
4093,Add Zrok to Proxy section,Nezteb,2023-08-11T17:14:10Z,2023-08-22T13:59:28+00:00,4,260.75,False,1,0,1,2307,3,1,4,CLOSED
4092,Add Grai to non-free,ieaves,2023-08-11T16:27:34Z,2023-08-22T13:01:19+00:00,6,260.56,True,1,0,1,2447,0,2,2,MERGED
4091,Remove Anchor from non-free.md since it seems to be a dead project,jenishngl,2023-08-11T16:07:30Z,2023-08-20T10:01:32+00:00,3,209.9,True,0,1,1,2515,0,0,0,MERGED
4089,Add Appflowy to Task Management,theknigge,2023-08-11T13:27:51Z,2023-08-22T13:00:11+00:00,2,263.54,True,1,0,1,2463,0,0,0,MERGED
4083,move issue tracking/contribution workflows/project management to awesome-selfhosted-data,nodiscc,2023-08-07T23:48:20Z,2023-08-22T12:58:10+00:00,1,349.16,True,8,70,6,112,0,0,0,MERGED
4080,Kiselitza add cerbos to misc,kiselitza,2023-08-07T13:58:50Z,2023-08-22T13:59:06+00:00,2,360.0,False,1,0,1,2447,8,3,11,CLOSED
4079,Add hemmelig to Pastebins,kzshantonu,2023-08-06T03:26:36Z,2023-08-22T12:59:22+00:00,5,393.55,True,1,0,1,2447,3,0,3,MERGED
4072,"Move Baby Buddy, Habitica and wger to Miscellaneous",nodiscc,2023-08-01T22:25:07Z,2023-08-03T01:59:00+00:00,2,27.56,True,3,3,1,109,0,0,0,MERGED
4069,Add Rhasspy to IoT,arbdevml,2023-07-31T12:33:19Z,2023-08-22T13:58:56+00:00,1,529.43,False,1,0,1,2447,4,0,4,CLOSED
4068,Add OpenRouteService to Maps and Global Positioning System (GPS),williamk19,2023-07-31T02:40:20Z,2023-08-07T22:17:20+00:00,6,187.62,True,1,0,1,2447,0,1,1,MERGED
4067,fix: Typos and Dead Link,Ki-er,2023-07-30T11:30:52Z,2023-07-30T13:52:28+00:00,1,2.36,True,8,8,1,86,0,0,0,MERGED
4065,Remove wiki (unmaintained since 2021),nodiscc,2023-07-28T23:33:02Z,2023-08-03T01:58:29+00:00,1,122.42,True,0,1,1,16971,0,0,0,MERGED
4064,"Remove todo (unmaintained since November 2022, outdated base image)",nodiscc,2023-07-28T23:30:24Z,2023-08-03T01:58:15+00:00,1,122.46,True,0,1,1,28935,0,0,0,MERGED
4063,Remove prologic pastebin (unmaintained since 2021),nodiscc,2023-07-28T23:21:45Z,2023-08-03T01:58:04+00:00,1,122.61,True,0,1,1,71,0,0,0,MERGED
4062,Remove golinks (unmaintained since June 2022),nodiscc,2023-07-28T23:19:47Z,2023-08-03T01:57:19+00:00,1,122.63,True,0,1,1,103,1,0,1,MERGED
4061,"Remove shorturl (unmaintained since 2021, website down)",nodiscc,2023-07-28T23:17:10Z,2023-08-03T01:56:56+00:00,1,122.66,True,0,1,1,103,0,0,0,MERGED
4060,"Remove goshorly (source code gone, 404)",nodiscc,2023-07-28T23:13:50Z,2023-08-03T01:56:34+00:00,1,122.71,True,0,1,1,59,0,0,0,MERGED
4059,Remove Teddit homepage link (expired certificate),nodiscc,2023-07-28T23:12:32Z,2023-08-07T22:17:44+00:00,1,239.09,False,1,1,1,264,1,0,1,CLOSED
4056,Add Screego to Custom Communication Systems,kokomo123,2023-07-27T17:53:20Z,2023-08-03T01:55:55+00:00,4,152.04,True,1,0,1,2560,2,1,3,MERGED
4055,Add Slash to Bookmarks and link sharing,boojack,2023-07-27T12:05:11Z,2023-11-09T13:41:34+00:00,1,2521.61,False,1,0,1,2447,4,0,4,CLOSED
4053,"Added FOSSBilling to Money, Budgeting & Management",Anuril,2023-07-26T15:18:21Z,2023-08-03T01:55:19+00:00,3,178.62,True,1,0,1,2584,0,1,1,MERGED
4052,Add Remotely to Remote Access,arbdevml,2023-07-26T12:24:29Z,2023-08-03T01:55:45+00:00,2,181.52,True,1,0,1,2447,0,0,0,MERGED
4051,Add Traceo to Analytics,piotr-szewczyk,2023-07-26T09:32:30Z,2023-07-26T13:40:58+00:00,2,4.14,False,1,0,1,2447,4,1,5,CLOSED
4047,Remove DailyNotes (unmaintained since Feb 2022),Rabenherz112,2023-07-23T09:56:48Z,2023-07-30T19:31:20+00:00,1,177.58,True,0,1,1,242,2,0,2,MERGED
4046,Remove Hauk (unmaintained since March 2021),Rabenherz112,2023-07-23T09:51:51Z,2023-07-30T19:31:06+00:00,1,177.65,True,0,1,1,73,0,0,0,MERGED
4045,Remove schnack (unmaintained since June 2022),Rabenherz112,2023-07-23T09:45:58Z,2023-07-30T19:30:55+00:00,1,177.75,True,0,2,1,102,0,0,0,MERGED
4042,Fix Nominatim description,Michad,2023-07-22T14:45:30Z,2023-07-22T15:49:19+00:00,1,1.06,True,1,1,1,2505,0,0,0,MERGED
4041,Remove Share (unmaintained since May 2022),nodiscc,2023-07-20T13:54:41Z,2023-07-27T17:32:22+00:00,1,171.63,True,0,1,1,107,0,0,0,MERGED
4040,Remove xBrowserSync (unmaintained since 2021/2022),nodiscc,2023-07-20T12:54:27Z,2023-07-27T17:32:12+00:00,1,172.63,True,0,1,1,236,0,0,0,MERGED
4036,Remove Demo link for SearX,kokomo123,2023-07-19T20:25:22Z,2023-07-24T20:41:22+00:00,2,120.27,True,1,1,1,201,4,1,5,MERGED
4035,Add SearXNG to Search Engines,kokomo123,2023-07-19T20:20:18Z,2023-07-27T12:27:38+00:00,2,184.12,True,1,0,1,2789,3,1,4,MERGED
4033,Add MintHCM to HR,phlbnks,2023-07-18T13:57:16Z,2023-08-22T13:58:47+00:00,2,840.03,False,1,0,1,2469,4,1,5,CLOSED
4032,YetiForce added,panchtatvam,2023-07-18T12:11:40Z,2023-08-22T13:01:05+00:00,3,840.82,True,8,0,1,2703,1,2,3,MERGED
4031,YetiForce added,panchtatvam,2023-07-18T05:27:44Z,2023-07-18T11:53:35+00:00,2,6.43,False,1,0,1,2506,0,1,1,CLOSED
4029,Fix source code for dovel.email,blmayer,2023-07-17T19:16:27Z,2023-07-17T20:49:06+00:00,1,1.54,True,1,1,1,2447,0,0,0,MERGED
4028,Add Loggit to Miscellaneous,BrunoBernardino,2023-07-17T13:14:59Z,2023-08-07T22:17:08+00:00,1,513.04,True,1,0,1,2447,9,0,9,MERGED
4024,external links: reorder communities/forums,nodiscc,2023-07-16T14:22:23Z,2023-07-24T20:42:19+00:00,1,198.33,True,1,1,1,69,0,0,0,MERGED
4007,Fixed small typo qdvertisements->advertisements,larkly,2023-07-14T11:30:12Z,2023-07-14T17:28:32+00:00,3,5.97,True,1,1,1,78,0,0,0,MERGED
4004,Add Simple Links to Personal Dashboards,kokomo123,2023-07-11T14:23:31Z,2023-07-12T21:36:02+00:00,3,31.21,False,1,0,1,2494,2,1,3,CLOSED
3999,Pull Request template: Any software project you are adding was first released more than 4 months ago,nodiscc,2023-07-10T11:42:50Z,2023-07-10T18:47:14+00:00,2,7.07,True,1,0,1,11,0,0,0,MERGED
3998,Pull Request template: require forks to provide a list of differences with the original project,nodiscc,2023-07-10T11:16:40Z,2023-07-15T12:34:45+00:00,2,121.3,True,1,0,1,10,3,0,3,MERGED
