number,title,author,commentsCount,reviewThreadsCount,reviewsCount
7078,fix: remove spam links from sponsors footer and allow only verified s…,jhaayushkumar,1,0,0
7076,✅ Bug Fixed Successfully!,motalib-code,2,0,0
7073,Add MIT license badge to README #7070,jaiyankargupta,1,0,1
7065,docs: fix rate limiting link,Supakornn,0,0,1
7057,Test changes for AI PR review,dasarisuma,0,0,0
7052,chore(deps-dev): bump pbkdf2 from 3.1.2 to 3.1.5,dependabot,1,0,0
7051,chore(deps-dev): bump tar-fs from 2.1.1 to 2.1.4,dependabot,1,0,0
7046,docs: fix typos,kianmeng,1,0,1
7045,fix(core): deep clone payload to ensure consistent serialization,HarshitaKatariya,0,0,0
7039,chore(ci): fix missed condition to skip test:package step for ignored files;,DigitalBrainJS,0,0,0
7037,♿️ Add alt text to logo image,k-utsumi,0,0,2
7034,Backport `maxContentLength` vulnerability fix to v0.x,FeBe95,7,0,0
7032,chore: remove unused terser-webpack-plugin,noritaka1166,0,0,1
7031,[Release] v1.12.2,github-actions,0,0,0
7030,fix(fetch): use current global fetch instead of cached one when env fetch is not specified to keep MSW support;,DigitalBrainJS,0,0,0
7029,refactor: remove redundant assignment,noritaka1166,1,0,1
7028,refactor: change if in else to else if,noritaka1166,1,0,1
7026,chore: bump minor deps,jasonsaayman,0,0,0
7025,chore(deps): bump the github-actions group across 1 directory with 5 updates,dependabot,1,0,0
7024,docs(readme): add custom fetch section;,DigitalBrainJS,0,0,0
7022,chore(ci): add local HTTP server for Karma tests;,DigitalBrainJS,0,1,1
7021,[Release] v1.12.1,github-actions,0,0,0
7020,fix(types): fixed env config types;,DigitalBrainJS,0,0,0
7019,fix: added missing types when libdom is not loaded + CI check fixes,RyanMan56,7,0,0
7017,fix: added missing types when libdom is not loaded,JimmyBjorklund,2,0,0
7013,[Release] v1.12.0,github-actions,0,0,0
7011,fix(node): enforce maxContentLength for data: URLs,AmeerAssadi,8,6,8
7010,chore(deps): bump the github-actions group across 1 directory with 4 updates,dependabot,1,0,0
7006,chore(CI): fixed release info script to use npm registry instead of git as file history source;,DigitalBrainJS,0,1,2
7005,[Chore] Update sponsor block,github-actions,0,0,0
7004,Docs/mintlify integration,yogyam,0,0,0
7003,"feat(fetch): add fetch, Request, Response env config variables for the adapter;",DigitalBrainJS,13,0,1
7002,chore: removing dist files from src,WillianAgostini,1,0,1
6999,Adds robust deep clone utility,himaenshuu,0,0,0
6998,fix(fetch-adapter): set correct Content-Type for Node FormData,emiedonmokumo,5,4,6
6997,chore(deps-dev): bump sha.js from 2.4.11 to 2.4.12,dependabot,1,0,0
6996,chore(deps-dev): bump cipher-base from 1.0.4 to 1.0.6,dependabot,1,0,0
6994,chore(deps): bump actions/checkout from 4 to 5 in the github-actions group,dependabot,1,0,0
6992,[Chore] Update sponsor block,github-actions,0,0,0
6989,"chore(deps): bump tmp, @release-it/conventional-changelog and release-it",dependabot,1,0,0
6986,[Chore] Update sponsor block,github-actions,0,0,0
6985,chore: update semver docs in readme,jasonsaayman,0,0,0
