number,title,author,reviewState,submittedAt,reviewDecision
7073,Add MIT license badge to README #7070,jaiyankargupta,APPROVED,2025-10-02T18:13:29Z,APPROVED
7065,docs: fix rate limiting link,Supakornn,APPROVED,2025-10-01T15:17:34Z,APPROVED
7046,docs: fix typos,kianmeng,APPROVED,2025-09-18T11:12:59Z,APPROVED
7037,♿️ Add alt text to logo image,k-utsumi,APPROVED,2025-09-16T10:16:05Z,APPROVED
7037,♿️ Add alt text to logo image,k-utsumi,APPROVED,2025-09-16T12:57:54Z,APPROVED
7032,chore: remove unused terser-webpack-plugin,noritaka1166,APPROVED,2025-09-15T06:14:25Z,APPROVED
7029,refactor: remove redundant assignment,noritaka1166,APPROVED,2025-09-13T19:10:40Z,APPROVED
7028,refactor: change if in else to else if,noritaka1166,APPROVED,2025-09-14T09:47:15Z,APPROVED
7022,chore(ci): add local HTTP server for Karma tests;,DigitalBrainJS,COMMENTED,2025-09-12T19:54:56Z,
7011,fix(node): enforce maxContentLength for data: URLs,AmeerAssadi,COMMENTED,2025-09-09T19:31:31Z,APPROVED
7011,fix(node): enforce maxContentLength for data: URLs,AmeerAssadi,COMMENTED,2025-09-09T19:32:25Z,APPROVED
7011,fix(node): enforce maxContentLength for data: URLs,AmeerAssadi,COMMENTED,2025-09-09T19:34:19Z,APPROVED
7011,fix(node): enforce maxContentLength for data: URLs,AmeerAssadi,COMMENTED,2025-09-09T20:14:44Z,APPROVED
7011,fix(node): enforce maxContentLength for data: URLs,AmeerAssadi,COMMENTED,2025-09-09T22:16:44Z,APPROVED
7011,fix(node): enforce maxContentLength for data: URLs,AmeerAssadi,CHANGES_REQUESTED,2025-09-09T22:53:40Z,APPROVED
7011,fix(node): enforce maxContentLength for data: URLs,AmeerAssadi,APPROVED,2025-09-10T13:05:47Z,APPROVED
7011,fix(node): enforce maxContentLength for data: URLs,AmeerAssadi,APPROVED,2025-09-10T13:08:33Z,APPROVED
7006,chore(CI): fixed release info script to use npm registry instead of git as file history source;,DigitalBrainJS,COMMENTED,2025-09-03T21:14:13Z,APPROVED
7006,chore(CI): fixed release info script to use npm registry instead of git as file history source;,DigitalBrainJS,APPROVED,2025-09-04T06:33:34Z,APPROVED
7003,"feat(fetch): add fetch, Request, Response env config variables for the adapter;",DigitalBrainJS,APPROVED,2025-08-30T14:16:22Z,APPROVED
7002,chore: removing dist files from src,WillianAgostini,APPROVED,2025-09-03T06:41:17Z,APPROVED
6998,fix(fetch-adapter): set correct Content-Type for Node FormData,emiedonmokumo,COMMENTED,2025-08-23T13:45:24Z,APPROVED
6998,fix(fetch-adapter): set correct Content-Type for Node FormData,emiedonmokumo,CHANGES_REQUESTED,2025-08-24T09:39:49Z,APPROVED
6998,fix(fetch-adapter): set correct Content-Type for Node FormData,emiedonmokumo,COMMENTED,2025-08-25T14:52:29Z,APPROVED
6998,fix(fetch-adapter): set correct Content-Type for Node FormData,emiedonmokumo,APPROVED,2025-08-25T14:52:33Z,APPROVED
6998,fix(fetch-adapter): set correct Content-Type for Node FormData,emiedonmokumo,APPROVED,2025-08-25T14:55:03Z,APPROVED
6998,fix(fetch-adapter): set correct Content-Type for Node FormData,emiedonmokumo,COMMENTED,2025-08-25T15:12:52Z,APPROVED
6982,feat(adapter): surface low‑level network error details; attach origin…,mkhani01,APPROVED,2025-07-30T07:56:54Z,APPROVED
6982,feat(adapter): surface low‑level network error details; attach origin…,mkhani01,COMMENTED,2025-09-28T12:37:52Z,APPROVED
6982,feat(adapter): surface low‑level network error details; attach origin…,mkhani01,COMMENTED,2025-09-30T13:50:38Z,APPROVED
6980,fix(sandbox): Improper Encoding or Escaping of Output as DOM text reinterpreted as HTML,odaysec,APPROVED,2025-07-28T15:17:31Z,APPROVED
