number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
2131,添加硅基智能在线API,samonysh,2025-02-05T07:04:39Z,2025-04-17T13:41:06+00:00,2,1710.61,False,111,3,2,274,8,0,8,CLOSED
2129,fix:  return 参数数量 及 返回类型考虑,SakuraPuare,2025-02-04T19:13:32Z,2025-02-07T13:33:06+00:00,1,66.33,True,35,28,1,273,4,0,4,MERGED
2118,add support for Deepseek R1 model and display CoT,memset0,2025-01-24T06:48:28Z,2025-02-04T08:02:02+00:00,2,265.23,True,425,122,15,398,3,0,3,MERGED
2092,修复Gemini对话错误问题（停用词数量为0的情况）,xxflzj,2024-12-23T17:45:53Z,2024-12-28T15:22:10+00:00,1,117.6,True,23,10,1,115,0,0,0,MERGED
2014,增加了对于glm-4-plus的支持,hcy2206,2024-10-20T15:55:35Z,2024-11-03T14:41:17+00:00,1,334.76,True,308,67,9,0,0,1,1,MERGED
1983,Boyin rag,XiaoBoAI,2024-09-23T12:28:29Z,2024-10-14T14:48:24+00:00,1,506.33,True,145,53,3,70,0,5,5,MERGED
1975,Added some modules to support openrouter,renlifei1994,2024-09-21T04:45:23Z,2024-09-28T10:05:34+00:00,1,173.34,True,572,6,5,59,4,0,4,MERGED
1904,增加gpt-4o-mini模型支持,jiangfy-ihep,2024-07-20T14:09:42Z,2024-07-22T16:55:34+00:00,1,50.76,True,11,2,2,17,0,0,0,MERGED
1859,CHAT GPT config.py,kareem-techsolutions,2024-06-15T11:49:22Z,2024-06-16T14:56:13+00:00,1,27.11,False,2,2,1,0,1,0,1,CLOSED
1472,"Update bridge_all.py：删除 ""chatgpt_website"" 函数。",hongyi-zhao,2024-01-13T00:33:25Z,2024-01-13T06:35:04+00:00,1,6.03,True,0,16,1,670,0,0,0,MERGED
662,自动编译Docker镜像并上传到ghcr,reonokiy,2023-04-30T05:08:39Z,2023-05-03T17:32:53+00:00,1,84.4,True,62,2,1,520,8,1,9,MERGED
388,update en2ch prompt,WangRongsheng,2023-04-09T03:53:51Z,2023-04-09T16:39:54+00:00,1,12.77,True,1,2,2,2838,4,0,4,MERGED
86,增加Token使用量显示 ,Suiiiii,2023-03-29T07:29:42Z,2023-04-05T06:28:06+00:00,1,166.97,False,6627,362,29,12,2,0,2,CLOSED
