number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
33541,Release: 30.0rc3 translations update,hebasto,2025-10-05T10:58:15Z,2025-10-06T09:24:12+00:00,1,22.43,True,337,388,1,211,2,0,2,MERGED
33534,[29.x] Finalise 29.2rc2,fanquake,2025-10-03T13:42:07Z,2025-10-03T18:02:16+00:00,5,4.34,True,31,27,9,153,3,1,4,MERGED
33533,test: addrman: check isTerrible when time is more than 10min in the future,brunoerg,2025-10-03T13:29:13Z,2025-10-03T19:20:51+00:00,2,5.86,True,7,1,1,510,2,0,2,MERGED
33531,[rpc] `gettxout`: array argument for bulk queries,w0xlt,2025-10-03T00:58:15Z,2025-10-03T13:56:32+00:00,1,12.97,False,92,62,8,524,3,2,5,CLOSED
33507,RPC: add sendrawtransactiontopeer,polespinasa,2025-09-30T01:58:10Z,2025-10-02T20:02:33+00:00,14,66.07,False,117,0,4,519,10,7,17,CLOSED
33504,Mempool: Do not enforce TRUC checks on reorg,instagibbs,2025-09-29T19:36:40Z,2025-10-02T12:22:28+00:00,2,64.76,True,56,35,4,560,9,5,14,MERGED
33487,ci: use latest versions of lint deps,fanquake,2025-09-28T22:14:39Z,2025-09-30T07:17:45+00:00,5,33.05,True,4,4,1,273,4,1,5,MERGED
33486,ci: check if file or directory already exists for ${HOME}/.bitcoin instead of failing,kevkevinpal,2025-09-27T18:03:41Z,2025-09-29T14:59:58+00:00,3,44.94,False,10,3,1,598,8,2,10,CLOSED
33485,test: set par=2 in default config for functional test framework,andrewtoth,2025-09-27T16:09:22Z,2025-10-03T21:36:40+00:00,8,149.46,True,1,0,1,420,3,1,4,MERGED
33484,doc: rpc: fix case typo in `finalizepsbt` help (final_scriptwitness),theStack,2025-09-26T17:38:12Z,2025-09-28T22:12:47+00:00,2,52.58,True,1,1,1,506,2,0,2,MERGED
33482,contrib: fix macOS deployment with no translations,amishhaa,2025-09-26T05:35:47Z,2025-10-03T14:40:43+00:00,3,177.08,True,8,8,1,1411,5,0,5,MERGED
33476,[28.x] backports + 28.3rc1,glozow,2025-09-24T19:18:35Z,2025-10-01T17:42:40+00:00,5,166.4,True,424,158,32,50,6,2,8,MERGED
33475,bugfix: miner: fix `addPackageTxs` unsigned integer overflow,ismaelsadeeq,2025-09-24T15:41:18Z,2025-09-25T12:18:25+00:00,3,20.62,True,2,2,1,1242,2,0,2,MERGED
33474,[29.x] Backports,fanquake,2025-09-24T14:41:16Z,2025-10-03T13:21:57+00:00,2,214.68,True,116,52,11,32,2,0,2,MERGED
33473,[30.x] Backports & rc3,fanquake,2025-09-24T14:11:42Z,2025-10-06T09:37:33+00:00,4,283.43,True,146,119,26,141,5,0,5,MERGED
33464,p2p: Use network-dependent timers for inbound inv scheduling,mzumsande,2025-09-23T17:19:20Z,2025-10-03T22:45:23+00:00,6,245.43,True,76,39,8,885,6,1,7,MERGED
33459,doc: remove unrelated `bitcoin-wallet` binary from `libbitcoin_ipc` description,theStack,2025-09-22T19:16:29Z,2025-09-23T13:11:20+00:00,1,17.91,True,1,1,1,230,2,0,2,MERGED
33453,docs: Undeprecate datacarrier and datacarriersize configuration options,bitschmidty,2025-09-22T10:40:53Z,2025-09-30T22:23:33+00:00,11,203.71,True,2,18,2,1735,70,1,71,MERGED
33448,net/rpc: Report inv information for debugging,ajtowns,2025-09-21T08:34:06Z,2025-09-23T14:29:27+00:00,6,53.92,True,33,4,5,211,4,3,7,MERGED
33446,rpc: fix getblock(header) returns target for tip,Sjors,2025-09-20T16:52:50Z,2025-09-24T14:08:15+00:00,7,93.26,True,43,14,5,661,6,3,9,MERGED
33435,system: improve handling around GetTotalRAM(),vasild,2025-09-19T13:06:46Z,2025-09-22T16:01:42+00:00,18,74.92,True,44,16,4,210,12,4,16,MERGED
33434,depends: static libxcb-cursor,fanquake,2025-09-19T12:50:13Z,2025-10-03T14:26:26+00:00,5,337.6,True,1,8,3,138,28,1,29,MERGED
33430,rpc: addpeeraddress: throw on invalid IP,john-moffett,2025-09-18T18:52:02Z,2025-09-25T22:42:24+00:00,3,171.84,True,22,17,2,219,4,0,4,MERGED
33429,fuzz: reduce iterations in slow targets,marcofleon,2025-09-18T16:56:17Z,2025-09-20T13:53:36+00:00,4,44.96,True,4,4,3,281,6,0,6,MERGED
33427,rpc: Always return per-wtxid entries in submitpackage tx-results,john-moffett,2025-09-18T13:17:03Z,2025-09-23T13:36:23+00:00,12,120.32,True,22,7,2,399,5,4,9,MERGED
33425,ci: remove Clang build from msan fuzz job,fanquake,2025-09-18T11:17:14Z,2025-09-23T14:10:02+00:00,3,122.88,True,4,18,2,111,7,1,8,MERGED
33424,[30.0] Final changes + rc2,fanquake,2025-09-18T10:00:56Z,2025-09-23T22:46:30+00:00,2,132.76,True,203,64,24,86,3,0,3,MERGED
33422,build: Remove lingering Windows registry & shortcuts (#32132 follow-up),hodlinator,2025-09-18T07:57:54Z,2025-09-19T21:50:21+00:00,4,37.87,True,13,0,1,1009,8,1,9,MERGED
33420,test: Avoid interface_ipc.py Duplicate ID errors,ryanofsky,2025-09-17T16:39:54Z,2025-09-18T10:34:50+00:00,1,17.92,True,6,1,1,334,7,0,7,MERGED
33415,[28.x] More backports,fanquake,2025-09-17T11:09:02Z,2025-09-25T20:41:31+00:00,7,201.54,True,48,35,7,49,10,2,12,MERGED
