number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
3239,added option to interactive elements,prakhar1114,2025-10-04T16:11:40Z,2025-10-04T20:00:46+00:00,1,3.82,True,1,1,1,230,1,0,1,MERGED
3233,try to make actions shorter,mertunsall,2025-10-03T17:01:14Z,2025-10-04T00:25:22+00:00,1,7.4,True,96,100,12,794,1,0,1,MERGED
3226,[fix] type checking in CI,wyatt-avilla,2025-10-02T05:07:00Z,2025-10-03T04:07:41+00:00,3,23.01,True,8,8,4,1080,1,1,2,MERGED
3203,redirect for get-browser-profile and v2/quickstart,ShawnPana,2025-09-27T02:17:55Z,2025-09-27T05:10:54+00:00,6,2.88,True,8,0,1,474,1,2,3,MERGED
3190,fix the spelling mistakes in the using_cdp example,Cu1111,2025-09-25T05:00:34Z,2025-10-01T03:54:35+00:00,2,142.9,True,1,1,1,195,0,0,0,MERGED
3186,Add laminar debug tags,chrisschnabl,2025-09-24T02:59:33Z,2025-09-24T04:45:10+00:00,2,1.76,True,2,0,1,329,1,2,3,MERGED
3178,Changing Pydantic limit for Amazon Bedrock ARN in model,smaran-medx,2025-09-22T09:50:16Z,2025-09-23T01:06:38+00:00,1,15.27,True,1,1,1,439,1,0,1,MERGED
3176,Remove unused parameter,chrisschnabl,2025-09-22T04:40:22Z,2025-09-22T18:59:45+00:00,1,14.32,True,31,40,12,609,2,0,2,MERGED
3166,Log browser-use pip version on agent start,MagMueller,2025-09-19T01:58:03Z,2025-09-19T04:46:06+00:00,1,2.8,True,29,2,2,539,2,2,4,MERGED
3160,updated docs and added link to signup for a api key,sauravpanda,2025-09-19T01:20:39Z,2025-09-19T06:38:53+00:00,1,5.3,True,45,50,10,261,1,1,2,MERGED
3156,fix-date-format,MagMueller,2025-09-18T19:25:11Z,2025-09-18T21:20:09+00:00,2,1.92,True,387,12,5,1097,1,4,5,MERGED
3140,fix element hash,MagMueller,2025-09-17T16:48:21Z,2025-09-17T18:15:54+00:00,3,1.46,True,56,36,3,357,1,5,6,MERGED
3139,feat: added cloud_browser feature,sauravpanda,2025-09-17T15:53:45Z,2025-09-18T23:24:13+00:00,6,31.51,True,777,27,10,743,1,5,6,MERGED
3126,Feat: add veo3 support to ad-use,avocardio,2025-09-15T21:22:52Z,2025-09-15T22:41:46+00:00,1,1.31,True,290,72,3,806,1,2,3,MERGED
3120,Fix temp creds for ChatAWSBedrock,tioans,2025-09-15T10:20:16Z,2025-09-19T16:31:04+00:00,2,102.18,True,5,1,1,1260,1,2,3,MERGED
3110,fix: replace hyphens with underscores in EventBus name generation,naaa760,2025-09-14T09:47:03Z,2025-09-23T01:05:56+00:00,1,207.31,True,4,1,1,393,2,1,3,MERGED
3107,Feature: added auto mode to msg-use,avocardio,2025-09-13T16:30:16Z,2025-09-13T23:58:39+00:00,1,7.47,True,64,0,3,407,1,2,3,MERGED
3106,Add parallel multi-agent example,abelsummation,2025-09-13T15:33:38Z,2025-09-23T01:09:20+00:00,1,225.59,True,312,0,1,1662,2,1,3,MERGED
3103,Feature: Add msg-use demo,avocardio,2025-09-13T06:00:28Z,2025-09-13T14:57:14+00:00,1,8.95,True,546,2,7,583,1,9,10,MERGED
