number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
4922,fix: app freeze when core run by service mode and open app window,oomeow,2025-10-01T11:57:12Z,2025-10-04T12:44:49+00:00,2,72.79,True,34,25,3,82,4,0,4,MERGED
4879,fix(webdav/app): reset client on errors and improve app restart,Slinetrac,2025-09-27T16:02:46Z,2025-09-28T07:50:36+00:00,1,15.8,False,53,9,5,328,0,2,2,CLOSED
4859,rafactor: mihomo logging follow flexi_logger control,Tunglies,2025-09-26T08:29:39Z,2025-09-27T11:38:51+00:00,1,27.15,True,241,196,9,1107,4,0,4,MERGED
4815,修复win下系统托盘代理组与gui顺序不一致,Be-Forever223,2025-09-20T20:21:34Z,2025-09-21T01:45:26+00:00,1,5.4,True,53,22,1,150,0,3,3,MERGED
4795,fix: main thread block by sidecar launching.,Honghe,2025-09-18T11:21:37Z,2025-09-24T00:38:07+00:00,1,133.28,True,22,17,1,5,6,1,7,MERGED
4794,fix: 'React' must be in scope when using JSX (eslint: react/react-in-jsx-scope),Taoister39,2025-09-18T08:27:40Z,2025-09-18T11:04:13+00:00,1,2.61,True,1,1,1,0,0,0,0,MERGED
4689,edition 2024,Tunglies,2025-09-08T14:04:50Z,2025-09-09T16:38:09+00:00,1,26.56,True,782,794,51,369,6,0,6,MERGED
4682,fix: resolve from lightweight cause crash,Tunglies,2025-09-08T08:18:12Z,2025-09-09T10:50:24+00:00,2,26.54,True,205,252,10,0,5,0,5,MERGED
4674,refactor: clash-verge-service management,Tunglies,2025-09-07T14:01:43Z,2025-09-17T14:59:02+00:00,3,240.96,True,772,1377,20,0,7,0,7,MERGED
4582,fix rpm/deb package naming issues,hiaoxui,2025-08-31T04:43:07Z,2025-08-31T17:12:40+00:00,1,12.49,True,4,4,1,337,0,0,0,MERGED
4560,refactor: enhance async initialization and streamline setup process,Tunglies,2025-08-29T09:08:09Z,2025-08-29T15:51:09+00:00,2,6.72,True,956,879,22,637,0,6,6,MERGED
4556,修复：重复启动代理失效与重复启动轻量模式会自行开启,ONEUI8,2025-08-28T14:41:18Z,2025-08-31T02:54:50+00:00,2,60.23,False,28,4,2,16,4,2,6,CLOSED
4502,refactor(async): migrate from sync-blocking async execution to true async with unified AsyncHandler::spawn,Tunglies,2025-08-23T15:21:32Z,2025-08-25T17:49:51+00:00,2,50.47,True,2125,1807,47,1025,0,8,8,MERGED
4428,fix: clippy errors with new config,Tunglies,2025-08-17T07:43:51Z,2025-08-17T18:02:25+00:00,1,10.31,True,1270,918,49,0,0,4,4,MERGED
4420,Correct language expression #1,qyjoy,2025-08-16T12:54:03Z,2025-08-17T04:36:42+00:00,1,15.71,False,4,4,1,1222,4,0,4,CLOSED
4419,優化 getSystemProxyActualState 函數邏輯結構，簡化判斷邏輯以提高代碼可讀性和可維護性,qyjoy,2025-08-16T12:37:16Z,2025-08-25T17:51:50+00:00,2,221.24,False,9,14,1,1713,1,1,2,CLOSED
4417,fix: delete item when the profile item does not exist,wk989898,2025-08-16T06:43:00Z,2025-08-27T13:33:36+00:00,1,270.84,False,20,12,1,66,2,1,3,CLOSED
4392,修复更新订阅不及时刷新代理组,ONEUI8,2025-08-14T03:31:44Z,2025-08-15T03:00:13+00:00,1,23.47,False,0,0,0,29,0,0,0,CLOSED
4386,修复更新订阅不及时刷新代理组,ONEUI8,2025-08-13T09:17:44Z,2025-08-14T03:19:19+00:00,2,18.03,False,107,3,4,57,0,1,1,CLOSED
4380,fix: auto-detect KDE/Plasma and disable GTK CSD to fix titlebar button freeze,SergeyKharenko,2025-08-12T09:29:28Z,2025-08-12T11:27:46+00:00,2,1.97,True,18,1,2,527,1,1,2,MERGED
4332,fix:修复在TUN模式中，在没开启DNS覆写情况下被强制使用 dns 223.6.6.6（最近这个会严重影响我的网站访问速度）,agassiz,2025-08-06T02:27:01Z,2025-08-11T12:54:00+00:00,1,130.45,False,36,6,2,70,1,2,3,CLOSED
4215,add: home card drag,Ahaohaohao,2025-07-26T02:20:35Z,2025-07-26T14:13:44+00:00,1,11.89,True,366,120,5,0,4,1,5,MERGED
4167,feat (Releases): New assets type - `.snap`,Dragon1573,2025-07-23T04:45:27Z,2025-08-09T08:11:30+00:00,3,411.43,False,198,0,2,765,2,9,11,CLOSED
4074,fix: log levels will not display their respective logs correctly,Ahaohaohao,2025-07-14T23:54:46Z,2025-07-15T10:55:53+00:00,1,11.02,True,29,11,2,25,1,1,2,MERGED
4051,feat: migrate mihomo to use kode-bridge IPC on Windows and Unix,Tunglies,2025-07-13T09:47:44Z,2025-07-23T16:47:42+00:00,1,247.0,True,4031,1764,62,376,1,7,8,MERGED
4047,Add comprehensive dead code detection and cleanup tools,copilot-swe-agent,2025-07-13T07:14:57Z,2025-07-30T15:12:12+00:00,1,415.95,False,2133,12,8,2968,1,0,1,CLOSED
4036,optimize: the error message of the configuration URL,Ahaohaohao,2025-07-11T06:53:02Z,2025-07-11T15:34:09+00:00,2,8.69,False,47,11,5,82,0,3,3,CLOSED
3984,fix:that the previous auto-startup registry cannot be deleted after turning off the auto-startup in Windows,Ahaohaohao,2025-07-04T07:29:54Z,2025-07-05T03:54:04+00:00,3,20.4,False,73,0,2,141,1,2,3,CLOSED
3963,refactor: use React in its intended way,SukkaW,2025-07-02T08:27:14Z,2025-07-02T15:34:14+00:00,3,7.12,True,130,136,10,495,1,3,4,MERGED
3927,chore (ISSUE_TEMPLATE): 修改问题反馈模板,Dragon1573,2025-06-28T10:38:14Z,2025-06-28T13:23:47+00:00,2,2.76,True,7,0,1,482,3,1,4,MERGED
3909,Add cors,Ahaohaohao,2025-06-27T05:33:49Z,2025-06-30T12:48:20+00:00,4,79.24,True,472,57,14,19,9,1,10,MERGED
3847,"feat: choice multiple app event, example for show main window",Taoister39,2025-06-20T18:18:15Z,2025-06-26T15:10:02+00:00,1,140.86,False,48,6,9,350,6,0,6,CLOSED
3814,about tray and silent startup + automatic startup light repair and optimization,Ahaohaohao,2025-06-18T08:47:30Z,2025-06-18T12:00:33+00:00,4,3.22,True,132,53,7,10,1,2,3,MERGED
3719,fix: proxy mode description displays incorrectly,nova1751,2025-06-12T16:35:50Z,2025-06-14T21:19:30+00:00,2,52.73,True,22,15,5,27,4,0,4,MERGED
