number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
2,Add ping/pong to the protocol,code-asher,2019-03-05T01:17:28Z,2019-03-05T03:26:17+00:00,3,2.15
5,Implement #4 - fix password via CLI,icebob,2019-03-05T18:10:01Z,2019-03-06T08:08:43+00:00,8,13.98
6,Add task for packaging release,code-asher,2019-03-05T18:38:06Z,2019-03-07T00:15:53+00:00,4,29.63
10,Fixes calculate num of cpu threads for HappyPack,thekiba,2019-03-05T20:48:29Z,2019-03-05T23:02:50+00:00,1,2.24
28,Open localhost URL with --open,fand,2019-03-06T05:52:28Z,2019-03-07T17:23:55+00:00,5,35.52
45,Update to vscode 1.31.1,kylecarbs,2019-03-06T17:30:34Z,2019-03-06T19:10:24+00:00,1,1.66
46,Fix spelling error,philippgille,2019-03-06T18:00:17Z,2019-03-07T00:21:34+00:00,1,6.35
51,"Generate secure passwords, resolves issue #26",MichaelDesantis,2019-03-06T21:13:24Z,2019-03-07T00:25:45+00:00,1,3.21
54,Revise welcome page,nol166,2019-03-06T22:47:58Z,2019-03-07T16:25:47+00:00,1,17.63
57,Add Dockerfile and some cleanup,nhooyr,2019-03-06T23:02:20Z,2019-03-07T02:59:44+00:00,23,3.96
72,make docker build working with after a fresh checkout,zerdos,2019-03-07T08:07:12Z,2019-03-07T21:28:36+00:00,6,13.36
84,Generate the en_US.UTF-8 locale in the docker image,gordon-to,2019-03-07T14:01:50Z,2019-03-07T19:08:10+00:00,1,5.11
88,update example docker command port bind options,Omeryl,2019-03-07T15:55:27Z,2019-03-07T17:31:02+00:00,2,1.59
95,Patch welcome page,nol166,2019-03-07T17:33:19Z,2019-03-20T14:22:24+00:00,2,308.82
104,Docker issues,zerdos,2019-03-07T20:43:55Z,2019-03-16T17:47:47+00:00,24,213.06
111,Improve .dockerignore,unknown,2019-03-07T21:58:40Z,2019-03-08T17:13:25+00:00,2,19.25
113,Add note about extensions needing to be OSS,hbjydev,2019-03-08T00:44:00Z,2019-03-22T19:58:14+00:00,4,355.24
117,Feature/1.32.0 update,code-asher,2019-03-08T01:57:36Z,2019-03-08T16:37:04+00:00,1,14.66
130,Fixed documentation download links based on latest version,MoienTajik,2019-03-08T10:59:07Z,2019-03-18T15:45:20+00:00,5,244.77
133,Use a timing-safe equality check for passwords,mcpower,2019-03-08T13:07:04Z,2019-03-09T17:24:37+00:00,1,28.29
146,Add support for Kubernetes ,stevesloka,2019-03-08T18:57:17Z,2019-03-18T15:44:08+00:00,6,236.78
154,Added serviceworker and web-manifest,lucacasonato,2019-03-09T00:20:31Z,2019-04-16T20:44:58+00:00,15,932.41
156,Adhere to XDG base directory spec for dataDir and logDir,foresthoffman,2019-03-09T01:55:33Z,2019-03-09T17:11:31+00:00,2,15.27
159,Fix typo in Dockerfile,veeara282,2019-03-09T07:05:07Z,2019-03-09T17:06:48+00:00,1,10.03
162,Improve github issue template,avelino,2019-03-09T09:45:53Z,2019-03-09T17:07:43+00:00,1,7.36
167,Clone exact vscode release branch when build task,jeasonstudio,2019-03-09T11:03:43Z,2019-03-10T15:02:09+00:00,2,27.97
170,Added ENTRYPOINT to omit full command at launch.,ay-b,2019-03-09T13:20:50Z,2019-03-09T22:51:54+00:00,2,9.52
172,Add nginx reverse proxy guide for selfhosted,ezrizhu,2019-03-09T19:18:26Z,2019-03-10T15:36:57+00:00,2,20.31
179,Update docker oneliner and fix clone task,nhooyr,2019-03-09T23:42:06Z,2019-03-10T15:39:28+00:00,2,15.96
181,Add -t flag to docker example,KSXGitHub,2019-03-10T06:22:25Z,2019-03-10T13:28:26+00:00,2,7.1
188,Another fix for the Dockerfile and build,nhooyr,2019-03-10T17:02:22Z,2019-03-11T14:47:42+00:00,1,21.76
