number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
10204,[V3] convert nodes_stable3d.py to V3 schema,bigcat88,2025-10-04T15:25:39Z,2025-10-04T19:33:48+00:00,1,4.14,True,89,66,1,3738,1,0,1,MERGED
10195,[V3] convert nodes_rodin.py to V3 schema,bigcat88,2025-10-04T07:07:04Z,2025-10-04T19:29:09+00:00,1,12.37,True,465,450,1,12979,1,0,1,MERGED
10192,"fix(api-nodes): enable 2 more pylint rules, removed non needed code",bigcat88,2025-10-04T04:59:02Z,2025-10-04T19:22:57+00:00,1,14.4,True,4,50,3,1294,1,0,1,MERGED
10186,Fix type annotation syntax in MotionEncoder_tc __init__,Finn-Hecker,2025-10-03T20:18:44Z,2025-10-03T21:32:19+00:00,1,1.23,True,1,1,1,450,0,0,0,MERGED
10181,fix(api-nodes): reimport of base64 in Gemini node,bigcat88,2025-10-03T15:40:38Z,2025-10-03T18:40:27+00:00,1,3.0,True,0,2,2,41,1,0,1,MERGED
10180,[V3] convert nodes_tomesd.py to V3 schema,bigcat88,2025-10-03T15:28:14Z,2025-10-03T18:50:38+00:00,1,3.37,True,32,18,1,1039,1,0,1,MERGED
10177,[V3] convert nodes_pixverse.py to V3 schema,bigcat88,2025-10-03T13:52:47Z,2025-10-03T18:48:22+00:00,1,4.93,True,227,222,1,343,1,0,1,MERGED
10175,fix(api-nodes): bad indentation in Recraft API node function,bigcat88,2025-10-03T10:14:21Z,2025-10-03T18:41:07+00:00,1,8.45,True,41,42,2,46,1,0,1,MERGED
10173,[V3] convert nodes_torch_compile.py to V3 schema,bigcat88,2025-10-03T07:11:50Z,2025-10-03T18:43:55+00:00,1,11.53,True,31,15,1,1630,1,0,1,MERGED
10172,[V3] convert nodes_eps.py to V3 schema,bigcat88,2025-10-03T06:34:43Z,2025-10-03T18:45:02+00:00,1,12.17,True,39,25,1,1044,1,0,1,MERGED
10159,[V3] convert nodes_morphology.py to V3 schema,bigcat88,2025-10-02T13:37:36Z,2025-10-02T20:53:00+00:00,1,7.26,True,70,46,1,3634,1,0,1,MERGED
10156,fix(api-nodes): made logging path to be smaller,bigcat88,2025-10-02T11:46:04Z,2025-10-02T21:50:31+00:00,1,10.07,True,59,18,2,823,2,0,2,MERGED
10155,feat(api-nodes): add kling-2-5-turbo to txt2video and img2video nodes,bigcat88,2025-10-02T07:58:54Z,2025-10-03T18:26:35+00:00,1,34.46,True,4,0,2,85,3,0,3,MERGED
