number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
26,adjust_size and pack image,szha,2017-09-10T05:01:25Z,2017-09-10T15:55:19+00:00,1,10.9
56,Remove unused definitions,astonzhang,2017-09-22T07:06:50Z,2017-09-22T23:16:45+00:00,2,16.17
67,Add Kaggle pipeline for cifar-10,astonzhang,2017-10-04T11:31:53Z,2017-10-09T23:56:28+00:00,11,132.41
74,Small sync for chapter_preface/preface.md,yuweiw823,2017-10-15T06:32:52Z,2017-10-17T22:39:12+00:00,3,64.11
75,"Sync chapter_crashcourse/introduction, part 1",yuweiw823,2017-10-16T02:06:23Z,2017-10-17T04:54:31+00:00,2,26.8
78,Chapter_crashhourse/introduction.md part2 sync,yuweiw823,2017-10-18T08:18:36Z,2017-10-19T23:08:05+00:00,2,38.82
93,Sync chapter_01/ndarray,yuweiw823,2017-10-31T06:58:46Z,2017-11-04T22:36:54+00:00,5,111.64
94,Sync chapter_01/autograd,yuweiw823,2017-11-01T05:21:22Z,2017-11-08T19:53:53+00:00,4,182.54
96,Sync chapter_02/linger-regression-scratch,yuweiw823,2017-11-02T06:45:55Z,2017-11-08T19:53:31+00:00,2,157.13
110,Revise regularization notebooks and minor update for batch norm,astonzhang,2017-11-29T22:26:27Z,2017-12-14T15:55:47+00:00,1,353.49
224,This is mainly to fix some typos in FCN,zheng-da,2018-03-14T06:47:14Z,2018-03-14T18:16:14+00:00,1,11.48
226,Using fine-tuned model in Kaggle Dog competition,hetong007,2018-03-28T18:16:05Z,2018-03-29T00:10:46+00:00,2,5.91
234,Fixed an outdated link that is 404ing,hukun01,2018-04-03T21:48:34Z,2018-04-03T23:22:44+00:00,2,1.57
240,fix fine-tune,piiswrong,2018-04-11T18:57:40Z,2018-04-12T01:02:13+00:00,1,6.08
243,Update block.md,mli,2018-05-03T05:36:03Z,2018-05-03T18:15:46+00:00,2,12.66
244,update block,mli,2018-05-03T23:37:59Z,2018-05-06T19:55:36+00:00,1,68.29
245,Change tokenizer in sentiment analysis example,cgraywang,2018-05-08T05:17:12Z,2018-05-10T02:02:46+00:00,1,44.76
247,add spacy in sentiment analysis exercise,cgraywang,2018-05-10T22:17:36Z,2018-05-14T18:36:02+00:00,1,92.31
260,"Minor changes for Chapter 2, Section 8.4 and Section 8.5",reminisce,2018-06-01T20:20:21Z,2018-06-02T16:10:40+00:00,1,19.84
263,autograd,mli,2018-06-10T17:01:55Z,2018-06-16T23:54:14+00:00,1,150.87
264,linear reg scratch,mli,2018-06-10T18:20:23Z,2018-06-28T20:45:30+00:00,1,434.42
267,Improve NLP chapter,cgraywang,2018-06-19T06:48:00Z,2018-06-27T00:13:44+00:00,2,185.43
274,"comments for ch1&2, don't merge",mli,2018-07-05T00:50:24Z,2018-07-18T23:04:02+00:00,1,334.23
275,add sentiment-analysis-cnn,xiaotinghe,2018-07-05T19:29:04Z,2018-07-15T01:31:22+00:00,7,222.04
286,comments for rnn,mli,2018-07-15T23:07:40Z,2018-09-07T21:01:49+00:00,1,1293.9
301,sentiment-analysis multiple gpus,xiaotinghe,2018-07-25T17:31:20Z,2018-07-26T20:57:59+00:00,1,27.44
307,更改Notebook首字母,ibyte2011,2018-08-03T05:01:48Z,2018-08-03T17:51:13+00:00,2,12.82
314,Add the difference between training and predicting under Autograd,fierceX,2018-08-07T05:09:08Z,2018-08-13T21:28:55+00:00,3,160.33
320,Fix Gram matrix,Tom-Ren,2018-08-09T13:29:16Z,2018-10-26T17:22:00+00:00,4,1875.88
323,fix how-to-use.md,fierceX,2018-08-10T03:02:24Z,2018-08-10T19:35:26+00:00,2,16.55
328,fix install.md,fierceX,2018-08-11T04:16:48Z,2018-08-12T16:53:44+00:00,1,36.62
340,revise subscript i->n,rongruosong,2018-08-27T09:26:51Z,2018-08-28T21:18:35+00:00,2,35.86
347,发现错误【真是一本好书，为可以贡献自己的一份力而自豪！】,gyp03,2018-09-01T10:33:29Z,2018-09-01T14:07:34+00:00,7,3.57
351,revise typos and polish,rongruosong,2018-09-02T12:15:00Z,2018-09-03T00:20:39+00:00,1,12.09
353,revise typos and polish,rongruosong,2018-09-03T07:32:21Z,2018-09-04T00:18:46+00:00,2,16.77
385,修改附录里面的几个数学符号的写法,xinetzone,2018-09-20T16:24:08Z,2018-09-26T07:26:54+00:00,2,135.05
406,Tweak fcn section,icemelon,2018-10-30T20:22:09Z,2018-10-30T23:03:20+00:00,2,2.69
436,fix typo,yanwenlei,2018-12-02T07:48:13Z,2018-12-03T05:01:44+00:00,3,21.23
442,提醒读者set操作可能得到不同的结果,Jonariguez,2018-12-07T06:27:04Z,2018-12-10T10:55:31+00:00,4,76.47
448,Update the description & comment,WangHaizhen,2018-12-12T03:00:14Z,2018-12-12T07:37:23+00:00,2,4.62
450,错别字,lanking520,2018-12-16T13:44:59Z,2018-12-17T04:19:22+00:00,1,14.57
531,[WIP] natural language inference,xiaotinghe,2019-07-12T17:54:14Z,2019-09-05T02:10:36+00:00,44,1304.27
533,[WIP] Bert,xiaotinghe,2019-08-12T22:33:29Z,2019-09-05T02:10:50+00:00,12,555.62
536,Natural Language Understanding,xiaotinghe,2019-09-18T13:12:33Z,2019-12-10T01:25:28+00:00,4,1980.22
539,WordPiece,xiaotinghe,2019-10-21T23:56:38Z,2019-12-17T19:27:42+00:00,15,1363.52
543,add text.py,xiaotinghe,2020-06-16T01:22:05Z,2020-06-23T19:16:03+00:00,5,185.9
552,[MRG] Linear Neural Networks/Linear Regression,xiaotinghe,2020-08-02T22:14:46Z,2020-08-13T22:08:09+00:00,37,263.89
553,[MRG] Linear Neural Networks/Linear Regression Implementation from Scratch,xiaotinghe,2020-08-02T22:16:23Z,2020-08-13T22:09:22+00:00,11,263.88
