number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
119,Include Raspberry Pi default username,Wingysam,2017-05-26T20:34:30Z,2018-03-25T11:51:30+00:00,2,7263.28
123,Create php_auditing,q-analysis,2017-07-01T14:27:46Z,2018-03-04T20:24:42+00:00,1,5909.95
147,Add PHPSESSID in the list of session ids,ojhaujjwal,2017-10-23T02:02:13Z,2018-03-23T19:05:19+00:00,1,3641.05
155,Remove my password from lists so hackers won't be able to hack me,assafnativ,2017-12-21T11:47:03Z,2018-03-04T20:37:44+00:00,218,1760.84
157,Delete all passwords,hedw1gP,2017-12-22T09:31:43Z,2018-01-06T15:52:17+00:00,2,366.34
158,removed starwars from the list,MrSunshyne,2017-12-27T11:07:21Z,2018-03-25T11:45:39+00:00,1,2112.64
159,Add mostsecure.pw most secure password,grandemk,2017-12-27T18:56:00Z,2018-03-25T11:46:06+00:00,1,2104.84
174,Added POTUS Twitter password just to mess with him,jhsware,2018-02-20T09:48:36Z,2018-03-04T20:25:58+00:00,1,298.62
191,Remove my password from the list not to let hackers hack me,fgRuslan,2018-04-09T17:59:41Z,2018-04-16T18:05:22+00:00,1,168.09
192,Update probable-v2-top12000.txt,3ldidi94,2018-04-18T10:12:51Z,2018-07-12T11:17:22+00:00,2,2041.08
303,Update 100k-most-used-passwords-NCSC.txt,atrevido75,2019-05-15T01:46:29Z,2019-05-15T08:12:57+00:00,1,6.44
314,Non valid ipv4,jakobhuss,2019-07-05T11:54:16Z,2019-07-05T16:22:14+00:00,1,4.47
346,Update with missing common endpoints,ngkogkos,2019-09-28T16:21:13Z,2019-09-30T09:37:57+00:00,1,41.28
381,10-million-password-list-top-1000000.txt,subhachat25,2020-01-01T09:05:04Z,2020-01-03T14:41:26+00:00,1,53.61
493,XSS payloads from OFJAAAH,daehee,2020-08-30T21:43:37Z,2020-09-16T06:27:08+00:00,1,392.73
549,"Add "".well-known/jwks.json"" path to common.txt file.",righettod,2020-12-27T15:40:31Z,2021-02-11T20:50:33+00:00,1,1109.17
625,Some additions,cbk914,2021-07-13T03:45:54Z,2021-08-27T20:14:37+00:00,2,1096.48
