number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
19941,[5.1.x] Refs #36646 -- Doc'd that oracledb < 3.3.0 is required.,felixxm,2025-10-10T13:40:11Z,2025-10-10T21:08:19+00:00,1,7.47,True,2,2,2,12,1,0,1,MERGED
19936,Corrected admin check IDs in docs.,felixxm,2025-10-09T14:07:21Z,2025-10-09T18:01:31+00:00,1,3.9,True,3,3,1,4586,2,0,2,MERGED
19928,Refs #36595 -- Ran GitHub tests against PostGIS 3.6.,camuthig,2025-10-07T15:21:55Z,2025-10-08T14:52:32+00:00,2,23.51,True,1,1,1,928,2,1,3,MERGED
19927,"Pinned ""New contributor"" GitHub action to v3.0 to fix ""Error: Input required and not supplied: issue_message"".",timonweb,2025-10-07T11:23:45Z,2025-10-08T01:41:06+00:00,1,14.29,True,4,0,1,552,1,0,1,MERGED
19924,Added missing backticks in docs/ref/models/fields.txt.,felixxm,2025-10-07T09:44:20Z,2025-10-08T08:59:00+00:00,2,23.24,True,6,5,1,0,1,2,3,MERGED
19917,Fixed #36636 -- Removed session-based storage reference from set_language() docs and docstring.,DaniFornons,2025-10-03T12:23:25Z,2025-10-03T19:16:37+00:00,2,6.89,True,6,7,2,989,1,2,3,MERGED
19916,Fixed #36623 -- Dropped support for PostgreSQL 14 and PostGIS 3.1.,felixxm,2025-10-03T11:24:28Z,2025-10-03T21:12:58+00:00,1,9.81,True,32,30,13,12,4,0,4,MERGED
19914,Refs #36491 -- Skipped ParallelTestSuiteTest.test_buffer_mode_reports_setupclass_failure() without tblib.,felixxm,2025-10-02T07:24:55Z,2025-10-02T11:20:01+00:00,2,3.92,True,1,0,1,2582,1,0,1,MERGED
19913,Rewrapped security archive at 79 chars.,felixxm,2025-10-01T19:17:07Z,2025-10-01T20:24:00+00:00,2,1.11,True,2,2,1,0,0,0,0,MERGED
19910,Skipped NOT NULL constraints on PostgreSQL 18+.,felixxm,2025-09-28T14:12:46Z,2025-09-29T21:09:53+00:00,2,30.95,True,3,1,1,141,2,0,2,MERGED
19909,Fixed assertIndexExists() crash when non-index constraint exists on the same columns.,felixxm,2025-09-28T10:49:03Z,2025-09-29T21:01:13+00:00,2,34.2,True,1,0,1,2401,1,0,1,MERGED
19907,Fixed #36277 -- Fixed DatabaseFeatures.supports_virtual_generated_columns on PostgreSQL 18+.,arsalan64,2025-09-27T17:41:20Z,2025-09-29T09:58:08+00:00,5,40.28,True,9,3,2,615,2,3,5,MERGED
19903,"Refs #36143, #28596 -- Avoided mentioning exact query parameter limit in bulk_create() docs.",jacobtylerwalls,2025-09-25T13:57:47Z,2025-10-03T15:25:17+00:00,3,193.46,True,2,2,1,126,1,1,2,MERGED
19899,Fixed #36619 -- Vendored eslint configuration dependencies.,jacobtylerwalls,2025-09-24T02:47:47Z,2025-09-30T06:45:39+00:00,6,147.96,True,1267,4,4,730,0,3,3,MERGED
19895,Refs #36163 -- Removed duplicated release note paragraph.,adamchainz,2025-09-23T16:30:15Z,2025-09-24T11:06:00+00:00,5,18.6,True,6,12,1,520,3,1,4,MERGED
19894,"Fixed warning in ""New contributor"" GitHub action.",felixxm,2025-09-22T21:49:39Z,2025-09-23T06:01:23+00:00,1,8.2,True,2,2,1,139,1,0,1,MERGED
19893,Added words to spelling_wordlist.,jacobtylerwalls,2025-09-22T21:17:21Z,2025-09-22T22:23:15+00:00,7,1.1,False,4,0,1,1193,0,1,1,CLOSED
19892,Refs #25508 -- Used QuerySet.__repr__ in docs/ref/contrib/postgres/search.txt.,jacobtylerwalls,2025-09-22T20:17:52Z,2025-09-23T14:07:32+00:00,2,17.83,True,11,11,1,34,1,7,8,MERGED
19891,"Fixed #35877, Refs #36128 -- Documented unique constraint when migrating a m2m field to use a through model.",Samriddha9619,2025-09-22T20:00:09Z,2025-09-29T06:57:11+00:00,12,154.95,True,9,1,1,935,0,2,2,MERGED
19888,Bumped versions in pre-commit and npm configurations.,felixxm,2025-09-22T10:34:54Z,2025-09-22T15:25:19+00:00,1,4.84,True,9,9,3,0,1,0,1,MERGED
19882,"Refs #36152, #35667 -- Used skip_file_prefixes in deprecation warning for aliases with ""%"".",jacobtylerwalls,2025-09-18T19:53:45Z,2025-09-19T18:38:07+00:00,1,22.74,True,2,8,1,144,0,0,0,MERGED
19881,Clarified feature freeze and alpha release steps in docs/internals/howto-release-django.txt.,nessita,2025-09-18T18:31:22Z,2025-09-19T01:07:06+00:00,1,6.6,True,26,14,1,58,0,0,0,MERGED
19880,Refs #28526 -- Provided URLResolver namespace in technical 404 template.,jacobtylerwalls,2025-09-18T16:57:30Z,2025-09-26T12:06:39+00:00,9,187.15,True,31,6,3,939,0,4,4,MERGED
19879,Added cleanup of cache clearing to DjangoFilePrefixesTests.setUp().,sarahboyce,2025-09-18T14:29:54Z,2025-09-19T07:49:03+00:00,2,17.32,True,1,0,1,276,1,0,1,MERGED
19878,[6.0.x] Updated source translation catalogs.,nessita,2025-09-18T01:11:45Z,2025-09-18T13:11:46+00:00,1,12.0,True,225,193,2,201,0,0,0,MERGED
19877,[5.2.x] Updated translations from Transifex.,nessita,2025-09-18T01:08:57Z,2025-09-18T12:50:47+00:00,1,11.7,True,1510,1322,129,339,0,0,0,MERGED
19876,Refs #35859 -- Removed deferral of task enqueuing until transaction commit.,jacobtylerwalls,2025-09-17T13:25:17Z,2025-09-17T16:28:58+00:00,15,3.06,True,37,356,15,510,0,2,2,MERGED
19874,Fixed #36614 -- Deprecated QuerySet.values_list(flat=True) without a field.,adamchainz,2025-09-17T10:00:34Z,2025-09-30T06:46:28+00:00,2,308.76,True,54,7,4,518,1,2,3,MERGED
19873,Fixed #36612 -- Fixed a KeyTextTransform crash on MySQL against annotations.,charettes,2025-09-17T06:02:17Z,2025-09-22T07:00:24+00:00,1,120.97,True,12,2,2,453,0,0,0,MERGED
19872,Pre-edits for 6.0a1.,nessita,2025-09-17T02:24:40Z,2025-09-17T17:20:41+00:00,9,14.93,True,137,220,2,0,1,4,5,MERGED
19871,Refs #27222 -- Restored Model.save()'s refreshing of db_returning fields even if a value is set.,charettes,2025-09-16T22:13:55Z,2025-09-17T11:50:08+00:00,10,13.6,True,24,4,3,235,2,3,5,MERGED
19868,"Refs #27222 -- Restored Model.save()'s refreshing of db_returning fields, even if a value is set.",timgraham,2025-09-16T14:18:35Z,2025-09-16T23:42:43+00:00,3,9.4,False,9,2,2,98,1,1,2,CLOSED
