number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
78,docs: add microservices-diffabouteureka_zk,totalo,2019-07-06T14:06:55Z,2019-08-03T06:42:11+00:00,1,664.59
103,add an article,unknown,2019-09-03T12:40:01Z,2019-09-04T01:18:51+00:00,1,12.65
113,alter translation of monolithic,kid1412621,2019-09-28T08:50:56Z,2019-09-28T10:45:56+00:00,1,1.92
116,docs(from-readers): add an article about micro service,huifer,2019-10-22T01:35:38Z,2019-10-25T02:21:51+00:00,1,72.77
118,micro service,huifer,2019-10-30T13:34:16Z,2019-11-01T07:46:28+00:00,2,42.2
120,micro service,huifer,2019-11-08T11:21:25Z,2019-11-12T02:55:05+00:00,1,87.56
121,增加利用定时刷新缓存的方式来应对缓存击穿的表述,GungnirLaevatain,2019-11-11T16:13:22Z,2019-11-12T02:50:28+00:00,1,10.62
146,docs: update wrong character,DoyuTu,2020-02-01T14:38:53Z,2020-02-02T02:47:40+00:00,1,12.15
152,add how-eureka-enable-service-discovery-and-service-registration.md,mghio,2020-03-19T04:25:05Z,2020-03-20T00:42:29+00:00,2,20.29
163,"redis不能使用setnx和expire来实现分布式锁,应使用set命令及其nx,ex和px选项来实现",ZhenghaeHo,2020-04-29T18:35:35Z,2020-04-30T01:06:20+00:00,1,6.51
166,add an article,unknown,2020-05-09T13:24:17Z,2020-05-10T00:59:10+00:00,1,11.58
171,补充 分布式事务解决方案Saga,AmyliaY,2020-06-27T10:16:48Z,2020-06-27T14:27:26+00:00,1,4.18
223,add knowledge about redis-rehash,tgpcai,2021-04-08T13:17:23Z,2021-04-09T07:36:57+00:00,1,18.33
232,docs: update caching penetration content,liukun2634,2021-07-24T05:00:13Z,2021-07-24T06:06:35+00:00,1,1.11
260,位图法这里漏乘了整型的长度,sincof,2022-04-30T03:47:22Z,2022-04-30T06:44:28+00:00,1,2.95
304,chore(deps-dev): bump ws from 6.2.2 to 6.2.3,dependabot,2024-06-18T23:40:39Z,2024-06-19T03:42:41+00:00,1,4.03
305,chore(deps-dev): bump braces from 3.0.2 to 3.0.3,dependabot,2024-06-19T03:43:07Z,2024-06-21T10:38:37+00:00,1,54.92
315,docs: update the links in summary.md to relative paths,m79464449p,2025-02-25T05:28:40Z,2025-03-17T06:54:01+00:00,1,481.42
316,chore(deps-dev): bump prismjs from 1.29.0 to 1.30.0,dependabot,2025-03-10T22:25:04Z,2025-03-17T06:53:42+00:00,1,152.48
319,docs: modify how-eureka-enable-service-discovery-and-service-registration.md,cn-zane,2025-04-10T09:17:23Z,2025-04-10T23:36:11+00:00,2,14.31
