number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
135987,Avoid rewrite round_to with expensive queries,dnhatn,2025-10-04T01:23:24Z,2025-10-04T15:17:47+00:00,8,13.91,True,153,1,3,1312,4,5,9,MERGED
135978,Split on line feed when parsing transport files in the build,rjernst,2025-10-03T22:48:42Z,2025-10-03T23:54:31+00:00,1,1.1,True,8,4,2,299,2,0,2,MERGED
135973,Change keep_words_path type from array to string,Philippus,2025-10-03T21:28:38Z,2025-10-05T01:18:26+00:00,1,27.83,True,1,1,1,0,6,0,6,MERGED
135901,ES|QL: support dot and parameters in FUSE GROUP BY,luigidellaquila,2025-10-03T10:45:18Z,2025-10-03T16:34:26+00:00,3,5.82,True,1437,1328,7,231,2,1,3,MERGED
135897,Apply source excludes early when retrieving the _inference_fields,jimczi,2025-10-03T09:48:06Z,2025-10-03T16:57:06+00:00,1,7.15,True,56,0,4,3158,4,0,4,MERGED
135874,Remove transport version V_7_0_0,jdconrad,2025-10-02T19:46:31Z,2025-10-03T16:12:44+00:00,1,20.44,True,3,307,6,8,2,0,2,MERGED
135867,Migrate transport versions 9000007 through 9000000,jdconrad,2025-10-02T18:37:09Z,2025-10-02T23:05:05+00:00,1,4.47,True,65,51,18,115,2,0,2,MERGED
135864,Removing unused projectId from random sampling RawDocument,masseyke,2025-10-02T18:14:35Z,2025-10-02T19:31:36+00:00,2,1.28,True,13,23,2,315,1,0,1,MERGED
135862,Skip spec tests when test cluster broken,dnhatn,2025-10-02T17:02:59Z,2025-10-04T00:58:52+00:00,3,31.93,True,23,1,2,156,4,0,4,MERGED
135860,Add initial 9.2.0 transport version,rjernst,2025-10-02T16:38:25Z,2025-10-02T22:05:55+00:00,1,5.46,True,2,1,2,0,1,0,1,MERGED
135859,Adding a new development format for diskbbq,benwtrent,2025-10-02T16:21:48Z,2025-10-02T17:28:51+00:00,1,1.12,True,1845,43,17,237,1,0,1,MERGED
135858,Avoid running SamplingServiceTests if sampling feature flag is missing,masseyke,2025-10-02T15:49:48Z,2025-10-02T16:59:02+00:00,2,1.15,True,9,12,3,441,1,0,1,MERGED
135857,Make packaging test deletes robust for Windows,rjernst,2025-10-02T15:48:24Z,2025-10-02T23:29:18+00:00,2,7.68,True,14,13,2,236,4,0,4,MERGED
135855,Remove DeprecationHttpIT.testUniqueDeprecationResponsesMergedTogether,mosche,2025-10-02T15:40:13Z,2025-10-02T16:49:15+00:00,1,1.15,True,0,45,2,63,1,0,1,MERGED
135854,logstashbridge: map ES logging to log4j backend,yaauie,2025-10-02T15:28:41Z,2025-10-02T17:31:07+00:00,1,2.04,True,30,0,2,150,2,2,4,MERGED
135852,Remove `avg` from pre-computed summaries for downsample action,shainaraskas,2025-10-02T14:44:15Z,2025-10-03T14:35:33+00:00,2,23.86,True,1,1,1,73,3,0,3,MERGED
135851,DiskBBQ - missing min competitive similarity check on tail docs,tteofili,2025-10-02T14:27:40Z,2025-10-03T05:58:12+00:00,1,15.51,True,8,1,2,103,2,0,2,MERGED
135847,Fix entitlements for DatagramSocket.connect,mosche,2025-10-02T13:35:43Z,2025-10-02T15:47:15+00:00,1,2.19,True,10,2,3,43,1,0,1,MERGED
135845,Defer Semantic Text Failures on Pre-8.11 Indices,Mikep86,2025-10-02T13:17:50Z,2025-10-02T18:31:36+00:00,1,5.23,True,138,65,4,215,5,1,6,MERGED
135844,rest-api-spec: add project.tags API,pquentin,2025-10-02T12:48:21Z,2025-10-03T12:46:48+00:00,1,23.97,True,21,0,1,398,2,0,2,MERGED
135827,Remove unused `docs-mdx` subdir,DaveCTurner,2025-10-02T08:11:47Z,2025-10-02T12:26:36+00:00,1,4.25,True,0,136,1,0,1,0,1,MERGED
135819,Migrate transport versions 9108_000 through 9086_000,jdconrad,2025-10-01T23:04:08Z,2025-10-02T14:16:27+00:00,1,15.21,True,124,86,32,66,2,1,3,MERGED
135813,Ensure partial aggregation outputs match layout,dnhatn,2025-10-01T21:46:03Z,2025-10-02T20:50:08+00:00,4,23.07,True,63,39,3,700,2,3,5,MERGED
135812,Fix testStopQueryInlineStats - allow wider range of values,smalyshev,2025-10-01T21:34:51Z,2025-10-03T17:03:05+00:00,1,43.47,True,6,8,2,14,2,0,2,MERGED
135807,Change upstreamRef override to baseRef override,rjernst,2025-10-01T21:15:10Z,2025-10-01T22:28:44+00:00,1,1.23,True,45,51,6,537,2,0,2,MERGED
135806,Migrate transport versions 9162_000 through 9158_000,jdconrad,2025-10-01T20:42:59Z,2025-10-01T22:17:57+00:00,1,1.58,True,65,40,21,8,1,0,1,MERGED
135805,Add another note to `maybeValidateDataStreamsStillReferenced`,nielsbauman,2025-10-01T20:37:03Z,2025-10-02T22:18:18+00:00,1,25.69,True,3,0,1,96,1,0,1,MERGED
135800,[ML] Switch TextExpansionQueryBuilder and TextEmbeddingQueryVectorBuilder to return 400 instead of 500 errors ,jonathan-buttner,2025-10-01T19:08:54Z,2025-10-02T14:37:16+00:00,7,19.47,True,126,3,7,494,2,4,6,MERGED
135797,Relax exception condition on testFilterWithUnavailableRemote,smalyshev,2025-10-01T18:35:33Z,2025-10-01T21:55:37+00:00,1,3.33,True,3,7,2,80,1,0,1,MERGED
135789,Migrate transport versions 8841_032 and 8841_031,jdconrad,2025-10-01T17:45:05Z,2025-10-01T19:37:44+00:00,1,1.88,True,13,12,5,8,2,0,2,MERGED
