number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
510,adding more resources: faq and HOC,da-vaibhav,2016-08-25T19:10:04Z,2017-11-02T12:11:27+00:00,3,10409.02
541,update jsfiddle with syntax highlighting,oleksandr-shvets,2016-10-22T16:20:16Z,2017-03-05T22:44:12+00:00,1,3222.4
548,Add react-laser-beam,chikara-chan,2016-10-31T02:48:38Z,2016-11-01T02:10:04+00:00,1,23.36
601,Add Ant Design,afc163,2017-03-05T06:17:27Z,2017-12-23T09:55:24+00:00,1,7035.63
668,Added https://github.com/dkozar/react-data-menu,dkozar,2017-08-30T01:07:23Z,2017-11-02T12:14:35+00:00,1,1547.12
675,Update README.md,challenger532,2017-09-20T12:36:07Z,2017-12-28T20:51:15+00:00,1,2384.25
704,Duplication of the same resource,amandeepmittal,2017-11-14T07:03:54Z,2017-11-20T23:47:29+00:00,3,160.73
705,Add react-credit-card-input and react-creditcard,jxom,2017-11-15T02:18:34Z,2017-11-15T07:57:10+00:00,1,5.64
706,Adding email-autocomplete-input react component,iamthesiz,2017-11-15T18:55:22Z,2017-11-16T08:50:12+00:00,1,13.91
709,⚡ Add Stackblitz,HZooly,2017-11-21T08:47:58Z,2017-11-21T10:28:30+00:00,1,1.68
712,Add RemoteRetro application link to Real Apps,tnewell5,2017-11-30T16:10:28Z,2017-12-06T17:56:30+00:00,2,145.77
713,Added GraphQL bridge to REST API,dacz,2017-12-01T23:54:07Z,2018-01-17T08:42:56+00:00,2,1112.81
717,"Add ""react-tv"" in projects topic",raphamorim,2017-12-08T19:51:35Z,2017-12-09T10:16:00+00:00,1,14.41
725,Fix typo,hansnow,2017-12-19T02:38:56Z,2017-12-19T06:16:03+00:00,1,3.62
728,Add Hydux(an Elm-Like state manager),zaaack,2017-12-20T07:34:33Z,2017-12-20T09:17:57+00:00,2,1.72
730,A suggestion for a resource page addition,Saurabh-hooda,2017-12-26T14:14:55Z,2017-12-26T15:15:55+00:00,1,1.02
732,Add Prerendering section,stereobooster,2017-12-31T01:21:57Z,2018-01-02T04:54:18+00:00,1,51.54
733,Update README.md,siddharthlatest,2018-01-09T20:09:18Z,2018-01-09T22:13:13+00:00,1,2.07
734,"Add ""Building React components"" section",markusenglund,2018-01-10T00:14:42Z,2018-01-10T06:26:28+00:00,1,6.2
740,Add react-ui-cards to components,nukeop,2018-01-17T13:55:41Z,2018-01-19T13:29:39+00:00,1,47.57
744,New video courses,vardaan,2018-01-28T03:47:27Z,2018-01-29T08:19:17+00:00,1,28.53
748,added link to a React + Redux + TypeScript boilerplate with extensive…,dsheiko,2018-02-05T09:58:14Z,2018-02-06T16:37:50+00:00,1,30.66
767,Added Community Curated React Resources,rohduggal,2018-03-12T14:01:27Z,2018-03-12T16:27:18+00:00,1,2.43
768,fix: type error Apolo should be Apollo,ICELI,2018-03-16T03:40:20Z,2018-03-16T07:31:29+00:00,1,3.85
796,"Added GraphQL tutorial with Apollo, React and Meteor",juandc,2018-05-10T20:45:37Z,2018-05-11T07:19:37+00:00,1,10.57
798,add react router5 to routing libs,wrightm,2018-05-10T21:16:13Z,2018-05-11T06:36:19+00:00,1,9.34
819,Remove duplicate,yoyo837,2018-06-23T02:49:16Z,2018-06-23T05:42:25+00:00,1,2.89
824,Add react-cli,mgrip,2018-07-01T13:08:46Z,2018-07-01T17:35:54+00:00,1,4.45
835,Add ReactJS interview questions and answers,sudheerj,2018-08-06T02:27:50Z,2018-08-06T16:06:24+00:00,2,13.64
865,"Add ""Analyzing React Performance"" section",DawChihLiou,2018-10-02T18:11:57Z,2018-10-11T10:51:14+00:00,4,208.65
869,Add cogo-toast to React Components,anmdotdev,2018-10-11T09:41:09Z,2018-10-11T10:49:33+00:00,3,1.14
873,Add React 360,tvalentius,2018-10-23T01:34:56Z,2019-01-07T20:27:44+00:00,1,1842.88
889,Sub category of components - animation components to make it tidier & a component suggestion,mentaman,2018-12-10T17:51:00Z,2018-12-11T09:02:55+00:00,1,15.2
892,Add reactjs-popup component,yjose,2018-12-16T01:30:29Z,2018-12-17T13:20:15+00:00,1,35.83
900,Add Razzle Material-UI Styled Example and related article,kireerik,2019-01-04T17:05:09Z,2019-01-06T07:06:39+00:00,2,38.02
902,"Curate the ""real apps"" section",paulmelnikow,2019-01-07T20:45:49Z,2019-01-07T21:47:14+00:00,1,1.02
904,Add filterbuilder component,komarovalexander,2019-01-12T21:45:15Z,2019-01-14T13:13:55+00:00,1,39.48
907,added React Material Web Components,buncis,2019-01-16T07:36:19Z,2019-01-16T08:38:17+00:00,1,1.03
920,Add ClearX: Effortless React State Management,svapreddy,2019-03-11T08:12:46Z,2019-03-12T08:43:12+00:00,1,24.51
975,Add MDB React,marveluck,2019-07-03T10:44:55Z,2019-12-14T07:37:36+00:00,1,3932.88
976,Added react-stack-cards,yoloten,2019-07-04T17:46:07Z,2019-12-14T07:33:10+00:00,2,3901.78
996,Added some data visualization libraries,joaopalmeiro,2019-08-22T00:02:52Z,2019-08-24T11:03:45+00:00,3,59.01
1002,Added Reakit to React Component Libraries,duff92,2019-09-10T06:35:10Z,2019-09-10T10:53:36+00:00,1,4.31
1013,Adding connected-react-router and atlaskit,98lenvi,2019-10-09T10:59:35Z,2019-10-10T09:00:20+00:00,2,22.01
1031,Add react-toastify to Readme.md,fkhadra,2019-11-12T14:38:18Z,2021-02-03T15:15:23+00:00,2,10776.62
1036,Add Base Web to React Component Libraries,gergelyke,2020-01-03T23:02:34Z,2020-01-06T16:27:23+00:00,1,65.41
1047,Added unstated a React state management library,BadMask121,2020-02-06T06:35:27Z,2021-04-22T13:35:43+00:00,1,10591.0
1122,Removes Omniscient.js,indifferentghost,2020-06-28T04:05:13Z,2020-11-23T17:14:57+00:00,1,3565.16
1126,Added react-onboard,candidia,2020-07-08T23:44:22Z,2023-04-18T11:55:28+00:00,1,24324.19
1130,Add official CKEditor integrations,jacekbogdanski,2020-07-24T12:26:18Z,2020-11-24T13:40:17+00:00,1,2953.23
1139,feature: Added Develop Live Project with React with Payment Integrati…,muthuishere,2020-08-09T17:25:18Z,2020-08-10T09:53:25+00:00,1,16.47
1171,Add React Renderers section,ilyalesik,2020-11-28T12:55:39Z,2020-12-01T10:24:28+00:00,2,69.48
1176,Add React slick carousel,caprica-Six,2020-12-15T16:59:57Z,2020-12-18T16:13:57+00:00,1,71.23
1178,Remove deprecated and update with new React Accessibility package,caprica-Six,2020-12-15T18:49:51Z,2020-12-17T08:54:01+00:00,2,38.07
1179,Add react accessible accordion component,caprica-Six,2020-12-16T10:41:03Z,2020-12-22T08:28:41+00:00,2,141.79
1196,Some of links updated! And added info,hugoovf,2021-01-27T21:01:38Z,2021-02-09T20:21:42+00:00,1,311.33
1218,Add easy-peasy to React State Management,tomjbradley,2021-02-25T23:09:28Z,2021-03-01T15:32:10+00:00,1,88.38
1247,Add superplate - React Starter Kits and Toolchains,omeraplak,2021-08-27T09:09:47Z,2023-04-19T11:54:11+00:00,1,14402.74
1254,add react-scanner to React Development Tools ,andriyor,2021-10-11T18:34:41Z,2021-10-12T07:45:16+00:00,1,13.18
1259,Added @react-facet,karesztrk,2021-10-26T12:55:53Z,2021-10-26T15:39:40+00:00,1,2.73
1264,Radix primitives,karesztrk,2021-11-03T17:40:37Z,2021-11-04T09:06:07+00:00,1,15.43
1282,Add Rematch and react-location,nasirusman,2022-02-07T08:28:09Z,2022-02-08T08:35:20+00:00,2,24.12
1291,Added Materio Free MUI React NextJS Admin Template,abhidave001,2022-03-16T14:18:44Z,2023-04-19T14:48:23+00:00,1,9576.49
