number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
6825,Update Readme.md,saltymango2619,2025-10-09T04:43:45Z,2025-10-09T08:59:53+00:00,1,4.27,False,1,0,1,12,7,0,7,CLOSED
6810,"Automatically close PRs named ""Update Readme.md"" ",maximosnolan,2025-10-06T23:36:55Z,2025-10-08T11:28:48+00:00,3,35.86,False,23,0,1,626,11,2,13,CLOSED
6805,enhancement: Added Block readme github action,tausiq2003,2025-10-04T11:40:04Z,2025-10-09T22:35:00+00:00,4,130.92,False,53,0,1,143,9,2,11,CLOSED
6803,Update Readme.md,kpvgeetha,2025-10-03T07:23:28Z,2025-10-03T11:16:41+00:00,1,3.89,False,1,1,1,0,0,0,0,CLOSED
6797,build(deps): bump actions/checkout from 4.2.2 to 5.0.0,dependabot,2025-10-01T09:25:09Z,2025-10-03T12:34:25+00:00,1,51.15,True,7,7,4,5911,0,0,0,MERGED
6796,build(deps): bump github/codeql-action from 3.29.7 to 3.30.5,dependabot,2025-10-01T09:25:03Z,2025-10-03T12:40:09+00:00,1,51.25,True,3,3,2,7027,0,0,0,MERGED
6795,build(deps): bump ossf/scorecard-action from 2.4.2 to 2.4.3,dependabot,2025-10-01T09:24:52Z,2025-10-03T12:43:45+00:00,1,51.31,True,1,1,1,3239,0,0,0,MERGED
6794,build(deps): bump actions/setup-node from 4.4.0 to 5.0.0,dependabot,2025-10-01T09:24:48Z,2025-10-03T12:43:54+00:00,1,51.32,True,3,3,2,3374,0,0,0,MERGED
6793,build(deps): bump actions/download-artifact from 4.3.0 to 5.0.0,dependabot,2025-10-01T09:24:44Z,2025-10-03T12:44:02+00:00,1,51.32,True,2,2,2,3350,0,0,0,MERGED
6780,Remove history.md from being packaged on publish,sheplu,2025-09-22T06:17:08Z,2025-09-25T05:20:45+00:00,6,71.06,True,0,1,1,602,2,0,2,MERGED
6754,feat: add express.asyncHandler helper for async route support,macjik,2025-09-10T07:28:58Z,2025-09-14T14:36:24+00:00,1,103.12,False,55,0,3,0,1,0,1,CLOSED
6740,ci: use github action/checkout@v5,shivarm,2025-09-02T15:00:09Z,2025-10-02T01:00:56+00:00,1,706.01,False,7,7,4,0,0,0,0,CLOSED
6729,Update Readme.md,AyushGupta30091,2025-08-27T14:33:11Z,2025-08-28T01:27:25+00:00,1,10.9,False,2,0,1,0,0,0,0,CLOSED
6718,doc: update express app example,shivarm,2025-08-21T07:28:28Z,2025-08-22T07:12:09+00:00,2,23.73,True,3,1,1,25,0,0,0,MERGED
6705,lib: use req.socket over deprecated req.connection,bjohansebas,2025-08-13T01:57:52Z,2025-08-21T15:05:29+00:00,2,205.13,True,4,4,2,250,0,0,0,MERGED
6699,fix: throw generic error for missing required arguments,shivarm,2025-08-10T01:11:30Z,2025-08-14T10:37:15+00:00,2,105.43,False,3,3,3,69,0,0,0,CLOSED
6679,build(deps-dev): bump morgan from 1.10.0 to 1.10.1,dependabot,2025-08-01T23:02:24Z,2025-08-06T01:24:22+00:00,1,98.37,True,1,1,1,3378,2,0,2,MERGED
6678,build(deps-dev): bump cookie-session from 2.1.0 to 2.1.1,dependabot,2025-08-01T23:01:58Z,2025-08-06T01:24:49+00:00,1,98.38,True,1,1,1,3340,1,0,1,MERGED
