number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
885,Add PDF Tutor prompt - Interactive Study Tutor for Exam Preparation,notAvailable73,2025-07-09T18:56:33Z,2025-07-30T19:45:42+00:00,2,504.82,False,18,0,2,532,0,1,1,CLOSED
880,Fix Typos in README.md,leopardracer,2025-06-18T19:39:36Z,2025-07-10T00:28:25+00:00,2,508.81,True,2,2,1,156,0,0,0,MERGED
878,Fix typos in README.md ,vtjl10,2025-06-14T11:03:37Z,2025-06-16T21:34:42+00:00,2,58.52,True,2,2,1,170,0,0,0,MERGED
875,feat(prompts): add conventional commit message generator prompt,jeff-nasseri,2025-05-29T21:43:26Z,2025-06-05T23:13:21+00:00,2,169.5,True,16,0,2,1361,1,0,1,MERGED
873,"feat(prompt): add ""Reverse Prompt Engineer"" to README and prompts.csv",jcordon5,2025-05-22T08:41:48Z,2025-07-10T18:23:02+00:00,1,1185.69,True,8,0,2,784,0,0,0,MERGED
869,Added a prompt for Readme generator. ,SHAIK-RAIYAN,2025-05-19T17:14:23Z,2025-07-08T18:27:35+00:00,4,1201.22,False,18,0,2,801,2,0,2,CLOSED
858,Add 'Skincare Expert' prompt for personalized skincare routine recommendations.,iCocoa,2025-04-28T10:51:56Z,2025-05-19T11:47:03+00:00,2,504.92,False,0,0,0,685,0,0,0,CLOSED
853,Update README.md (Warp Sponsorship),ericdachen,2025-04-15T20:36:06Z,2025-04-24T17:26:41+00:00,1,212.84,False,34,2,2,685,2,0,2,CLOSED
849,feat: Added Act as a Code Reviewer prompt,rajudandigam,2025-04-07T03:09:16Z,2025-04-10T04:59:30+00:00,5,73.84,True,10,0,2,713,4,1,5,MERGED
833,fix: typos,omahs,2025-01-28T09:56:28Z,2025-01-31T23:18:16+00:00,2,85.36,True,11,11,1,10,0,0,0,MERGED
831,Create mychat-prompt,benbachirgit,2025-01-25T22:30:53Z,2025-02-03T19:45:40+00:00,1,213.25,False,1,0,1,685,0,0,0,CLOSED
830,Create gem-push.yml,Olivia0Luna,2025-01-23T12:13:27Z,2025-02-03T19:45:32+00:00,2,271.53,False,48,0,1,685,3,0,3,CLOSED
829,Prompt/act as expert mobile architecture expertise,awesomesolution,2025-01-22T11:23:08Z,2025-02-03T19:46:11+00:00,1,296.38,False,6,0,2,685,2,0,2,CLOSED
826,prompts.chat | platform-tag | CSS fix,ufuayk,2025-01-07T15:48:09Z,2025-01-09T17:56:09+00:00,2,50.13,False,1,2,1,0,0,1,1,CLOSED
821,"feat: Add ""Act as Rephraser with Obfuscation""",f,2025-01-06T08:34:10Z,2025-01-06T20:33:17+00:00,1,11.99,True,6,0,2,185,0,0,0,MERGED
784,Added prompt Unit Tester Assistant,demian-ae,2025-01-04T02:59:06Z,2025-01-05T20:09:49+00:00,1,41.18,True,8,1,2,1094,0,0,0,MERGED
779,"feat: Add ""Act as a Career Coach""",adnan-kutay-yuksel,2024-12-15T21:54:24Z,2025-01-05T22:02:08+00:00,1,504.13,False,5,0,2,885,7,0,7,CLOSED
777,Update README.md,payknayk,2024-11-13T13:13:39Z,2025-01-05T20:18:19+00:00,4,1279.08,False,1,1,1,868,0,0,0,CLOSED
768,added Structured Iterative Reasoning Protocol (SIRP) prompt,aousabdo,2024-10-06T18:37:20Z,2025-01-05T23:04:55+00:00,1,2188.46,False,1,0,1,868,2,0,2,CLOSED
767,Add - Act as a Guessing Game Master,EliasPereirah,2024-10-03T22:13:03Z,2025-01-05T22:25:41+00:00,3,2256.21,False,6,0,2,868,3,0,3,CLOSED
765,Update README.md,erkamyaman,2024-09-08T19:59:55Z,2025-01-05T22:16:48+00:00,1,2858.28,False,5,0,1,868,4,0,4,CLOSED
760,docs: update README.md,eltociear,2024-08-31T15:55:22Z,2025-01-05T23:50:13+00:00,3,3055.91,False,3,2,1,471,4,1,5,CLOSED
759,Fix restaurant owner prompt,casch-at,2024-08-16T12:35:39Z,2024-09-10T11:49:37+00:00,1,599.23,False,1,1,1,929,5,0,5,CLOSED
758,Fixed improperly escaped quotes that was breaking the csv,TFWol,2024-08-02T04:21:56Z,2024-09-24T00:15:44+00:00,1,1267.9,False,1,1,1,58,3,0,3,CLOSED
757,Restaurant Owner,buimatt,2024-07-18T00:09:25Z,2024-07-27T20:50:14+00:00,1,236.68,True,7,1,2,868,2,0,2,MERGED
756,Add dark mode and publish to GitHub Pages using GitHub Actions,Mike-FreeAI,2024-07-08T09:30:42Z,2024-07-27T20:49:37+00:00,1,467.32,True,100,0,4,782,1,0,1,MERGED
755,Study planner prompt,AhmedYasserIbrahim,2024-06-24T18:02:16Z,2025-01-05T23:30:48+00:00,3,4685.48,False,6,0,1,964,6,0,6,CLOSED
750,add prompt Architectural Expert,nextdoorUncleLiu,2024-06-12T10:02:57Z,2024-07-31T08:53:59+00:00,2,1174.85,True,6,0,2,526,6,0,6,MERGED
748,Added a ChatGPT 3.5 Jailbreak I Have Created,MarkCyber,2024-05-25T17:18:26Z,2024-05-30T17:22:14+00:00,1,120.06,False,115,81,2,683,3,2,5,CLOSED
740," Add ""Yes or No Answer"" prompt to main branch of Awesome ChatGPT Prompts repository",0x07CB,2024-03-01T14:31:44Z,2025-01-05T23:57:18+00:00,2,7449.43,False,6,0,2,2426,3,1,4,CLOSED
738,Add Rephraser with Obfuscation,FahadBinHussain,2024-02-04T13:09:55Z,2025-01-06T08:34:11+00:00,1,8083.4,False,8,0,2,0,2,0,2,CLOSED
732,minor changes,kavithacd,2024-01-25T10:21:39Z,2024-02-26T07:43:07+00:00,1,765.36,False,1,0,1,868,2,0,2,CLOSED
728,Create 122,Elif2344,2024-01-14T05:22:38Z,2024-02-26T07:48:24+00:00,1,1034.43,False,1,0,1,868,0,0,0,CLOSED
727,Add new prompts,Anasdevs,2024-01-10T11:37:42Z,2024-10-13T05:54:44+00:00,1,6642.28,False,13,0,2,1038,0,2,2,CLOSED
721,Update README.md,Ameya-2003,2024-01-06T15:09:10Z,2024-01-07T05:58:59+00:00,1,14.83,False,5,0,1,868,1,1,2,CLOSED
715,Remove Political Content,nitzo,2023-12-26T13:31:25Z,2023-12-26T19:33:02+00:00,1,6.03,False,0,5,1,868,1,0,1,CLOSED
714,Remove political message.,yisraeldov,2023-12-26T09:23:39Z,2023-12-26T19:32:51+00:00,3,10.15,True,0,5,1,87,8,0,8,MERGED
710,Fix top banner,alien2003,2023-11-27T20:43:20Z,2023-12-26T07:57:18+00:00,3,683.23,False,2,2,1,87,1,0,1,CLOSED
709,Remove foolishness,yisraeldov,2023-11-22T19:01:35Z,2023-12-26T08:25:07+00:00,1,805.39,False,0,3,1,36,2,0,2,CLOSED
702,Add find prompt utility,jaresty,2023-10-16T03:47:10Z,2023-11-09T17:35:14+00:00,1,589.8,True,3,0,1,268,1,0,1,MERGED
699,1README.md,Mikkizz,2023-10-13T03:21:33Z,2023-12-26T08:26:45+00:00,1,1781.09,False,3,0,1,1010,0,0,0,CLOSED
687,Update README.md,moqizhi11,2023-08-17T13:15:46Z,2023-12-26T09:09:39+00:00,2,3139.9,False,1,1,1,1023,0,1,1,CLOSED
684,Ayurveda Food Categoriser,duke79,2023-08-11T13:51:44Z,2025-01-07T08:41:36+00:00,1,12354.83,False,2,0,1,1077,3,1,4,CLOSED
