number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
54032,add building blocks to symbolicate precompiled React.xcframework,cipolleschi,2025-10-02T15:20:34Z,2025-10-04T17:25:41+00:00,1,50.09,False,158,16,2,810,2,0,2,CLOSED
53993,[RN][Changelog] Add changelog for v0.82.0-rc.5,react-native-bot,2025-09-30T13:17:44Z,2025-10-01T07:39:40+00:00,2,18.37,False,17,4,1,106,3,0,3,CLOSED
53976,[ios][precompiled] add support for symbolication of precompiled React.xcframework,chrfalch,2025-09-29T12:59:23Z,2025-10-04T17:25:39+00:00,1,124.44,False,235,36,2,1280,3,0,3,CLOSED
53944,Delete YogaNodePool,mdvacca,2025-09-25T18:06:44Z,2025-09-26T21:11:28+00:00,1,27.08,False,2,43,3,230,3,0,3,CLOSED
53942,Fix TypeScript types of `positions` in `GradientValue`,SimpleCreations,2025-09-25T16:37:47Z,2025-09-26T17:18:27+00:00,2,24.68,False,1,1,1,306,3,0,3,CLOSED
53930,Update the version of Hermes V1,j-piasecki,2025-09-25T09:10:57Z,2025-09-26T08:37:02+00:00,1,23.43,False,1,1,1,123,3,0,3,CLOSED
53911,Crash the app when Legacy Arch is enabled,cipolleschi,2025-09-23T18:46:44Z,2025-09-24T09:48:58+00:00,1,15.04,False,16,0,1,465,4,0,4,CLOSED
53864,jsi | Remove unnecessary semicolons.,nlutsenko,2025-09-19T22:28:03Z,2025-09-20T10:21:00+00:00,1,11.88,False,108,108,1,142,3,0,3,CLOSED
53863,Fix incorrect validation of feature flags in DefaultNewArchitectureEntryPoint.loadWithFeatureFlags() method,mdvacca,2025-09-19T21:18:46Z,2025-09-22T09:38:19+00:00,1,60.33,False,5,1,1,204,4,0,4,CLOSED
53860,Correctly implement transform: matrix with 2d matrices,cortinico,2025-09-19T17:42:36Z,2025-09-22T10:32:32+00:00,3,64.83,False,62,2,2,517,4,1,5,CLOSED
53857,Split off MessageQueueThread header to separate target,javache,2025-09-19T15:08:42Z,2025-09-19T21:06:51+00:00,1,5.97,False,2,2,1,63,4,0,4,CLOSED
53847,Update ## v0.82.0-rc.0,christophpurrer,2025-09-18T20:37:39Z,2025-09-19T20:50:59+00:00,1,24.22,False,1,0,1,63,5,0,5,CLOSED
53846,"Align Android with iOS in displaying HMR ""refreshing"" in color",vzaidman,2025-09-18T17:43:59Z,2025-09-22T18:45:58+00:00,1,97.03,False,17,3,3,260,4,0,4,CLOSED
53835,fix C++ in-code docs comments to silence warnings,Simek,2025-09-18T08:54:39Z,2025-09-19T20:16:39+00:00,1,35.37,False,2,2,2,339,3,0,3,CLOSED
53822,Update coordinates for remote artifacts of Hermes V1,j-piasecki,2025-09-17T14:10:28Z,2025-09-18T08:30:31+00:00,1,18.33,False,37,29,7,113,6,0,6,CLOSED
53806,Ensure legacy architecture can't be initialized in Android,mdvacca,2025-09-16T18:31:33Z,2025-09-17T00:36:41+00:00,1,6.09,False,10,0,1,207,5,0,5,CLOSED
53796,Fix typo in CHANGELOG.md,vzaidman,2025-09-16T11:17:59Z,2025-09-16T13:52:20+00:00,1,2.57,False,2,2,1,91,4,0,4,CLOSED
53791,Refactor ReactNativeNewArchitectureFeatureFlagsDefaults to remove legacy architecture configuration,mdvacca,2025-09-15T18:34:39Z,2025-09-19T20:06:13+00:00,1,97.53,False,9,19,3,261,3,0,3,CLOSED
53790,Refactor ReactNativeFeatureFlagsOverrides_RNOSS_Stable_Android to enable new arch,mdvacca,2025-09-15T18:34:38Z,2025-09-19T20:06:12+00:00,1,97.53,False,4,16,2,193,4,0,4,CLOSED
53787,Delete Legacy Architecture class CoreModulesPackage,mdvacca,2025-09-15T17:19:47Z,2025-10-01T17:59:56+00:00,1,384.67,False,0,223,3,170,13,0,13,CLOSED
53785,Delete LayoutAnimation,mdvacca,2025-09-15T17:19:45Z,2025-09-23T00:48:44+00:00,1,175.48,False,22,1262,16,147,7,0,7,CLOSED
53773,Add dependency on hermes-compiler,j-piasecki,2025-09-15T10:25:24Z,2025-09-15T13:19:54+00:00,1,2.91,False,6,0,2,109,5,0,5,CLOSED
53751,Fix deprecation message,vladd-g,2025-09-12T10:28:04Z,2025-09-12T16:14:50+00:00,1,5.78,False,1,1,1,336,6,0,6,CLOSED
53750,xplat/js/react-native-github/packages/gradle-plugin/react-native-gradle-plugin/src/test/kotlin/com/facebook/react/tasks/internal/PrepareGlogTaskTest.kt,facebook-github-bot,2025-09-12T09:56:52Z,2025-09-15T20:07:43+00:00,2,82.18,False,5,5,1,55,3,0,3,CLOSED
53737,Add function to extract headers from a folder,cipolleschi,2025-09-11T15:58:20Z,2025-09-22T17:19:00+00:00,1,265.34,False,314,0,2,661,6,0,6,CLOSED
53736,Add simple function to handle symlinks,cipolleschi,2025-09-11T15:57:26Z,2025-09-22T17:18:59+00:00,1,265.36,False,145,0,2,608,6,0,6,CLOSED
53726,chore: improve codegen error when native project not found,vonovak,2025-09-11T09:09:26Z,2025-09-12T10:44:55+00:00,2,25.59,False,5,0,1,650,4,0,4,CLOSED
53725,Use artifacts published from Hermes reposityory when using Hermes V1,j-piasecki,2025-09-11T08:48:30Z,2025-09-11T13:41:19+00:00,1,4.88,False,322,49,10,138,6,0,6,CLOSED
53720,[RN][Changelog] Add changelog for v0.81.4,gabrieldonadel,2025-09-10T18:20:55Z,2025-09-23T08:23:21+00:00,1,302.04,False,9,0,1,96,7,0,7,CLOSED
53713,cipolleschi/fix rctnetworking not building,cipolleschi,2025-09-10T15:07:23Z,2025-09-10T19:19:33+00:00,1,4.2,False,5,1,3,136,4,0,4,CLOSED
53712,Ship Web Performance APIs in canary,rubennorte,2025-09-10T15:02:42Z,2025-09-11T13:13:20+00:00,1,22.18,False,19,49,7,128,3,0,3,CLOSED
53708,Add invalidation callback for non-recycled component instances on iOS,kkafar,2025-09-10T11:44:16Z,2025-09-24T16:11:38+00:00,3,340.46,False,14,0,4,2173,6,1,7,CLOSED
53704,xplat/js/react-native-github/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/bridge/CatalystInstanceImpl.java,facebook-github-bot,2025-09-10T10:36:11Z,2025-09-10T14:26:50+00:00,1,3.84,False,1,1,1,55,3,0,3,CLOSED
53702,xplat/js/react-native-github/packages/gradle-plugin/react-native-gradle-plugin/src/test/kotlin/com/facebook/react/tasks/internal/PrepareGflagsTaskTest.kt,facebook-github-bot,2025-09-10T10:24:10Z,2025-09-10T11:45:18+00:00,2,1.35,False,5,5,1,55,3,0,3,CLOSED
53700,fix: add conditional checks for facebook/react-native repo for nightly,okwasniewski,2025-09-10T09:48:28Z,2025-09-10T11:01:22+00:00,2,1.22,False,6,3,1,356,2,7,9,CLOSED
53665,Read Hermes V1 opt-in flag from the app's properties,j-piasecki,2025-09-09T12:57:34Z,2025-09-10T07:55:34+00:00,1,18.97,False,29,1,2,153,7,0,7,CLOSED
53656,xplat/js/react-native-github/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/modules/core/JavaTimerManager.kt,facebook-github-bot,2025-09-09T09:33:10Z,2025-09-09T15:16:21+00:00,2,5.72,False,2,2,1,55,3,0,3,CLOSED
53655,xplat/js/react-native-github/packages/gradle-plugin/shared-testutil/src/main/kotlin/com/facebook/react/tests/OsRule.kt,facebook-github-bot,2025-09-09T09:23:09Z,2025-09-09T10:46:23+00:00,1,1.39,False,5,5,1,55,3,0,3,CLOSED
53645,fix(iOS): Fix RCTDeviceInfo crash when application.delegate.window is nil,25harsh,2025-09-08T16:02:15Z,2025-09-09T09:27:53+00:00,1,17.43,False,4,4,1,3662,5,0,5,CLOSED
53642,Create the orchestration function to coordinate the creation of the hard links,cipolleschi,2025-09-08T15:01:01Z,2025-09-22T17:19:05+00:00,1,338.3,False,2600,0,8,633,10,0,10,CLOSED
53640,add function hard links for headers from ReactCodegen,cipolleschi,2025-09-08T14:37:55Z,2025-09-22T17:19:04+00:00,1,338.69,False,2512,0,7,644,9,0,9,CLOSED
53638,Add function to create hard links for headers of the third-party dependencies,cipolleschi,2025-09-08T14:10:29Z,2025-09-22T17:19:04+00:00,1,339.14,False,2287,0,7,667,10,0,10,CLOSED
53635,Create function to create hardlink to header required to build React Native Core,cipolleschi,2025-09-08T12:22:04Z,2025-09-22T17:19:03+00:00,1,340.95,False,1993,0,7,752,11,0,11,CLOSED
53631,Create utility function to create the right folder structure for headers in the ReactCommon folder,cipolleschi,2025-09-08T09:52:18Z,2025-09-22T17:19:02+00:00,1,343.45,False,1523,0,5,671,8,0,8,CLOSED
53629,Create utility function to create the right folder structure for headers in the ReactApple folder,cipolleschi,2025-09-08T09:13:27Z,2025-09-22T17:19:01+00:00,1,344.09,False,1080,0,4,655,7,0,7,CLOSED
53620,Create script to create hard links for headers from a source path to a destination path,cipolleschi,2025-09-05T14:29:12Z,2025-09-22T17:19:01+00:00,2,410.83,False,809,0,4,632,10,0,10,CLOSED
53619,Make codegen generate a Package.swift file for Codegen'd target,cipolleschi,2025-09-05T13:58:11Z,2025-09-10T12:28:59+00:00,1,118.51,False,254,119,7,305,4,0,4,CLOSED
53618,Move generated code to ReactCodegen and ReactappDependencyProvider folder,cipolleschi,2025-09-05T13:57:36Z,2025-09-10T12:28:58+00:00,1,118.52,False,144,119,5,509,4,0,4,CLOSED
53617,Move headers from .h to .mm file,cipolleschi,2025-09-05T12:36:10Z,2025-09-08T17:30:48+00:00,1,76.91,False,1,2,2,351,3,0,3,CLOSED
53616,chore: Add Bluesky badge to README,Simek,2025-09-05T11:01:35Z,2025-09-08T10:51:51+00:00,4,71.84,False,5,2,1,172,3,2,5,CLOSED
53601,Add tests for isHermesV1Enabled,j-piasecki,2025-09-04T13:57:57Z,2025-09-05T06:34:46+00:00,1,16.61,False,354,95,36,123,3,0,3,CLOSED
53599,Update SectionList to accept React elements for separators,huntie,2025-09-04T12:04:16Z,2025-09-12T14:58:29+00:00,1,194.9,False,58,35,6,1449,10,0,10,CLOSED
53597,xplat/js/react-native-github/packages/gradle-plugin/react-native-gradle-plugin/src/test/kotlin/com/facebook/react/tasks/GenerateAutolinkingNewArchitecturesFileTaskTest.kt,facebook-github-bot,2025-09-04T09:17:24Z,2025-09-04T10:59:43+00:00,2,1.71,False,3,3,1,55,3,0,3,CLOSED
53581,Use hermesc from node_modules when consuming prebuilt hermes,j-piasecki,2025-09-03T12:34:05Z,2025-09-04T14:45:52+00:00,1,26.2,False,327,95,35,146,12,0,12,CLOSED
53580,Allow to opt-in to use the new Hermes on Android,j-piasecki,2025-09-03T12:25:46Z,2025-09-04T14:45:51+00:00,3,26.33,False,282,89,32,104,9,1,10,CLOSED
53578,Gate legacy debugger behind a preprocessor directive,j-piasecki,2025-09-03T12:25:21Z,2025-09-04T14:45:49+00:00,1,26.34,False,51,16,13,229,9,0,9,CLOSED
53570,Mark JavaTimerManager idle callback methods as @LegacyArchitecture,javache,2025-09-02T15:32:27Z,2025-09-03T13:21:16+00:00,1,21.81,False,27,25,7,165,2,0,2,CLOSED
53567,[0.81] Backport `useNativeEqualsInNativeReadableArrayAndroid` and `useNativeTransformHelperAndroid` in the experimental channel,cortinico,2025-09-02T15:01:38Z,2025-09-09T13:25:02+00:00,1,166.39,True,412,33,33,577,2,0,2,MERGED
53562,changelog/v0.82.0-rc.0,vzaidman,2025-09-02T11:11:12Z,2025-09-02T13:15:22+00:00,1,2.07,False,181,0,1,48,5,0,5,CLOSED
53559,xplat/js/react-native-github/packages/gradle-plugin/react-native-gradle-plugin/src/main/kotlin/com/facebook/react/TaskConfiguration.kt,facebook-github-bot,2025-09-02T10:12:22Z,2025-09-02T22:02:37+00:00,2,11.84,False,20,19,1,55,3,0,3,CLOSED
