number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
34734,[DevTools] Use documentElement to override cmd+F,sebmarkbage,2025-10-04T16:16:30Z,2025-10-05T12:13:22+00:00,1,19.95,True,10,5,1,395,0,0,0,MERGED
34726,[eprh] 6.1.1 changelog,poteto,2025-10-03T20:38:13Z,2025-10-03T21:58:06+00:00,4,1.33,True,12,1,1,26,1,2,3,MERGED
34714,Update readme for eprh,josephsavona,2025-10-03T15:36:27Z,2025-10-03T16:47:34+00:00,1,1.19,True,2,4,1,0,1,0,1,MERGED
34710,feat(eslint-plugin): add Zod v4 compatibility,kolvian,2025-10-03T05:49:47Z,2025-10-03T16:13:06+00:00,2,10.39,False,6,6,3,714,4,0,4,CLOSED
34704,[DevTools] Double clicking the root should jump to the beginning of the timeline,sebmarkbage,2025-10-03T02:12:18Z,2025-10-03T15:52:44+00:00,1,13.67,True,13,0,1,52,0,0,0,MERGED
34703,[eprh] Remove NoUnusedOptOutDirectives,poteto,2025-10-02T22:14:17Z,2025-10-02T23:19:02+00:00,1,1.08,True,518,296,15,387,1,0,1,MERGED
34700,[eprh] Fix `recommended` config for flat config compatibility,poteto,2025-10-02T21:14:52Z,2025-10-02T22:52:52+00:00,1,1.63,True,504,34,10,1974,3,0,3,MERGED
34694,[Fizz] Detatch boundary after flushing segment with boundary,gnoff,2025-10-02T19:20:56Z,2025-10-02T20:21:58+00:00,1,1.02,True,58,2,2,294,1,0,1,MERGED
34692,React DevTools 7.0.0,eps1lon,2025-10-02T18:01:56Z,2025-10-03T17:48:28+00:00,1,23.78,True,47,4,5,184,0,0,0,MERGED
34691,[playground] Improve DiffEditor scrollbar + view,EugeneChoi4,2025-10-02T17:32:38Z,2025-10-02T21:41:29+00:00,1,4.15,True,18,9,4,419,0,0,0,MERGED
34690,[DevTools] Give a distinct color to the root,sebmarkbage,2025-10-02T17:29:59Z,2025-10-02T18:37:04+00:00,1,1.12,True,53,20,4,378,0,0,0,MERGED
34684,[DevTools] Recommend React Performance tracks if supported when Timeline profiler is not supported,eps1lon,2025-10-02T11:34:37Z,2025-10-02T16:33:50+00:00,6,4.99,True,141,20,7,190,0,2,2,MERGED
34682,Fix DevTools fixture crash due to usage of renamed APIs,eps1lon,2025-10-02T10:56:04Z,2025-10-02T12:43:03+00:00,1,1.78,True,5,3,1,136,0,0,0,MERGED
34673,[playground] Persist open tabs on compiler error,EugeneChoi4,2025-10-01T21:51:52Z,2025-10-02T01:26:17+00:00,1,3.57,True,20,11,3,291,0,0,0,MERGED
34665,Enable React performance tracks in Canary,eps1lon,2025-10-01T12:01:58Z,2025-10-01T16:13:15+00:00,3,4.19,True,25,17,4,195,3,3,6,MERGED
34664,[Fizz] Remove `nonce` option from resume-and-prerender APIs,eps1lon,2025-10-01T09:44:44Z,2025-10-01T15:32:26+00:00,1,5.79,True,8,20,3,125,1,0,1,MERGED
34661,[DevTools] Fix host instance highlighting,eps1lon,2025-09-30T20:59:06Z,2025-10-01T15:32:35+00:00,4,18.56,True,3,3,2,0,0,2,2,MERGED
34659,"Fix ""Consecutive"" Event Logs in Performance Track",sebmarkbage,2025-09-30T20:26:43Z,2025-10-01T14:53:08+00:00,4,18.44,True,29,25,2,587,1,2,3,MERGED
34655,19.2 changelog,eps1lon,2025-09-30T09:19:21Z,2025-10-01T20:11:03+00:00,5,34.86,True,88,0,2,65,1,3,4,MERGED
34654,[DevTools] Always include the root in the timeline and select it by default,sebmarkbage,2025-09-30T01:50:22Z,2025-10-02T18:20:02+00:00,1,64.49,True,16,0,1,997,0,0,0,MERGED
34653,[DevTools] Auto-scroll when stepping through the timeline,sebmarkbage,2025-09-29T23:48:21Z,2025-09-30T18:37:14+00:00,1,18.81,True,231,20,8,296,0,0,0,MERGED
34652,"[DevTools] Show ""Initial Paint"" in the breadcrumbs when root is selected",sebmarkbage,2025-09-29T20:34:48Z,2025-09-30T18:40:33+00:00,1,22.1,True,39,6,2,703,1,0,1,MERGED
34651,[DevTools] Use the scrollWidth/Height for the root when the root is the documentElement,sebmarkbage,2025-09-29T19:17:12Z,2025-09-30T18:37:41+00:00,1,23.34,True,16,1,1,670,0,0,0,MERGED
34649,[eprh] Temporarily disable compiler rules,poteto,2025-09-29T15:51:48Z,2025-09-30T22:45:33+00:00,1,30.9,True,0,17,1,93,1,0,1,MERGED
34648,[Perf Tracks]: Always log effect that spawned blocking update,hoxyq,2025-09-29T15:44:43Z,2025-09-30T19:05:44+00:00,3,27.35,True,53,10,2,466,1,1,2,MERGED
34646,Allow running `yarn lint` on subset of paths,eps1lon,2025-09-29T09:38:24Z,2025-09-30T10:30:41+00:00,1,24.87,True,10,4,2,388,1,0,1,MERGED
34645,Enable rules-of-hooks for DevTools,eps1lon,2025-09-29T09:30:41Z,2025-09-29T13:31:07+00:00,1,4.01,True,22,0,10,216,1,0,1,MERGED
34644,[DevTools] Don't call Hooks conditionally,eps1lon,2025-09-29T09:06:08Z,2025-09-29T13:15:09+00:00,2,4.15,True,50,40,2,0,0,1,1,MERGED
34642,[DevTools] Double click a Suspense Rect to jump to its position in the timeline,sebmarkbage,2025-09-29T02:56:55Z,2025-09-29T14:43:01+00:00,1,11.77,True,88,2,5,771,0,0,0,MERGED
34640,Apply build script changes for RN to main,jackpope,2025-09-28T22:24:24Z,2025-09-30T00:40:25+00:00,1,26.27,True,23,32,1,188,1,0,1,MERGED
34639,Bump next prerelease version numbers,eps1lon,2025-09-28T21:19:19Z,2025-10-01T13:15:24+00:00,1,63.93,True,29,29,17,660,1,0,1,MERGED
34637,[lint] Use settings for additional hooks in exhaustive deps,jbrown215,2025-09-28T18:32:34Z,2025-09-30T20:44:43+00:00,2,50.2,True,218,7,5,283,1,0,1,MERGED
34635,[Fiber][DevTools] Add scheduleRetry to DevTools Hook,sebmarkbage,2025-09-28T16:04:02Z,2025-09-28T17:51:35+00:00,1,1.79,True,76,11,5,595,1,0,1,MERGED
34633,Ship partial-prerendering APIs to Canary,eps1lon,2025-09-28T14:33:47Z,2025-10-01T16:22:31+00:00,3,73.81,True,233,253,56,65,1,2,3,MERGED
34630,[DevTools] Hide State and Props in the Sidebar for Suspense,sebmarkbage,2025-09-28T03:57:54Z,2025-10-02T19:18:42+00:00,2,111.35,True,33,90,6,742,3,0,3,MERGED
34629,[DevTools] Recursively compute the bounding rect of the roots,sebmarkbage,2025-09-28T03:16:06Z,2025-09-28T14:15:31+00:00,1,10.99,True,48,21,1,488,0,0,0,MERGED
34627,[DevTools] Custom Scrubber Design,sebmarkbage,2025-09-27T20:56:53Z,2025-09-29T00:00:09+00:00,3,27.05,True,151,57,4,509,0,1,1,MERGED
34625,[DevTools] Use pretty icon with icon for unique suspenders toggle,sebmarkbage,2025-09-27T16:59:09Z,2025-09-28T23:13:15+00:00,1,30.23,True,33,15,3,18,0,0,0,MERGED
34624,[DevTools] Add Settings button on Suspense Tab,sebmarkbage,2025-09-27T16:38:48Z,2025-09-28T23:09:53+00:00,1,30.52,True,86,67,3,609,0,0,0,MERGED
34620,[DevTools] Add Play/Pause and Skip Controls to the Timeline,sebmarkbage,2025-09-26T23:36:36Z,2025-09-28T23:14:28+00:00,2,47.63,True,249,31,6,417,0,1,1,MERGED
34619,[DevTools] Larger panel buttons and center,sebmarkbage,2025-09-26T20:25:38Z,2025-09-28T16:09:08+00:00,5,43.73,True,1,1,1,303,0,1,1,MERGED
34611,[playground] Config panel quality fixes,EugeneChoi4,2025-09-26T15:45:12Z,2025-10-03T14:52:36+00:00,3,167.12,True,349,338,4,732,0,1,1,MERGED
34607,"[DevTools] Only show Suspense rects matching ""unique-suspenders-only"" filter",eps1lon,2025-09-26T07:14:29Z,2025-09-26T15:29:16+00:00,1,8.25,True,71,10,3,115,0,0,0,MERGED
34606,[DevTools] Disable the tree list for now,sebmarkbage,2025-09-26T04:55:42Z,2025-09-26T13:43:00+00:00,1,8.79,True,27,14,1,177,0,0,0,MERGED
34605,[DevTools] Track Server Environment Names of Each SuspenseNode,sebmarkbage,2025-09-26T04:28:15Z,2025-09-26T13:43:38+00:00,1,9.26,True,92,20,4,467,0,1,1,MERGED
34604,[Flight] Preload <img> and <link> using hints before they're rendered,sebmarkbage,2025-09-26T01:17:23Z,2025-09-26T03:44:14+00:00,1,2.45,True,244,7,3,2026,1,1,2,MERGED
34601,[Flight] Add approximate parent context for FormatContext,sebmarkbage,2025-09-25T14:31:16Z,2025-09-25T16:05:47+00:00,1,1.58,True,101,0,5,1262,1,0,1,MERGED
34599,Match `react-dom/static` test entrypoints and published entrypoints,eps1lon,2025-09-25T11:31:36Z,2025-09-28T11:26:32+00:00,1,71.92,True,0,13,1,290,1,0,1,MERGED
34597,[playground] ViewTransition on internals toggle & tab expansion,EugeneChoi4,2025-09-24T20:37:46Z,2025-09-30T19:25:10+00:00,1,142.79,True,89,37,5,354,2,0,2,MERGED
34596,[playground] ViewTransition on tab switch,EugeneChoi4,2025-09-24T19:40:50Z,2025-09-29T18:40:33+00:00,1,119.0,True,52,7,4,248,0,1,1,MERGED
34595,[playground] ViewTransition on config expand,EugeneChoi4,2025-09-24T19:29:47Z,2025-09-29T18:09:37+00:00,2,118.66,True,238,137,10,348,1,2,3,MERGED
34594,[playground] Fix useEffect on tabify,EugeneChoi4,2025-09-24T19:17:17Z,2025-09-25T18:56:41+00:00,5,23.66,True,40,11,3,211,0,3,3,MERGED
