number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
4993,chore: fix struct field name in comment,juejinyuxitu,2025-09-23T10:28:22Z,2025-09-25T08:47:34+00:00,1,46.32,True,2,2,1,37,0,0,0,MERGED
4990,auth: enhance OIDC client with TLS and proxy configuration options,fatedier,2025-09-22T16:03:40Z,2025-09-25T02:19:19+00:00,1,58.26,True,108,8,6,13,0,0,0,MERGED
4985,add proxy name label to the proxy_count prometheus metric,charlieblevins,2025-09-19T16:03:11Z,2025-09-22T16:18:50+00:00,5,72.26,True,17,7,1,333,0,3,3,MERGED
4942,refactor to use maps.Clone,cuiweixie,2025-08-17T13:00:35Z,2025-08-18T04:13:30+00:00,1,15.22,False,2,5,1,3,0,1,1,CLOSED
4939,feat: add HTTPS load balancing support,jeet0733,2025-08-15T08:28:16Z,2025-10-04T00:34:29+00:00,10,1192.1,False,643,17,7,2081,3,21,24,CLOSED
4896,fix webserver port not being released on frpc svr.Close(),maguowei,2025-07-23T15:13:15Z,2025-07-24T02:16:44+00:00,2,11.06,True,4,0,1,61,0,1,1,MERGED
4865,add tokenSource support for auth configuration,fatedier,2025-07-03T02:50:12Z,2025-07-03T05:17:21+00:00,2,2.45,True,832,23,20,13,0,4,4,MERGED
4799,fix: type error in server_plugin doc,scientificworld,2025-05-19T00:51:08Z,2025-05-19T03:39:35+00:00,1,2.81,True,1,1,1,54,0,0,0,MERGED
4780,add x64 openbsd,CrynTox,2025-05-02T15:16:54Z,2025-05-06T04:11:20+00:00,1,84.91,True,2,2,2,116,0,0,0,MERGED
4769,update feature gates doc (#4755),florencemiss27,2025-04-27T02:35:27Z,2025-04-27T03:37:24+00:00,1,1.03,False,2,6,2,3,0,0,0,CLOSED
4666,Fix ports not being released on Service.Close(),ubergeek77,2025-02-11T23:40:03Z,2025-02-12T03:28:31+00:00,2,3.81,True,35,9,1,3925,0,0,0,MERGED
4656,Use text/template instead of html/template for config pre-processing,hansmi,2025-02-04T21:31:42Z,2025-02-07T03:33:12+00:00,1,54.02,True,24,1,2,545,0,0,0,MERGED
4638,解决goroutine泄漏问题,Alpha2J,2025-01-15T09:25:26Z,2025-01-16T02:50:57+00:00,4,17.43,True,7,6,1,216,3,1,4,MERGED
4615,Fix typos,deining,2025-01-01T17:50:38Z,2025-01-02T03:33:56+00:00,2,9.72,True,3,3,2,49,0,0,0,MERGED
4611,"client, pkg, server, test: replaced 'interface{}' with 'any'",mihaigmarin,2024-12-28T10:26:38Z,2025-01-02T03:24:08+00:00,2,112.96,True,77,77,19,103,0,0,0,MERGED
4606,Implement HTTP/2 to HTTP/1.1 downgrade support if the request is GRPC…,sword-jin,2024-12-24T08:12:01Z,2025-01-09T04:22:35+00:00,1,380.18,False,51,23,1,62,3,1,4,CLOSED
4587,recover query cleaned by proxy,longbai,2024-12-16T06:28:10Z,2025-01-03T00:34:27+00:00,1,426.1,False,2,1,1,473,2,0,2,CLOSED
4582,enable h2c for vhost server,sword-jin,2024-12-13T04:29:36Z,2024-12-13T06:37:07+00:00,2,2.13,True,4,2,1,17,0,0,0,MERGED
4577,Upgrade packages to resolve CVE-2024-53259,AdallomRoy,2024-12-09T16:13:33Z,2024-12-10T12:07:39+00:00,8,19.9,True,54,60,2,48,0,1,1,MERGED
4569,Refactor FRP for Library Use and Update samber/lo Dependency to Latest Version,Guiwoo,2024-11-30T04:28:30Z,2024-12-02T03:56:52+00:00,2,47.47,True,28,28,3,234,0,0,0,MERGED
4526,Add the latest version of the image.,wuai1024,2024-11-06T08:47:19Z,2024-12-15T00:39:49+00:00,1,927.88,False,12,10,1,122,1,0,1,CLOSED
4490,feat: bump,blizard863,2024-10-14T06:12:10Z,2024-10-15T02:55:56+00:00,1,20.73,True,2,0,1,0,0,1,1,MERGED
4475,support multiple subjects in oidc ping,RobKenis,2024-10-08T13:45:56Z,2024-10-12T10:52:47+00:00,2,93.11,True,85,9,3,518,5,0,5,MERGED
4431,fix: memory leak,ivanszl,2024-09-12T11:58:44Z,2024-10-13T00:35:40+00:00,7,732.62,False,7,6,4,67,1,4,5,CLOSED
4416,chore: fix function name,crystalstall,2024-09-02T07:35:20Z,2024-09-06T03:39:22+00:00,1,92.07,True,1,1,1,3,0,0,0,MERGED
4329,fix misuse of unlock,fakeboboliu,2024-07-10T13:44:29Z,2024-08-09T00:34:15+00:00,1,706.83,False,1,1,1,67,1,1,2,CLOSED
4190,Update README.md,Weltolk,2024-04-28T16:20:28Z,2024-04-29T03:50:56+00:00,1,11.51,True,1,1,1,3,0,0,0,MERGED
4176,Makefile.cross-compiles: Fix softfloat flag not being honored for mipsle,ddscentral,2024-04-22T10:12:56Z,2024-04-22T11:50:59+00:00,1,1.63,True,1,1,1,502,0,0,0,MERGED
4153,fix: ssh tunnel with user name will lead to invalid proxy name,blizard863,2024-04-11T23:58:43Z,2024-04-12T06:13:03+00:00,1,6.24,False,0,1,1,3,0,1,1,CLOSED
