number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
88,Add termbox,jeaye,2015-03-23T16:41:25Z,2015-03-23T22:36:15+00:00,1,5.91
278,Added ExprTK,schoetbi,2016-11-18T11:05:40Z,2016-11-20T19:34:03+00:00,1,56.47
281,Add Conan and remove Biicode,jgsogo,2016-12-07T09:05:10Z,2016-12-07T15:04:18+00:00,1,5.99
349,Graphics: Add AGG,optozorax,2017-06-03T05:27:43Z,2021-04-12T07:29:26+00:00,1,33818.03
377,"Add json.h, utf8.h, utest.h",myd7349,2017-09-15T09:39:40Z,2017-09-16T19:05:11+00:00,1,33.43
411,"Add nghttp2, cppimport, CppSharp, Catch2, CppUTest, ...",myd7349,2017-12-02T10:22:54Z,2017-12-02T19:38:01+00:00,2,9.25
423,README.md: add tinygettext to i18n section,andy5995,2017-12-29T12:20:29Z,2022-03-30T07:45:25+00:00,1,37243.42
456,Update README.md,deleaker,2018-02-19T16:42:42Z,2018-02-20T10:38:21+00:00,1,17.93
472,"Add several containers, Sorting category and timsort, Nanotimer to benchmarking",mattreecebentley,2018-04-06T01:14:25Z,2018-04-09T15:25:46+00:00,3,86.19
692,mini_al to miniaudio,mackron,2019-03-07T10:25:23Z,2019-03-07T15:36:37+00:00,1,5.19
727,Add static reflection for enums lib,Neargye,2019-04-08T14:18:58Z,2019-04-09T10:16:31+00:00,3,19.96
910,Add console-component,edenreich,2019-10-27T18:59:41Z,2021-01-30T07:55:12+00:00,1,11052.93
964,Add libhv,ithewei,2020-03-04T09:34:30Z,2020-03-20T23:40:32+00:00,1,398.1
1033,Database: Add unqlite,myd7349,2020-09-15T15:06:40Z,2020-09-15T23:09:13+00:00,1,8.04
1108,fixes broken link for the x265 library ,ShinyCastform,2021-05-25T02:45:15Z,2021-05-25T15:38:43+00:00,2,12.89
1208,Added p-ranav/fccf to `Miscellaneous` section,p-ranav,2022-04-29T03:22:30Z,2022-04-30T15:28:32+00:00,1,36.1
1234,Update books.md,abdullahilbaki,2022-08-07T08:45:06Z,2022-08-08T04:21:57+00:00,1,19.61
1292,Updated the repos.,letscode-17,2023-01-30T19:38:53Z,2023-09-26T03:02:59+00:00,1,5719.4
1336,Remove header-only from Catch2 description,pcewing,2023-04-25T16:52:25Z,2023-05-03T02:59:00+00:00,1,178.11
1349,Add Doxide to the Documentation category,lawmurray,2023-06-10T23:02:53Z,2023-06-13T22:51:51+00:00,1,71.82
1403,Data visualization typo,germinolegrand,2023-08-20T16:56:15Z,2023-08-22T01:06:44+00:00,1,32.17
1413,Update details of bit7z,rikyoz,2023-10-03T16:56:52Z,2023-10-04T06:06:57+00:00,1,13.17
1419,Cpp-Taskflow has been renamed to Taskflow since 2020,toge,2023-10-11T17:00:46Z,2023-10-12T02:58:06+00:00,1,9.96
1488,Added Unum and other ML libraries,ashvardanian,2024-01-07T06:16:32Z,2024-01-08T00:35:32+00:00,1,18.32
1501,"add TermOx (terminal UI library), sort CLI category",toge,2024-02-17T08:38:53Z,2024-02-17T22:54:01+00:00,1,14.25
1571,Fixed typo errors,Palgu09T4,2024-09-29T08:05:51Z,2024-09-29T22:57:39+00:00,1,14.86
1580,Added ThreadPool and BS::thread_pool,nirlivne,2024-10-15T12:09:59Z,2024-10-17T01:09:18+00:00,1,36.99
