number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
176553,Roll Skia from 1fd0ca1f2120 to e7c94f0f385c (1 revision),engine-flutter-autoroll,2025-10-06T00:39:38Z,2025-10-06T03:20:30+00:00,1,2.68,False,1,1,1,869,5,0,5,CLOSED
176552,Roll Skia from 1fd0ca1f2120 to e7c94f0f385c (1 revision),engine-flutter-autoroll,2025-10-05T21:28:20Z,2025-10-06T00:37:30+00:00,1,3.15,False,1,1,1,869,5,0,5,CLOSED
176549,Roll Dart SDK from 016a8c0045fd to 898380a41c90 (1 revision),engine-flutter-autoroll,2025-10-05T21:05:55Z,2025-10-05T23:08:24+00:00,1,2.04,True,2,2,1,750,1,0,1,MERGED
176545,Roll Skia from 1fd0ca1f2120 to e7c94f0f385c (1 revision),engine-flutter-autoroll,2025-10-05T17:52:25Z,2025-10-05T21:26:31+00:00,1,3.57,False,1,1,1,869,5,0,5,CLOSED
176541,Roll Skia from 5479115ef5bf to 1fd0ca1f2120 (1 revision),engine-flutter-autoroll,2025-10-05T15:11:17Z,2025-10-05T16:59:26+00:00,1,1.8,True,1,1,1,843,1,0,1,MERGED
176539,Roll Skia from 5479115ef5bf to 1fd0ca1f2120 (1 revision),engine-flutter-autoroll,2025-10-05T12:07:42Z,2025-10-05T15:07:31+00:00,1,3.0,False,1,1,1,843,5,0,5,CLOSED
176538,Roll Fuchsia Linux SDK from oWcBvgdpdlGvaqiDg... to Zm6K_3gP3VCaMy9rH...,engine-flutter-autoroll,2025-10-05T11:22:37Z,2025-10-05T13:35:36+00:00,1,2.22,True,1,1,1,583,1,0,1,MERGED
176531,Roll Dart SDK from 53aeaeb2454c to 016a8c0045fd (1 revision),engine-flutter-autoroll,2025-10-05T01:04:38Z,2025-10-05T03:06:40+00:00,1,2.03,True,1,1,1,750,1,0,1,MERGED
176529,Roll Skia from f316de3d47b4 to 5479115ef5bf (4 revisions),engine-flutter-autoroll,2025-10-04T19:21:42Z,2025-10-04T21:26:59+00:00,1,2.09,True,1,1,1,1179,1,0,1,MERGED
176525,Roll Dart SDK from 9bc52df78b67 to 53aeaeb2454c (1 revision),engine-flutter-autoroll,2025-10-04T16:55:53Z,2025-10-04T19:17:51+00:00,1,2.37,True,1,1,1,750,1,0,1,MERGED
176524,Roll Skia from f316de3d47b4 to 5479115ef5bf (4 revisions),engine-flutter-autoroll,2025-10-04T16:18:53Z,2025-10-04T19:19:31+00:00,1,3.01,False,1,1,1,1179,5,0,5,CLOSED
176517,Roll Skia from f316de3d47b4 to 35f8b9a341ed (3 revisions),engine-flutter-autoroll,2025-10-04T10:25:33Z,2025-10-04T13:39:31+00:00,1,3.23,False,1,1,1,1054,5,0,5,CLOSED
176515,Roll Fuchsia Linux SDK from HUhTcRn-LUXa2Salu... to oWcBvgdpdlGvaqiDg...,engine-flutter-autoroll,2025-10-04T09:08:15Z,2025-10-04T11:17:27+00:00,1,2.15,True,1,1,1,583,1,0,1,MERGED
176511,Roll Fuchsia Linux SDK from HUhTcRn-LUXa2Salu... to RaBk5J6Cg1ZyMC2vj...,engine-flutter-autoroll,2025-10-04T07:43:45Z,2025-10-04T09:04:11+00:00,1,1.34,False,1,1,1,583,3,0,3,CLOSED
176510,Roll Skia from f316de3d47b4 to 35f8b9a341ed (3 revisions),engine-flutter-autoroll,2025-10-04T07:25:20Z,2025-10-04T10:23:34+00:00,1,2.97,False,1,1,1,1054,5,0,5,CLOSED
176506,Roll Dart SDK from 0009748aed50 to 9bc52df78b67 (4 revisions),engine-flutter-autoroll,2025-10-04T04:49:26Z,2025-10-04T07:36:05+00:00,1,2.78,True,2,2,1,1041,1,0,1,MERGED
176505,Roll Skia from f316de3d47b4 to 35f8b9a341ed (3 revisions),engine-flutter-autoroll,2025-10-04T04:36:21Z,2025-10-04T07:23:31+00:00,1,2.79,False,1,1,1,1054,5,0,5,CLOSED
176504,Roll Skia from 9cda1a2050c4 to f316de3d47b4 (2 revisions),engine-flutter-autoroll,2025-10-04T01:53:27Z,2025-10-04T04:23:11+00:00,1,2.5,True,1,1,1,930,1,0,1,MERGED
176502,Roll Dart SDK from 0009748aed50 to 609da2611e2c (3 revisions),engine-flutter-autoroll,2025-10-04T01:45:21Z,2025-10-04T04:47:28+00:00,1,3.04,False,2,2,1,944,5,0,5,CLOSED
176500,Roll Dart SDK from 0009748aed50 to f30ac8c20ffc (2 revisions),engine-flutter-autoroll,2025-10-04T00:19:15Z,2025-10-04T01:43:28+00:00,1,1.4,False,2,2,1,847,3,0,3,CLOSED
176499,Roll Skia from a454242c3934 to 9cda1a2050c4 (2 revisions),engine-flutter-autoroll,2025-10-03T23:25:04Z,2025-10-04T01:39:56+00:00,1,2.25,True,1,1,1,915,1,0,1,MERGED
176489,Roll Dart SDK from 0009748aed50 to f30ac8c20ffc (2 revisions),engine-flutter-autoroll,2025-10-03T21:05:58Z,2025-10-04T00:16:29+00:00,1,3.18,False,1,1,1,847,5,0,5,CLOSED
176488, Extend EdgeInsetsGeometry with Utility Methods: add EdgeInsets.some and EdgeInsets.except constructors,Mohamed-7018,2025-10-03T20:28:25Z,2025-10-04T05:56:23+00:00,1,9.47,False,409,135,3,1977,1,3,4,CLOSED
176485,Starts updating the DEPS in preupload.,gaaclarke,2025-10-03T19:55:07Z,2025-10-03T21:57:23+00:00,7,2.04,True,5,0,1,1254,2,2,4,MERGED
176484,Roll Skia from b842026480e0 to a454242c3934 (3 revisions),engine-flutter-autoroll,2025-10-03T19:26:20Z,2025-10-03T23:11:28+00:00,1,3.75,True,1,1,1,1040,1,0,1,MERGED
