number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
1862,chore: fix typos,xiaoxianBoy,2024-06-18T02:10:34Z,2024-06-19T11:21:42+00:00,2,33.19,True,5,5,4,14,1,0,1,MERGED
1820,Update foreword.md,clsnull,2023-01-31T03:56:11Z,2023-07-12T10:01:37+00:00,2,3894.09,True,1,1,1,663,0,0,0,MERGED
1808,fix typos,JEONGJIHUN,2022-09-13T04:56:20Z,2022-10-23T13:09:44+00:00,1,968.22,True,17,17,11,234,1,0,1,MERGED
1789,"Replace the ""As mentioned earlier"" part in ch1.md",SiarheiBobryk,2022-03-23T11:00:21Z,2025-09-03T19:12:30+00:00,2,30248.2,False,1,1,1,530,0,1,1,CLOSED
1769,Fix sentence,strider99,2021-12-06T12:20:36Z,2025-09-03T19:12:28+00:00,1,32814.86,False,1,1,1,398,2,0,2,CLOSED
1746,typo,fyl0531,2021-07-06T09:03:01Z,2023-07-07T05:50:33+00:00,1,17540.79,True,1,1,1,0,0,0,0,MERGED
1743,fix: typo in example code & some minor ones,phulengo,2021-06-17T05:48:58Z,2021-08-26T15:05:59+00:00,1,1689.28,False,7,7,1,646,1,0,1,CLOSED
1741,Update ch1.md,littleloke,2021-06-10T02:59:28Z,2025-09-03T19:12:28+00:00,1,37120.22,False,1,1,1,684,1,1,2,CLOSED
1720,add book 1 translation into Ukrainian,AMashoshyna,2021-01-06T10:30:01Z,2021-01-07T16:23:03+00:00,2,29.88,True,815,810,10,846,2,0,2,MERGED
1717,"[FIX] Scope & Closures, apB, Closure 3 Typo issue #1716",hochan222,2020-12-20T14:54:42Z,2025-09-03T19:12:27+00:00,1,41236.3,False,2,2,1,501,1,0,1,CLOSED
1699,"docs: Fix simple typo, transpiliation -> transpilation",timgates42,2020-09-24T22:51:42Z,2025-09-03T19:12:26+00:00,2,43316.35,False,1,1,1,98,1,0,1,CLOSED
1691,Removed extraneous 'has' typo,hylobates-lar,2020-08-29T15:44:26Z,2025-09-03T19:12:26+00:00,1,43947.47,False,1,1,1,663,0,0,0,CLOSED
1685,Simple typo,mammadjafar,2020-08-10T11:26:30Z,2025-09-03T19:12:24+00:00,2,44407.76,False,1,1,1,689,1,0,1,CLOSED
1585,Foreword update on README.md,jamesxv7,2020-01-07T03:19:33Z,2020-01-22T16:55:28+00:00,1,373.6,False,1,1,1,0,0,0,0,CLOSED
1539,Update ch2.md,Brianmanden,2019-11-05T18:30:23Z,2019-12-02T13:27:16+00:00,1,642.95,False,1,1,1,265,0,0,0,CLOSED
