number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
16443,ggml-cpu : fix leftover handling in ggml_vec_scale_f32 for SVE,danbev,2025-10-06T10:06:07Z,2025-10-06T12:17:12+00:00,1,2.18,True,4,4,1,854,1,0,1,MERGED
16418,vulkan: use a more appropriate amount of threads when generating shaders,netrunnereve,2025-10-03T22:28:34Z,2025-10-04T20:04:27+00:00,8,21.6,True,2,3,1,105,1,2,3,MERGED
16413,Magistral,ServeurpersoCom,2025-10-03T17:35:17Z,2025-10-03T18:51:48+00:00,1,1.28,True,92,0,3,245,0,0,0,MERGED
16409,llama : fix shapes for bert/mpt q/k norm,CISC,2025-10-03T11:12:42Z,2025-10-03T12:40:25+00:00,1,1.46,True,7,0,1,29,0,0,0,MERGED
16408,Fix missing messages on sibling navigation,allozaur,2025-10-03T09:46:37Z,2025-10-03T10:51:40+00:00,1,1.08,True,10,5,2,158,0,0,0,MERGED
16405,Capture model name only after first token (streaming) or completed request,allozaur,2025-10-03T08:08:57Z,2025-10-03T09:30:39+00:00,1,1.36,True,55,20,2,81,0,0,0,MERGED
16401,ci : change macos-13 to macos-15-intel,danbev,2025-10-03T05:42:19Z,2025-10-03T09:45:17+00:00,1,4.05,True,2,2,2,259,2,0,2,MERGED
16400,"ggml webgpu: actually add softmax, fix rms_norm offset",reeselevine,2025-10-03T04:13:00Z,2025-10-05T03:59:32+00:00,1,47.78,True,10,1,3,281,2,0,2,MERGED
16396,ggml : fix graph reallocation with multiple chunks,Acly,2025-10-03T01:34:32Z,2025-10-03T11:49:08+00:00,1,10.24,True,52,14,2,451,1,0,1,MERGED
16389,test-barrier : do not use more threads than physically available,CISC,2025-10-02T11:31:18Z,2025-10-02T18:10:13+00:00,3,6.65,True,2,2,1,69,1,1,2,MERGED
16388,ci : attempt to fix ubuntu-latest-cmake-rpc,CISC,2025-10-02T10:39:28Z,2025-10-02T11:51:36+00:00,1,1.2,True,5,5,1,115,7,0,7,MERGED
16382,implement context checkpointing for hybrid and recurrent models,ddh0,2025-10-02T06:23:28Z,2025-10-03T18:34:51+00:00,4,36.19,True,89,74,8,602,17,4,21,MERGED
