number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
4383,chore(deps): bump google.golang.org/protobuf from 1.36.9 to 1.36.10,dependabot,2025-10-02T22:02:11Z,2025-10-03T13:25:35+00:00,1,15.39,True,3,3,2,1496,0,0,0,MERGED
4382,docs(context): fix wrong function name in comment,goldlinker,2025-09-30T08:13:03Z,2025-10-03T13:26:47+00:00,1,77.23,True,1,1,1,57,0,0,0,MERGED
4379,chore(deps): bump github.com/quic-go/quic-go from 0.54.0 to 0.54.1,dependabot,2025-09-25T22:02:20Z,2025-09-26T00:10:03+00:00,1,2.13,True,3,3,2,1599,0,0,0,MERGED
4375,test(benchmarks): fix the incorrect function name,mengxunQAQ,2025-09-25T04:38:51Z,2025-09-26T00:15:36+00:00,1,19.61,True,1,1,1,53,0,0,0,MERGED
4373,fix(response): refine hijack behavior for response lifecycle,appleboy,2025-09-24T15:19:54Z,2025-09-26T00:13:39+00:00,1,32.9,True,62,2,2,763,2,1,3,MERGED
4356,chore(deps): bump google.golang.org/protobuf from 1.36.8 to 1.36.9,dependabot,2025-09-15T22:01:41Z,2025-09-19T00:35:55+00:00,1,74.57,True,3,3,2,1495,0,0,0,MERGED
4354,"refactor(tree): replace string('/') with ""/"" in node.insertChild",1911860538,2025-09-15T11:44:22Z,2025-09-19T00:35:34+00:00,1,84.85,True,1,1,1,0,1,0,1,MERGED
4353,refactor(render): remove headers parameter from writeHeader,1911860538,2025-09-15T11:35:59Z,2025-09-19T00:39:17+00:00,1,85.06,True,4,4,1,104,1,0,1,MERGED
4352,refactor(binding): use maps.Copy for cleaner map handling,russcoss,2025-09-14T01:26:05Z,2025-09-27T03:03:59+00:00,2,313.63,True,2,3,1,116,2,0,2,MERGED
4351,chore(deps): bump actions/setup-go from 5 to 6,dependabot,2025-09-08T22:01:43Z,2025-09-13T23:25:36+00:00,1,121.4,True,3,3,2,4624,0,0,0,MERGED
4347,chore(deps): bump github.com/stretchr/testify from 1.10.0 to 1.11.1,dependabot,2025-09-02T17:26:01Z,2025-09-13T23:26:06+00:00,1,270.0,True,3,3,2,5869,0,0,0,MERGED
