number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
850,Adding 4 directories generated by GWT compiler.,jkremser,2013-11-13T02:03:53Z,2013-11-27T03:48:41+00:00,1,337.75
1424,Add an explanation to reduce PHP framework clutter,arcresu,2015-03-01T02:00:01Z,2017-02-02T09:56:08+00:00,1,16903.94
1589,Create Crystal.gitignore,keplersj,2015-07-12T02:30:30Z,2017-07-16T06:09:13+00:00,1,17643.65
1665,Add .gitignore for the Clean programming language,dopefishh,2015-09-22T10:35:40Z,2017-02-28T10:36:25+00:00,1,12600.01
1682,Created gitignore file for the QuartusII IDE from Altera.,espenkn,2015-10-01T20:11:53Z,2018-11-22T20:02:22+00:00,1,27551.84
1758,Added .gitignore for @phonegap/@cordova,christoga,2015-11-16T14:59:02Z,2018-11-22T20:22:01+00:00,1,26453.38
1767,add octobercms.gitignore,joaonzangoII,2015-11-26T11:58:42Z,2018-11-23T11:38:59+00:00,1,26231.67
1911,add gitignore for openFrameworks,2bbb,2016-03-21T03:31:46Z,2018-11-22T20:55:17+00:00,1,23441.39
1980,[Global/Emacs] add numerous rules ,zonuexe,2016-05-14T05:08:49Z,2025-07-25T21:43:08+00:00,1,80632.57
2010,Add Cordova gitignore,cydrobolt,2016-06-06T22:11:39Z,2018-11-22T20:21:36+00:00,1,21574.17
2027,[Smalltalk] add support for Dolphin Smalltalk,rejurime,2016-06-28T23:32:27Z,2018-11-23T18:54:51+00:00,6,21067.37
2033,for phalcon-phpstorm,niboge,2016-07-01T06:45:11Z,2018-11-22T20:48:05+00:00,1,20990.05
2038,added Arcanist gitignore,Qix-,2016-07-09T22:26:38Z,2017-02-23T01:50:00+00:00,1,5475.39
2066,"[Python] correcting a wrong written ""extension""",13lcp2000,2016-08-15T09:34:19Z,2018-08-17T16:23:11+00:00,1,17574.81
2068,[Scala] exclude Scala IDE related .cache-main .,sherzodv,2016-08-16T06:54:15Z,2017-02-16T10:58:40+00:00,5,4420.07
2082,[VisualStudio] ignore files after UWP package was created..,bondarenkod,2016-08-25T22:06:54Z,2018-06-17T19:36:56+00:00,3,15861.5
2086,Add gitignore for Cypress Semiconductor IDE,AlexanderBrevig,2016-08-30T20:15:03Z,2018-10-27T22:33:29+00:00,2,18914.31
2091,"[ObjC, Swift, Xcode] Make Objective-C & Swift symlinks to Xcode",EtherTyper,2016-09-05T12:38:43Z,2018-11-23T18:45:29+00:00,3,19422.11
2103,Android studio gitignore,shahabhameed,2016-09-08T12:57:49Z,2018-11-23T18:57:18+00:00,1,19349.99
2107,Add support for Cake.Net,RehanSaeed,2016-09-15T07:50:48Z,2016-09-26T11:18:34+00:00,4,267.46
2108,Add rustfmt gitignore,waynenilsen,2016-09-15T10:27:33Z,2016-10-03T03:46:39+00:00,1,425.32
2112,[Node/VisualStudio] ignore typings directory,bbodenmiller,2016-09-20T02:29:26Z,2017-02-02T11:00:35+00:00,1,3248.52
2113,Update Node.gitignore,MikeRalphson,2016-09-21T06:23:59Z,2016-09-26T10:08:35+00:00,2,123.74
2120,Don't ignore Python coverage configuration,rouge8,2016-09-27T00:24:52Z,2016-09-27T23:38:33+00:00,1,23.23
