number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
14025,Add transform.HTMLToMarkdown,bep,2025-10-01T16:12:29Z,2025-10-01T17:17:27+00:00,1,1.08,True,99,1,4,12,0,1,1,MERGED
14013,Misc,bep,2025-09-29T11:25:50Z,2025-09-29T15:06:51+00:00,1,3.68,True,59,9,6,151,0,2,2,MERGED
14003,plain text markup,davidejones,2025-09-25T19:29:07Z,2025-10-01T17:40:43+00:00,1,142.19,False,84,0,6,33,1,1,2,CLOSED
13989,commands: Map --minify CLI flag to the correct configuration key,jmooring,2025-09-17T16:27:44Z,2025-09-18T14:50:48+00:00,2,22.38,True,14,1,2,13,0,1,1,MERGED
13982,markup/goldmark: Enhance footnote extension with auto-prefixing option,jmooring,2025-09-13T03:36:12Z,2025-09-27T16:16:42+00:00,5,348.68,True,122,25,7,445,6,3,9,MERGED
13969,resources/page: Fix truncated summary logic,jmooring,2025-09-05T19:27:29Z,2025-09-07T09:07:42+00:00,4,37.67,True,78,4,3,25,0,1,1,MERGED
13966,modules: Add support for direct version module imports in hugo.toml,bep,2025-09-05T06:50:13Z,2025-09-07T20:48:24+00:00,1,61.97,False,563,85,12,2334,1,3,4,CLOSED
13908,resources/page: Add :sectionslug and :sectionslugs permalink tokens,DustinFischer,2025-08-14T17:25:38Z,2025-08-23T10:35:22+00:00,9,209.16,True,198,5,5,465,4,4,8,MERGED
13900,markup/goldmark: Apply Hugo Goldmark Extras when rendering TOC,jmooring,2025-08-11T22:55:57Z,2025-08-14T20:39:14+00:00,2,69.72,True,89,5,5,12,0,1,1,MERGED
13888,"Add support for ""format"" option in transform.Unmarshal",n1xx1,2025-08-03T16:31:44Z,2025-08-05T20:19:51+00:00,1,51.8,True,39,6,3,164,0,1,1,MERGED
