number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
75259,all: replace strings.Split with strings.SplitSeq,1911860538,2025-09-04T14:56:11Z,2025-09-16T00:46:13+00:00,1,273.83,False,178,50,39,2287,59,0,59,CLOSED
75257,internal/trace/raw: use strings.Cut instead of strings.SplitN 2,1911860538,2025-09-04T12:22:08Z,2025-09-10T20:15:20+00:00,1,151.89,False,7,8,1,79,7,0,7,CLOSED
74124,json/decoder: Allow empty strings for parsing numbers,KitiHey,2025-06-12T14:16:47Z,2025-06-12T22:31:48+00:00,1,8.25,False,6,2,1,381,1,0,1,CLOSED
74120,encoding/json/jsontext: preserve buffer capacity in Decoder.Reset,fpetkovski,2025-06-12T07:01:45Z,2025-07-24T16:08:45+00:00,1,1017.12,False,91,1,2,524,33,0,33,CLOSED
73477,maps: handle copy with nil maps,afiune,2025-04-22T22:02:13Z,2025-04-24T11:48:47+00:00,1,37.78,False,12,0,2,147,3,0,3,CLOSED
71773,crypto/rand: add example for Int,alanyee,2025-02-16T02:59:36Z,2025-02-21T23:33:15+00:00,1,140.56,False,15,1,1,0,26,0,26,CLOSED
71431,text/template improved comparison error addresses issue #71421,diegolara93,2025-01-24T22:55:11Z,2025-02-03T16:59:58+00:00,1,234.08,False,2,3,1,230,36,0,36,CLOSED
70904,crypto/ecdsa: fix condition for fips140=only check,mauri870,2024-12-18T15:37:01Z,2024-12-18T23:09:50+00:00,1,7.55,False,1,1,1,12,13,0,13,CLOSED
70672,syscall: optimise cgo clearenv,cyphar,2024-12-04T08:07:21Z,2025-09-09T19:54:46+00:00,1,6707.79,False,231,3,7,2118,85,1,86,CLOSED
70391,bufio: optimize struct memory layout to reduce size,bernoussama,2024-11-16T12:23:56Z,2024-12-18T10:08:03+00:00,1,765.74,False,7,5,2,88,5,0,5,CLOSED
70166,mime: add mimetype for .jxl files,akmittal,2024-11-02T06:03:44Z,2025-02-13T18:42:28+00:00,1,2484.65,False,1,0,1,53,4,0,4,CLOSED
69984,"encoding/json: clarify omitempty option for {array,slice,map,string}",callthingsoff,2024-10-22T14:43:57Z,2024-10-23T15:26:46+00:00,1,24.71,False,2,2,1,249,10,0,10,CLOSED
69943,net/http: initialize Value with File length in cloneMultipartForm,1911860538,2024-10-20T05:11:20Z,2025-04-10T00:12:22+00:00,1,4123.02,False,1,1,1,136,28,0,28,CLOSED
69622,encoding/json: add omitzero option,callthingsoff,2024-09-25T12:17:17Z,2024-10-02T14:31:38+00:00,1,170.24,False,248,4,3,12,60,0,60,CLOSED
69429,encoding/gob: make use of maps.Clone,callthingsoff,2024-09-12T16:29:45Z,2024-09-13T21:10:09+00:00,1,28.67,False,2,4,1,0,17,0,17,CLOSED
69427,archive/tar: make use of maps.Clone,callthingsoff,2024-09-12T16:24:34Z,2024-09-13T21:10:07+00:00,1,28.76,False,3,12,1,0,16,0,16,CLOSED
69211,internal/platform: fix typo in comment,rasa,2024-09-02T14:22:36Z,2025-04-24T21:57:37+00:00,1,5623.58,False,1,1,1,0,12,0,12,CLOSED
68964,src: fix typos,Sajjon,2024-08-20T08:24:27Z,2024-08-20T21:08:39+00:00,3,12.74,False,30,30,23,22,16,3,19,CLOSED
68828,testing: add Context,narqo,2024-08-10T09:49:12Z,2024-08-20T15:05:25+00:00,2,245.27,False,77,15,5,131,24,1,25,CLOSED
67501,fmt: replace sort with slices to reduce dependency tree,aimuz,2024-05-18T16:18:11Z,2024-08-01T06:08:05+00:00,1,1789.83,False,2,2,1,231,11,0,11,CLOSED
67157,crypto/x509: include OID in duplicate extension error message,Techassi,2024-05-03T14:54:10Z,2024-05-06T17:43:30+00:00,1,74.82,False,1,1,1,355,17,0,17,CLOSED
66969,goarch: remove variable shadowing in gengoarch,jcdan3,2024-04-22T18:56:53Z,2025-02-18T20:47:26+00:00,1,7249.84,False,1,1,1,0,7,0,7,CLOSED
66959,runtime: add ERMS-based memmove support for modern CPU platforms,cocotyty,2024-04-22T09:11:54Z,2024-07-22T21:29:55+00:00,1,2196.3,False,59,25,4,1285,88,1,89,CLOSED
66395,crypto/md5: modify md5block_arm64.s optimization md5,kdjdbbfk,2024-03-19T03:24:49Z,2024-09-06T02:21:49+00:00,1,4102.95,False,14,4,1,1935,7,0,7,CLOSED
66165,regexp: fix compiling alternate patterns of different fold case literals,itchyny,2024-03-07T11:22:49Z,2025-07-30T14:34:50+00:00,1,12243.2,False,3,1,2,119,17,0,17,CLOSED
65900,runtime/coverage: remove refs to deprecated io/ioutil,testwill,2024-02-23T08:50:25Z,2024-02-26T14:46:05+00:00,1,77.93,False,3,3,1,0,11,0,11,CLOSED
65833,crypto/x509: fix typo,testwill,2024-02-21T02:14:12Z,2024-02-26T21:04:54+00:00,1,138.84,False,1,1,1,0,8,0,8,CLOSED
65750,reflect: make Value.Comparable return true for nil interface value,callthingsoff,2024-02-16T12:59:14Z,2024-02-17T00:19:07+00:00,1,11.33,False,7,1,2,12,20,0,20,CLOSED
65747,crypto/subtle: remove unused code,qiulaidongfeng,2024-02-16T09:44:37Z,2024-02-16T16:01:49+00:00,1,6.29,False,0,8,1,0,10,0,10,CLOSED
65510,cmd/internal/bio: query /proc/sys/vm/max_map_count on linux if possible,Zxilly,2024-02-04T12:44:40Z,2024-02-06T11:35:52+00:00,1,46.85,False,15,2,1,80,5,0,5,CLOSED
65422,Update and rename SECURITY.md to Nytonecombek,Nytonecombek,2024-02-01T05:52:24Z,2024-02-01T07:52:32+00:00,2,2.0,False,0,0,1,1211,1,0,1,CLOSED
65360,errors: unwrap joinError to avoid deeply-nested joins,sethvargo,2024-01-30T02:17:52Z,2024-02-16T03:19:02+00:00,1,409.02,False,25,13,2,1145,8,1,9,CLOSED
65018,runtime: crash asap and extend total sleep time for slow machine in test,zzkcode,2024-01-08T14:56:34Z,2024-05-10T16:08:44+00:00,2,2953.2,False,26,7,1,205,45,1,46,CLOSED
64728,database/sql: wrap errors with %w in driverArgsConnLocked,aimuz,2023-12-15T02:15:00Z,2024-02-27T16:35:59+00:00,1,1790.35,False,48,1,3,274,25,0,25,CLOSED
61817,slices: add Concat,6543,2023-08-07T17:06:33Z,2023-08-08T15:46:14+00:00,1,22.66,False,32,0,3,12,12,0,12,CLOSED
