number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
1519,fix: rely on id as a reference,geromegrignon,2024-01-03T17:01:40Z,2024-01-03T18:11:47+00:00,2,1.17,True,143,173,21,51,3,1,4,MERGED
1384,Make minor language edits for clarity,peterhauke,2023-08-02T20:22:17Z,2023-09-19T08:03:34+00:00,1,1139.69,True,5,5,1,779,4,0,4,MERGED
1382,Fix two minor typos,peterhauke,2023-08-01T13:23:07Z,2023-08-02T14:10:38+00:00,1,24.79,True,2,2,1,347,3,0,3,MERGED
778,docs: update introduction.md,borguuh,2021-10-28T15:35:18Z,2021-10-28T16:40:17+00:00,1,1.08,True,1,1,1,500,1,0,1,MERGED
776,    docs: added link to CodebaseShow in the documentation footer,alebian,2021-10-25T08:26:47Z,2021-10-25T21:52:26+00:00,1,13.43,True,4,0,1,539,1,0,1,MERGED
767,Update README,subramanir2143,2021-10-20T18:24:57Z,2021-10-21T14:42:55+00:00,1,20.3,True,3,3,1,441,1,0,1,MERGED
766,feat: setup Dependabot for NPM and GitHub Actions,nschonni,2021-10-18T22:17:33Z,2021-10-23T08:11:12+00:00,1,105.89,True,19,0,1,619,1,0,1,MERGED
753,Fix some minor grammatical errors.,lalitshankarch,2021-10-09T07:50:48Z,2021-10-11T08:37:42+00:00,2,48.78,True,8,8,3,483,1,1,2,MERGED
745,Format postman specification,jougene,2021-10-06T20:31:30Z,2021-10-12T11:53:49+00:00,1,135.37,True,2244,2180,1,447,4,0,4,MERGED
744,update links to implementation specs hosted on gh-pages,miguelgrubin,2021-10-06T17:48:19Z,2021-10-07T10:28:06+00:00,3,16.66,True,3,3,1,465,1,2,3,MERGED
687,make get by tag and get favorites by user API tests unconditional,cirosantilli,2021-06-23T12:19:43Z,2021-09-25T13:07:03+00:00,1,2256.79,True,142,160,1,461,0,0,0,MERGED
685,feat(project): update to newman 5,cirosantilli,2021-06-23T06:55:33Z,2021-07-01T11:15:31+00:00,1,196.33,True,1,1,1,839,1,0,1,MERGED
678,Test comment GET without login on run-api-tests.sh,cirosantilli,2021-05-29T14:59:49Z,2021-06-02T20:44:34+00:00,1,101.75,True,64,0,1,179,1,0,1,MERGED
667,feat(project): add community guidelines,geromegrignon,2021-05-04T07:04:28Z,2021-06-02T21:05:24+00:00,1,710.02,True,317,2,4,59,0,1,1,MERGED
623,Add Android(Kotlin) in mobile-repo,Marvel999,2021-03-20T16:02:57Z,2021-04-15T09:48:43+00:00,1,617.76,False,70,34,1,86,4,0,4,CLOSED
618,Add event driven vanilla JS web components,abdusabri,2021-03-08T21:50:31Z,2021-03-10T14:43:54+00:00,3,40.89,True,3,0,1,273,4,0,4,MERGED
617,fix swagger for how to register a new user,GeraldLoeffler,2021-02-28T06:43:17Z,2021-04-20T00:39:15+00:00,2,1217.93,False,4,2,1,51,2,1,3,CLOSED
609,Update Riot repos,iq3addLi,2021-02-14T09:44:52Z,2021-02-14T11:17:03+00:00,1,1.54,True,1,4,1,69,1,0,1,MERGED
608,add FastAPI implementation,nsidnev,2021-02-13T22:09:42Z,2021-02-14T23:07:09+00:00,1,24.96,True,3,0,1,78,0,0,0,MERGED
553,Fix Purescript + Halogen frontend logo url,wryk,2020-09-02T22:37:48Z,2021-01-23T14:23:45+00:00,2,3423.77,True,1,1,1,80,0,0,0,MERGED
533,Fix typo (change 'distirbution' to 'distribution'),Necmttn,2020-07-18T13:12:47Z,2021-01-23T09:06:55+00:00,1,4531.9,True,1,1,1,96,0,0,0,MERGED
528,adding Mithril.JS frontend example,boazblake,2020-07-10T19:21:56Z,2021-02-26T22:38:03+00:00,1,5547.27,False,3,0,1,20,2,0,2,CLOSED
516,Fixing GitHub profile link,pr4bh4sh,2020-06-02T15:29:19Z,2021-01-29T14:07:05+00:00,1,5782.63,False,1,1,1,0,0,0,0,CLOSED
510,Remove Ember Octane,patocallaghan,2020-05-23T17:30:55Z,2021-01-25T11:15:52+00:00,3,5921.75,True,0,3,1,180,1,0,1,MERGED
488,added neo to the frontend-repos.yaml,tobiu,2020-04-07T18:37:03Z,2020-05-19T22:57:51+00:00,1,1012.35,True,3,0,1,0,0,0,0,MERGED
440,Add logo for Ember.js,Alonski,2019-11-17T14:18:34Z,2019-11-19T16:09:38+00:00,2,49.85,True,1,1,1,0,2,0,2,MERGED
348,Add backend: Crystal (Onyx),anishkny,2019-02-22T14:41:15Z,2019-02-25T14:42:51+00:00,1,72.03,True,4,1,1,0,3,0,3,MERGED
324,List Anish & Cameron as the Core Maintainers,EricSimons,2019-01-11T20:34:47Z,2019-01-12T01:04:59+00:00,1,4.5,True,14,16,1,570,4,0,4,MERGED
296,Add Ruby & Colmena backend example app,larribas,2018-11-06T14:20:28Z,2018-12-05T15:12:48+00:00,1,696.87,True,3,0,1,247,1,0,1,MERGED
292,Fix assertion description in Postman collection,hecrj,2018-11-03T22:34:57Z,2018-11-05T17:51:25+00:00,1,43.27,True,1,1,1,89,1,0,1,MERGED
291,feat: Add rankings one-per-line in comments to ease merges/updates,anishkny,2018-10-30T17:23:58Z,2018-11-05T18:08:02+00:00,1,144.73,True,70,6,2,681,0,0,0,MERGED
289,Add hyperapp to frontend repos.,Cameron-C-Chapman,2018-10-28T16:23:20Z,2018-10-29T16:09:47+00:00,1,23.77,True,3,0,1,0,2,0,2,MERGED
287,Add backend xesina/golang-echo-realworld-example-app,anishkny,2018-10-23T00:34:54Z,2018-10-23T02:45:26+00:00,1,2.18,True,3,0,1,0,0,0,0,MERGED
261,Add BE Haskell / Yasod,anishkny,2018-08-31T00:07:27Z,2018-08-31T15:08:12+00:00,1,15.01,True,3,0,1,11,0,0,0,MERGED
260,replaced ISO 8601 test with regular expression,tzemanovic,2018-08-30T23:24:33Z,2018-10-29T17:49:50+00:00,1,1434.42,True,39,39,1,817,1,0,1,MERGED
255,fix(API): A few fixes to Postman collection,anishkny,2018-08-22T18:25:48Z,2018-09-01T21:58:19+00:00,1,243.54,True,705,482,5,89,1,0,1,MERGED
251,feat: Insert timestamp of sorting in README,anishkny,2018-08-07T21:51:59Z,2018-08-08T23:02:00+00:00,1,25.17,True,12,13,3,42,1,0,1,MERGED
248,Add AWS DynamoDB Lambda Backend. Set bookshelf.js image to default realworld image for now.,Cameron-C-Chapman,2018-08-04T19:48:47Z,2018-08-04T21:29:19+00:00,1,1.68,True,4,1,1,0,1,0,1,MERGED
241,"Fix errors, remove unnecessary/empty words, concise",msrahman07,2018-07-18T02:16:36Z,2018-10-29T17:55:30+00:00,1,2487.65,False,95,14,2,324,3,8,11,CLOSED
238,doc how to use the supplied Postman configs,mohawk2,2018-07-02T04:52:41Z,2018-07-02T16:02:07+00:00,2,11.16,True,28,0,1,0,2,1,3,MERGED
225,Auto-update README,anishkny,2018-06-04T15:18:42Z,2018-06-04T20:15:20+00:00,1,4.94,True,23,18,1,0,0,0,0,MERGED
224,Generate README with ranked repos automatically,anishkny,2018-06-01T13:17:50Z,2018-06-04T13:10:52+00:00,1,71.88,True,401,2,8,424,1,1,2,MERGED
213,Add links to objective comparisons,ssured,2018-05-04T09:21:51Z,2018-05-06T03:44:31+00:00,1,42.38,True,3,0,1,0,1,0,1,MERGED
205,README: Add WIP fullstack Firebase,anishkny,2018-04-16T15:02:48Z,2018-04-16T21:02:36+00:00,1,6.0,True,1,1,1,0,1,0,1,MERGED
153,Add Fullstack section and description,anishkny,2017-11-13T23:48:02Z,2017-11-15T19:01:09+00:00,1,43.22,True,5,0,1,52,5,0,5,MERGED
151,Parameterize email/password in API Postman collection,anishkny,2017-11-12T04:56:47Z,2017-11-12T22:12:00+00:00,1,17.25,True,7,7,2,88,0,0,0,MERGED
8,Update README.md,xemexpress,2017-04-20T02:59:48Z,2017-04-20T16:52:38+00:00,1,13.88,True,5,5,1,0,0,0,0,MERGED
