number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
112061,PostgreSQL: Refactor feature toggle handling for standalone mode,zoltanbedi,2025-10-06T13:50:29Z,2025-10-06T14:57:33+00:00,1,1.12,True,8,13,3,384,1,0,1,MERGED
112049,alerting: omit optional notification settings fields,titolins,2025-10-06T09:57:06Z,2025-10-06T12:23:22+00:00,2,2.44,True,192,15,6,235,1,1,2,MERGED
112045,[release-11.6.7] URLParams: Stringify true values as key=true always (fixes issues with variables with true value) ,oscarkilhed,2025-10-06T09:05:53Z,2025-10-06T10:58:54+00:00,1,1.88,True,23,22,8,162,4,0,4,MERGED
112043,Remove unused arguments from ResourceIndex and SearchBackend interfaces.,pstibrany,2025-10-06T08:37:06Z,2025-10-06T09:47:52+00:00,1,1.18,True,47,70,5,31,1,0,1,MERGED
112040,Docs: Update language description in plugin schema,hugohaggmark,2025-10-06T06:38:49Z,2025-10-06T08:34:16+00:00,1,1.92,True,1,1,1,627,2,0,2,MERGED
112034,"Revert ""Secrets: Refactor data_key_id out of the encoded secure value payload""",stephaniehingtgen,2025-10-05T00:04:34Z,2025-10-05T06:53:44+00:00,1,6.82,True,232,782,49,499,1,0,1,MERGED
112033,DeleteHooks: Fix logging,stephaniehingtgen,2025-10-04T21:37:38Z,2025-10-05T09:16:10+00:00,1,11.64,True,3,2,2,110,1,0,1,MERGED
112028,Update index.md,michaellambgelo,2025-10-04T02:05:40Z,2025-10-06T12:33:13+00:00,1,58.46,True,1,1,1,21,3,0,3,MERGED
112025,Docs: Fixed a broken link on the Intro to Exemplars page,lwandz13,2025-10-03T21:38:18Z,2025-10-06T15:04:02+00:00,1,65.43,True,1,1,1,542,2,0,2,MERGED
112024,Permission Creator: Remove user type check,stephaniehingtgen,2025-10-03T20:56:49Z,2025-10-04T05:30:09+00:00,1,8.56,True,0,87,2,445,1,0,1,MERGED
112021,Apps: Update grafana-app-sdk to v0.46.0,IfSentient,2025-10-03T19:54:13Z,2025-10-04T09:33:11+00:00,1,13.65,True,551,178,84,897,1,0,1,MERGED
112017,User API: add missing uid to user look up api,jalevin,2025-10-03T17:48:56Z,2025-10-04T09:24:13+00:00,1,15.59,True,1,0,1,1028,1,0,1,MERGED
112014,Provisioning: update unhealthy status only when not recent,ferruvich,2025-10-03T17:17:37Z,2025-10-03T18:49:44+00:00,1,1.54,True,55,4,2,944,1,0,1,MERGED
112007,"chore(tracing): Initialize tracing early, before wire",hairyhenderson,2025-10-03T15:33:25Z,2025-10-06T13:44:14+00:00,1,70.18,True,27,5,2,255,2,0,2,MERGED
112006,Slider: Make `inputId` a required param and fix minor a11y violations,ashharrison90,2025-10-03T15:29:02Z,2025-10-03T16:35:28+00:00,1,1.11,True,32,17,8,676,1,0,1,MERGED
112000,[release-12.2.1] NPM: Backport NPM publishing from main,joshhunt,2025-10-03T14:09:40Z,2025-10-06T12:51:48+00:00,1,70.7,True,11,19,2,112,5,0,5,MERGED
111999,Internationalisation: Allow parameterising `basePaths` for key generation in lint rule,ashharrison90,2025-10-03T14:05:32Z,2025-10-03T15:38:31+00:00,2,1.55,True,136,12,5,564,1,0,1,MERGED
111997,[release-12.1.3] NPM: Backport NPM publishing from main,joshhunt,2025-10-03T13:52:09Z,2025-10-06T12:52:00+00:00,1,71.0,True,27,23,3,112,5,0,5,MERGED
111996,Hackathon: Use api clients package for middleware/reducers setup,tomratcliffe,2025-10-03T13:50:24Z,2025-10-06T12:32:20+00:00,2,70.7,True,170,156,61,564,0,2,2,MERGED
111995,[release-12.0.6] NPM: Backport NPM publishing from main,joshhunt,2025-10-03T13:45:30Z,2025-10-06T12:51:39+00:00,1,71.1,True,349,26,5,112,5,0,5,MERGED
