number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
40,Change Visual Studio Build Tools link,gongchandang49,2024-06-18T16:25:01Z,2024-06-25T16:49:21+00:00,1,168.41
46,Fix face_enhancer issues,JoepdeJong,2024-07-07T12:37:37Z,2024-07-08T10:47:26+00:00,2,22.16
58,Bump torch from 2.0.1 to 2.2.0,dependabot,2024-07-25T11:41:10Z,2024-11-22T12:57:29+00:00,1,2881.27
62,Update requirements.txt,SamuraiBarbi,2024-07-29T19:35:11Z,2024-07-31T03:29:03+00:00,1,31.9
66,Bump torch from 2.0.1 to 2.2.0,thongao1302,2024-08-01T12:23:04Z,2024-11-22T12:57:30+00:00,1,2712.57
74,"solve the FACE_ENHANCER os problem for non-nt(linux, mac) system",c4fun,2024-08-07T15:28:02Z,2024-08-08T05:15:57+00:00,1,13.8
81,Small typo in README.md,Rhymond,2024-08-09T15:10:23Z,2024-08-09T16:41:17+00:00,1,1.51
88,Enable to choose a camera device in UI,samoylenkodmitry,2024-08-09T17:01:12Z,2024-08-10T05:18:27+00:00,1,12.29
155,chore: Update README.md,neverbiasu,2024-08-10T15:37:53Z,2024-10-07T16:54:17+00:00,1,1393.27
164,Create atd112211,atd2222111,2024-08-11T00:04:01Z,2024-08-11T03:36:22+00:00,1,3.54
165,"Update README.md fixed directml command ""directml"" to ""dml""",JcobCN,2024-08-11T02:28:20Z,2024-11-22T12:57:30+00:00,1,2482.49
166,Refactor and Optimize Cross-Platform Support,zoharbabin,2024-08-11T02:53:34Z,2024-08-12T04:27:35+00:00,1,25.57
179,Update onnxruntime-gpu version in readme,munimdev,2024-08-11T12:54:12Z,2024-08-11T14:54:05+00:00,1,2.0
189,Update README.md,david-dong828,2024-08-11T19:27:47Z,2024-08-31T17:55:37+00:00,1,478.46
199,add onnxslim support,inisis,2024-08-12T02:26:30Z,2024-08-13T08:29:36+00:00,1,30.05
215,add onnxslim support,inisis,2024-08-12T11:52:12Z,2024-11-22T12:57:30+00:00,1,2449.09
235,Update README.md,olivierlesnicki,2024-08-12T20:06:11Z,2024-09-10T08:40:07+00:00,1,684.57
237,Fix & Improve the NSFW function,vic4key,2024-08-12T21:19:11Z,2024-08-13T04:10:14+00:00,1,6.85
245,Add messages for exceptions,ZillaRU,2024-08-13T04:18:34Z,2024-11-22T12:57:31+00:00,1,2432.65
285,Translated to Chinese. Fixed the problem of incorrect versions of libraries such as torch. Added support for Python 3.12.2.,nitsc,2024-08-13T12:43:50Z,2024-11-22T12:57:31+00:00,1,2424.23
286,Model change to use GPU properly,jasonkneen,2024-08-13T12:58:12Z,2024-11-22T12:57:32+00:00,5,2423.99
292,Adding Dockerfile,sostenesapollo,2024-08-13T16:25:46Z,2024-08-31T21:12:37+00:00,3,436.78
293,To fix bugs and support more options for the Live function (see details in Commits tab),vic4key,2024-08-13T17:49:27Z,2024-08-15T05:44:53+00:00,1,35.92
295,Updates for metal / GPU and performance improves on Silicon Macs,jasonkneen,2024-08-13T18:08:59Z,2024-11-22T12:57:32+00:00,3,2418.81
321,Stop live mode when the preview window is closed,gianpaj,2024-08-14T15:56:39Z,2024-08-14T19:01:37+00:00,1,3.08
324,Update README.md to address the issue with the GTK package on MAC OS,vietjovi,2024-08-14T19:30:59Z,2024-08-18T05:47:57+00:00,2,82.28
329,Added virtual camera output and fetching of input camera devices with names using pygrabber on windows and linux,bit-wrangler,2024-08-15T05:43:13Z,2024-08-15T16:58:50+00:00,1,11.26
354,Patch 1,DrSiiK,2024-08-16T01:07:08Z,2024-08-18T16:44:36+00:00,1,63.62
368,Allow Drag-and-Drop of Source and Target Files,justin-m-lacy,2024-08-16T15:51:39Z,2024-10-07T16:52:47+00:00,5,1249.02
372,"Add two face support feature to Livecam, image or video processing.",iVideoGameBoss,2024-08-16T18:53:05Z,2024-08-16T20:33:09+00:00,1,1.67
389,"Two Face Feature and Face Controls,",iVideoGameBoss,2024-08-17T18:00:41Z,2024-08-17T19:51:52+00:00,1,1.85
391,Dynamic requirements with pyproject.toml,0x78f1935,2024-08-18T02:09:26Z,2024-10-04T21:15:41+00:00,12,1147.1
397,added elif for pygrabber import in ui.py [experimental branch],BotStop,2024-08-18T13:43:07Z,2024-11-22T12:57:32+00:00,1,2303.24
398,Two face feature and multi target face placement control,iVideoGameBoss,2024-08-18T17:59:43Z,2024-08-21T20:13:25+00:00,1,74.23
435,change directml to dml in README code example for execution provider,BobJr23,2024-08-22T14:15:07Z,2024-11-22T12:57:33+00:00,1,2206.71
455,Adding a swap faces button to easily swap source/target images,barongello,2024-08-25T15:27:59Z,2024-08-27T04:29:55+00:00,2,37.03
461,Bump torch from 2.0.1 to 2.2.0,unknown,2024-08-26T07:12:51Z,2024-08-26T08:19:12+00:00,1,1.11
472,Update README.md,wolverinex24,2024-08-26T19:32:21Z,2024-10-07T16:53:19+00:00,1,1005.35
479,update requirements,AndreyViktor,2024-08-27T13:38:50Z,2024-08-30T03:12:20+00:00,2,61.56
505,Use CUPY instead of Tensorflow to count GPUs,MYusufY,2024-08-30T06:45:35Z,2024-11-22T12:57:33+00:00,2,2022.2
506,fix: requirements ResolutionImpossible,duhow,2024-08-30T07:08:34Z,2024-08-30T11:09:02+00:00,1,4.01
507,fix: update model face-swapper,duhow,2024-08-30T14:26:59Z,2024-08-31T17:55:36+00:00,1,27.48
510,Feature/color space conversion,underlines,2024-08-30T22:01:05Z,2024-08-31T17:34:46+00:00,1,19.56
556,multi camera device support,Highpressure,2024-09-06T19:01:22Z,2024-09-10T05:47:43+00:00,1,82.77
566,Added support for multiple faces,pereiraroland26,2024-09-10T11:23:13Z,2024-09-10T15:35:19+00:00,1,4.2
572,Updates to multiple face support (webcam scenario),pereiraroland26,2024-09-12T10:12:13Z,2024-09-12T14:27:07+00:00,1,4.25
579,Google-colab remote gpu processing,Thankgod20,2024-09-13T09:27:03Z,2024-09-19T16:23:03+00:00,1,150.93
581,a,kkkiiii009900,2024-09-14T04:19:57Z,2024-09-16T04:19:16+00:00,1,47.99
588,"Enhance UI with drag and drop, modern look using customtkinter, and improved webcam mapping",KRSHH,2024-09-15T17:45:13Z,2024-09-16T04:21:39+00:00,1,10.61
592,Better UI,KRSHH,2024-09-16T06:09:26Z,2024-09-16T14:10:43+00:00,1,8.02
598,Fixed the Face mapper issue in Live Cam - New UI PR,KRSHH,2024-09-17T11:25:20Z,2024-09-17T12:25:33+00:00,1,1.0
