number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
1725,Update package.json,jackycute,2016-10-12T18:02:04Z,2016-12-06T10:38:32+00:00,1,1312.61
1950,Fix whitespace detection and stripping in getMarkdownFromSlide,puyo,2017-07-28T03:57:31Z,2018-03-22T23:10:01+00:00,1,5707.21
2121,add support for overriding the default layout,SteveHartzog,2018-03-10T15:01:29Z,2018-03-22T10:06:19+00:00,2,283.08
2171,add a full list of transitions to readme,tristansokol,2018-06-04T20:53:23Z,2018-08-01T08:36:07+00:00,3,1379.71
2300,Resize Event,mw75,2019-01-15T12:22:50Z,2019-01-31T19:09:46+00:00,2,390.78
2312,impove randomness,albert-ziegler,2019-01-30T16:42:12Z,2019-02-18T14:14:40+00:00,2,453.54
2338,add text effects for span grow and shrink fragments,lunchboxer,2019-03-03T03:33:45Z,2023-02-19T10:25:13+00:00,2,34782.86
2368,Revert 2325 revert 2312 improve random number generation,3opk23,2019-04-06T13:03:27Z,2019-04-06T15:11:37+00:00,3,2.14
2387,Handle lazy-loading of background iframes/videos,gcalmettes,2019-04-30T18:53:49Z,2019-05-06T22:57:19+00:00,1,148.06
2400,"Notes: Introduce alternate pacing timer, based on total presentation time",fghaas,2019-05-09T22:58:29Z,2019-05-27T06:11:43+00:00,14,415.22
2483,Bug fix: spelling errors,Adri-May,2019-09-19T02:10:14Z,2020-01-11T19:51:02+00:00,1,2753.68
2511,css,Prahladk09,2019-10-16T10:16:03Z,2019-12-09T19:52:03+00:00,1,1305.6
2513,Add mobileViewDistance config key,TuurDutoit,2019-10-18T11:40:43Z,2019-12-09T20:00:59+00:00,1,1256.34
2521,Expose theme variables in CSS custom properties,quilicicf,2019-10-29T14:52:15Z,2020-03-03T14:22:08+00:00,4,3023.5
2532,add recycle for unbinding event,Jchou24,2019-11-21T10:57:58Z,2020-03-05T13:34:06+00:00,1,2522.6
2633,Bundler friendliness (part II) - Repackage print style sheets,quilicicf,2020-03-10T13:22:15Z,2020-03-13T18:54:25+00:00,4,77.54
2651,reveal.js 4.0.0,hakimel,2020-04-23T09:44:12Z,2020-05-19T09:11:27+00:00,1,623.45
2656,New theme - adding background texture,chrede88,2020-04-29T04:22:59Z,2025-01-23T17:54:22+00:00,1,41533.52
2740,use native CSS vars from exposer,Shogoki,2020-07-29T11:39:05Z,2021-05-27T07:46:53+00:00,1,7244.13
2752,Start relative paths in CSS with ./,michaelmior,2020-08-18T17:04:33Z,2020-09-09T08:24:05+00:00,1,519.33
2806,Adding greetings for users on raising their first PR,winter-code,2020-10-11T23:58:23Z,2021-05-05T09:07:09+00:00,1,4929.15
2829,Add lakhan345's file,lakhan345,2020-11-01T17:20:26Z,2020-11-30T17:41:41+00:00,3,696.35
2841,Require node > 10 but < 15,JonZeolla,2020-11-11T16:51:26Z,2020-11-25T14:09:53+00:00,1,333.31
2855,Create simple.css,hizclick,2020-11-25T10:30:31Z,2021-05-05T08:19:31+00:00,1,3861.82
2859,New UI changes added ,nikunj2001,2020-11-30T15:47:06Z,2021-05-05T08:08:52+00:00,4,3736.36
2891,Installation added,khantanveer7,2021-02-03T05:50:56Z,2021-05-05T08:07:11+00:00,3,2186.27
2896,Implement auto-animate id and restart,coffeenotfound,2021-02-07T18:30:58Z,2021-05-27T07:54:46+00:00,1,2605.4
2913,Update README.md,bkmgit,2021-03-06T06:39:36Z,2021-05-05T08:04:50+00:00,3,1441.42
2923,Fix typo in comment,SamGuay,2021-03-29T03:20:43Z,2021-05-05T08:03:50+00:00,3,892.72
2940,Fix: multiple image-urls in data-background-image,cmeessen,2021-04-23T09:04:52Z,2021-04-28T06:55:30+00:00,1,117.84
2963,Create 0000-01-02-YOUR-USERNAME.md,Jitturohtaki,2021-05-29T08:35:37Z,2021-05-29T09:35:43+00:00,1,1.0
3010,Support multiple aside notes elements per slide,lechten,2021-09-16T10:45:27Z,2022-09-05T09:13:23+00:00,1,8494.47
3020,"Call me crazy, but this seems like a typo",dabrahams,2021-09-29T00:38:23Z,2022-03-21T08:40:31+00:00,1,4160.04
3291,Fix overview spacing for disabled auto layout,Proliecan,2022-09-29T07:48:12Z,2023-02-22T03:01:21+00:00,1,3499.22
3477,Notes plugin: notes from data-notes attribute were not shown,skyboyer,2023-09-17T21:31:08Z,2023-09-19T07:20:19+00:00,1,33.82
3563,feat: add a cssSelector configuration parameter RevealHighlight,TendTo,2024-01-28T16:36:10Z,2024-11-08T19:07:39+00:00,1,6842.52
3716,Add 'controlsOnlyForSpeaker' option,gpotter2,2024-11-11T22:10:40Z,2025-01-13T12:13:30+00:00,1,1502.05
3758,Fix font color issue in Firefox,Dustin4444,2025-02-26T18:23:44Z,2025-03-19T09:05:44+00:00,1,494.7
3768,fix: move pause overlay over other overlay,tobi-or-not-tobi,2025-03-21T06:21:59Z,2025-03-24T14:38:27+00:00,5,80.27
