number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
153769,Add support for Anthropic Claude Sonnet 4.5,Shulyaka,2025-10-05T17:58:41Z,2025-10-05T19:29:25+00:00,4,1.51,True,6,7,2,2140,0,2,2,MERGED
153764,Bump anthropic to 0.69.0,Shulyaka,2025-10-05T17:08:55Z,2025-10-05T18:59:51+00:00,2,1.85,True,3,3,3,2006,0,0,0,MERGED
153756,Bump aioamazondevices to 6.2.9,chemelli74,2025-10-05T14:45:04Z,2025-10-05T18:59:02+00:00,4,4.23,True,3,3,3,2033,1,0,1,MERGED
153747,Allow to set the manufacturer in a MQTT device subentry setup,jbouwh,2025-10-05T12:14:56Z,2025-10-05T21:15:00+00:00,2,9.0,True,9,2,4,2028,1,0,1,MERGED
153744,Migrate tolo to entry.runtime_data,zweckj,2025-10-05T11:23:29Z,2025-10-05T16:43:37+00:00,3,5.34,True,49,71,12,1954,1,0,1,MERGED
153743,Fix sensors availability check for Alexa Devices,chemelli74,2025-10-05T11:15:38Z,2025-10-05T12:26:17+00:00,2,1.18,True,11,5,3,1948,1,2,3,MERGED
153742,Upgrade python-melcloud to 0.1.2,Sander0542,2025-10-05T11:01:15Z,2025-10-05T17:49:22+00:00,3,6.8,True,3,3,3,1888,9,0,9,MERGED
153737,Align Shelly `presencezone` entity to the new API/firmware,bieniu,2025-10-05T10:00:36Z,2025-10-05T12:36:57+00:00,2,2.61,True,3,3,2,2130,1,0,1,MERGED
153732,Fix lamarzocco brewing start time sensor availability,zweckj,2025-10-05T09:09:35Z,2025-10-05T11:04:28+00:00,2,1.91,True,10,3,2,2071,1,0,1,MERGED
153729,Shelly's energy sensors naming paradigm standardization,davidrapan,2025-10-05T08:38:49Z,2025-10-05T20:32:39+00:00,4,11.9,True,149,160,4,3049,10,1,11,MERGED
153727,Upgrade upcloud-api to 2.9.0,scop,2025-10-05T08:29:29Z,2025-10-05T10:58:35+00:00,2,2.48,True,3,3,3,2047,0,0,0,MERGED
153725,Add debouncer to acaia,zweckj,2025-10-05T08:13:49Z,2025-10-05T10:31:45+00:00,2,2.3,True,11,1,1,1995,1,0,1,MERGED
153722,Daikin increase timeout,fredrike,2025-10-05T07:39:40Z,2025-10-05T20:18:31+00:00,6,12.65,True,9,9,5,1968,1,2,3,MERGED
