number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
5418,fix: correctly resolve inherited properties before request runs,nivedin,2025-09-30T06:17:46Z,2025-09-30T12:13:13+00:00,4,5.92,True,24,53,2,154,0,2,2,MERGED
5412,chore: accept single character length name and trim white spaces,nivedin,2025-09-29T06:52:37Z,2025-09-29T07:55:40+00:00,3,1.05,True,32,29,12,120,0,1,1,MERGED
5409,fix: highlight environment on string containing dot,souravagrawal29,2025-09-27T14:14:12Z,2025-09-29T07:59:58+00:00,4,41.76,True,16,11,4,223,0,1,1,MERGED
5403,fix: close modal on clicking overlay for non input modals,anandude,2025-09-25T06:42:46Z,2025-09-26T06:52:11+00:00,4,24.16,True,2,6,4,577,1,0,1,MERGED
5401,refactor: streamline duplicated advanced param type definitions for oauth grant types,anwarulislam,2025-09-24T11:51:35Z,2025-09-25T15:33:14+00:00,3,27.69,True,52,49,7,364,0,1,1,MERGED
5400,chore: security patch for the dependency chain,mirarifhasan,2025-09-24T05:03:20Z,2025-09-24T10:52:31+00:00,4,5.82,True,2358,1568,12,1941,0,0,0,MERGED
5397,fix: ensure npm is installed for Node.js base image,Leon-Luu,2025-09-22T09:16:02Z,2025-09-24T03:43:51+00:00,2,42.46,True,3,3,1,608,0,1,1,MERGED
5394,fix(relay): multiple Set-Cookie headers in resp,CuriousCorrelation,2025-09-21T14:14:26Z,2025-09-23T11:44:29+00:00,5,45.5,True,76,15,8,4123,0,4,4,MERGED
5388,feat(scripting-revamp): introduce `hopp` namespace,jamesgeorge007,2025-09-17T06:55:01Z,2025-09-24T11:39:55+00:00,4,172.75,True,10494,822,76,12424,0,10,10,MERGED
5384,fix: prevent empty entries when dragging items past last row,aakashsbhatia2,2025-09-11T02:52:50Z,2025-09-18T08:43:33+00:00,5,173.85,True,316,0,9,482,1,3,4,MERGED
5383,feature: add alphabetical sort for user and team collections,mirarifhasan,2025-09-10T15:05:01Z,2025-09-23T09:16:23+00:00,14,306.19,True,3476,339,63,2368,0,14,14,MERGED
5381,fix(desktop): window lifecycle for instance switch,CuriousCorrelation,2025-09-09T06:17:06Z,2025-09-22T09:25:53+00:00,5,315.15,True,56,19,3,2534,0,3,3,MERGED
5370,fix(common): correct indentation for nested endpoints in sidebar,jarvis2754,2025-09-02T12:34:39Z,2025-09-08T10:56:55+00:00,5,142.37,True,7,7,2,254,5,1,6,MERGED
5368,fix: add support for data-schema changes after version bump,nivedin,2025-09-02T08:23:38Z,2025-09-02T09:50:03+00:00,2,1.44,True,58,35,3,252,0,1,1,MERGED
5365,fix: `orderIndex` update to scope by collection ID,mirarifhasan,2025-09-01T17:38:28Z,2025-09-02T07:49:53+00:00,3,14.19,True,4,1,1,742,0,0,0,MERGED
5363,feat: remove minimum length restriction on shared workspace names,nivedin,2025-09-01T08:42:42Z,2025-09-02T08:18:29+00:00,3,23.6,True,7,7,4,159,0,0,0,MERGED
5351,fix(desktop): rebase with appload mirror and hash,CuriousCorrelation,2025-08-26T18:43:21Z,2025-08-27T04:22:49+00:00,1,9.66,True,32,63,10,638,0,0,0,MERGED
5350,fix: prevent GQL request failure caused by collection property computation,nivedin,2025-08-26T15:45:08Z,2025-08-27T04:38:12+00:00,8,12.88,True,17,13,2,73,0,3,3,MERGED
5349,chore: security patch for the dependency chain,mirarifhasan,2025-08-25T17:34:49Z,2025-08-26T09:26:48+00:00,3,15.87,True,1080,1381,13,961,0,1,1,MERGED
5348,fix: handle edge cases and bugs in collection variables,nivedin,2025-08-25T11:01:26Z,2025-08-26T11:54:24+00:00,3,24.88,True,610,539,18,497,1,9,10,MERGED
5347,feat: add structured JSON fold indicators in response viewer,jarvis2754,2025-08-23T09:31:52Z,2025-08-26T09:04:25+00:00,3,71.54,True,139,0,1,625,3,3,6,MERGED
5343,chore: align `tailwindcss` to `3.4.16`,CuriousCorrelation,2025-08-21T11:31:02Z,2025-08-21T13:56:23+00:00,1,2.42,True,6,81,3,98,0,0,0,MERGED
5341,feat(desktop): portable phase-2 app loader infra,CuriousCorrelation,2025-08-21T04:29:17Z,2025-08-26T15:18:31+00:00,8,130.82,True,2909,1022,44,17297,0,5,5,MERGED
