number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
41324,`JetMoe` Fix jetmoe after #40132,ArthurZucker,2025-10-03T15:50:29Z,2025-10-04T09:02:13+00:00,1,17.2,True,5,4,2,45,2,0,2,MERGED
41322,Fix lr_scheduler_parsing,SunMarc,2025-10-03T14:28:55Z,2025-10-03T15:51:18+00:00,1,1.37,True,3,3,1,247,1,0,1,MERGED
41310,v4.57.0 Branch,ArthurZucker,2025-10-03T10:05:26Z,2025-10-03T16:29:52+00:00,1,6.41,True,39653,11922,1218,680,4,0,4,MERGED
41309,Fix jamba,Cyrilvallez,2025-10-03T08:37:14Z,2025-10-03T14:54:19+00:00,3,6.28,True,238,332,7,97,2,4,6,MERGED
41303,Fix README.md error when installing from source,TKONIY,2025-10-02T19:02:04Z,2025-10-02T23:08:27+00:00,1,4.11,True,2,2,1,657,1,0,1,MERGED
41295,AutoAWQ tests ,MekkCyber,2025-10-02T15:07:31Z,2025-10-03T13:17:10+00:00,1,22.16,True,25,9,3,41,4,0,4,MERGED
41289,Add modular detector,molbap,2025-10-02T14:08:37Z,2025-10-03T12:11:10+00:00,7,22.04,True,677,1,3,3515,1,4,5,MERGED
41282,Fix - remove deprecated args checking in deepspeed intergrations,nguyen599,2025-10-02T11:08:57Z,2025-10-02T13:59:50+00:00,2,2.85,True,0,5,1,797,2,0,2,MERGED
41280,Use max/min,cyyever,2025-10-02T09:11:19Z,2025-10-02T12:15:27+00:00,1,3.07,True,9,9,8,74,2,0,2,MERGED
41279,Fix unnecessary single-item container checks,cyyever,2025-10-02T09:06:32Z,2025-10-02T12:35:11+00:00,1,3.48,True,79,84,45,47,5,0,5,MERGED
41277,Add processor and intergration test for qwen3vl,JJJYmmm,2025-10-02T07:18:31Z,2025-10-02T12:59:04+00:00,8,5.68,True,623,108,7,288,6,5,11,MERGED
41275,fix asr pipeline ut failures,yao-matrix,2025-10-02T05:08:03Z,2025-10-02T08:32:04+00:00,3,3.4,True,5,4,1,605,0,3,3,MERGED
41270,Biogptlogits,0x-avi,2025-10-01T20:11:16Z,2025-10-02T12:33:48+00:00,1,16.38,True,6,2,2,760,2,0,2,MERGED
41269,Italian translation for README.md,fedtti,2025-10-01T18:18:07Z,2025-10-02T22:59:29+00:00,1,28.69,True,353,0,17,161,2,0,2,MERGED
41267,Remove SageMakerTrainer,cyyever,2025-10-01T16:09:31Z,2025-10-02T09:16:32+00:00,4,17.12,True,8,200,8,48,3,1,4,MERGED
41266,docs: update bitsandbytes platform support,matthewdouglas,2025-10-01T16:06:11Z,2025-10-01T18:27:20+00:00,2,2.35,True,19,17,3,913,3,0,3,MERGED
41264,Use regex defailed flags,cyyever,2025-10-01T15:58:53Z,2025-10-02T08:34:09+00:00,1,16.59,True,15,15,3,89,2,0,2,MERGED
41263,Remove some previous team members from allow list of triggering Github Actions,ydshieh,2025-10-01T15:54:14Z,2025-10-02T14:32:29+00:00,1,22.64,True,2,3,3,47,1,0,1,MERGED
41262,add peft team members to issue/pr template,ydshieh,2025-10-01T15:43:48Z,2025-10-01T17:26:59+00:00,1,1.72,True,2,0,2,36,1,1,2,MERGED
41261,Remove `test_initialization`,Cyrilvallez,2025-10-01T15:43:26Z,2025-10-02T13:23:43+00:00,1,21.67,True,53,3199,136,631,4,0,4,MERGED
41259,Unify is_torchvision_v2_available with is_torchvision_available,cyyever,2025-10-01T15:25:44Z,2025-10-02T11:56:37+00:00,1,20.51,True,92,458,63,80,2,0,2,MERGED
41258, Fix pylint generator warnings,cyyever,2025-10-01T15:20:17Z,2025-10-02T12:35:42+00:00,1,21.26,True,44,48,31,41,5,0,5,MERGED
41255,fix async client for transformers chat,SunMarc,2025-10-01T15:00:30Z,2025-10-02T11:23:37+00:00,2,20.39,True,38,40,1,2263,1,0,1,MERGED
41252,FIX: Bug in PEFT integration delete_adapter method,BenjaminBossan,2025-10-01T12:50:00Z,2025-10-02T16:36:57+00:00,2,27.78,True,110,58,2,1522,2,2,4,MERGED
41249,[`Flex Attn`] Fix lse x attention sinks logic  ,vasqu,2025-10-01T11:07:50Z,2025-10-02T15:49:40+00:00,2,28.7,True,3,3,1,170,4,0,4,MERGED
41243,Resolve remote custom module path warnings,XuehaiPan,2025-10-01T08:44:09Z,2025-10-01T15:55:43+00:00,1,7.19,True,1,1,1,712,3,0,3,MERGED
