number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
3313,build(deps-dev): bump org.htmlunit:htmlunit from 4.7.0 to 4.15.0,dependabot,2025-08-19T08:37:44Z,2025-09-02T12:49:30+00:00,1,340.2,False,1,1,1,3625,3,0,3,CLOSED
3312,build(deps-dev): bump io.projectreactor:reactor-test from 3.8.0-M1 to 3.8.0-M6,dependabot,2025-08-19T07:55:31Z,2025-09-15T22:03:24+00:00,1,662.13,False,1,1,1,3876,3,0,3,CLOSED
3311,build(deps): bump org.springframework:spring-context from 6.2.5 to 6.2.10,dependabot,2025-08-19T07:46:01Z,2025-09-15T22:02:50+00:00,1,662.28,False,1,1,1,4299,3,0,3,CLOSED
3310,build(deps-dev): bump io.projectreactor:reactor-test from 3.8.0-M1 to 3.8.0-M5,dependabot,2025-08-05T05:50:14Z,2025-08-19T07:55:33+00:00,1,338.09,False,1,1,1,3908,3,0,3,CLOSED
3309,build(deps): bump org.springframework:spring-context from 6.2.5 to 6.2.9,dependabot,2025-08-05T05:41:13Z,2025-08-19T07:46:04+00:00,1,338.08,False,1,1,1,4530,3,0,3,CLOSED
3308,build(deps-dev): bump org.htmlunit:htmlunit from 4.7.0 to 4.14.0,dependabot,2025-08-05T05:20:34Z,2025-08-19T08:37:47+00:00,1,339.29,False,1,1,1,4312,3,0,3,CLOSED
3300,feat: add factory enum,huunghia98er,2025-07-08T03:26:41Z,2025-07-18T09:59:57+00:00,7,246.55,False,526,0,13,543,3,2,5,CLOSED
3297,build(deps-dev): bump io.projectreactor:reactor-test from 3.8.0-M1 to 3.8.0-M4,dependabot,2025-06-17T00:40:33Z,2025-08-05T05:50:16+00:00,2,1181.16,False,1,1,1,3545,3,0,3,CLOSED
3296,build(deps): bump org.springframework:spring-context from 6.2.5 to 6.2.8,dependabot,2025-06-17T00:29:13Z,2025-08-05T05:41:16+00:00,2,1181.2,False,1,1,1,4861,3,0,3,CLOSED
3295,build(deps-dev): bump org.htmlunit:htmlunit from 4.7.0 to 4.13.0,dependabot,2025-06-09T22:23:05Z,2025-08-05T05:20:37+00:00,2,1350.96,False,1,1,1,4304,3,0,3,CLOSED
3285,build(deps): bump org.springframework:spring-context from 6.2.5 to 6.2.7,dependabot,2025-05-19T22:56:01Z,2025-06-17T00:29:15+00:00,1,673.55,False,1,1,1,4843,3,0,3,CLOSED
3284,build(deps-dev): bump io.projectreactor:reactor-test from 3.8.0-M1 to 3.8.0-M3,dependabot,2025-05-19T22:55:32Z,2025-06-17T00:40:35+00:00,1,673.75,False,1,1,1,3082,3,0,3,CLOSED
3283,build(deps-dev): bump org.htmlunit:htmlunit from 4.7.0 to 4.12.0,dependabot,2025-05-19T22:55:29Z,2025-06-09T22:23:07+00:00,2,503.46,False,1,1,1,4297,3,0,3,CLOSED
3277,build(deps-dev): bump org.htmlunit:htmlunit from 4.7.0 to 4.11.1,dependabot,2025-05-05T23:08:08Z,2025-05-19T22:55:31+00:00,2,335.79,False,1,1,1,3763,3,0,3,CLOSED
3276,build(deps): bump org.springframework:spring-context from 6.2.5 to 6.2.6,dependabot,2025-05-05T23:07:16Z,2025-05-19T22:56:03+00:00,2,335.81,False,1,1,1,5182,3,0,3,CLOSED
3275,Implement DAO Factory pattern [Closed],letdtcode,2025-05-04T12:34:26Z,2025-05-17T09:22:44+00:00,14,308.81,False,2225,0,19,866,3,4,7,CLOSED
3273,chore: adding missing license,e5LA,2025-05-02T17:55:24Z,2025-05-17T05:53:26+00:00,2,347.97,True,24,0,1,142,4,0,4,MERGED
3271,Implement Thread-Pool Executor pattern,yybmion,2025-04-29T19:46:24Z,2025-05-15T18:53:38+00:00,7,383.12,True,1041,0,13,737,4,1,5,MERGED
3270,build(deps): bump com.fasterxml.jackson.core:jackson-core from 2.18.2 to 2.19.0,dependabot,2025-04-28T23:42:12Z,2025-05-01T07:02:39+00:00,1,55.34,True,2,2,2,2014,2,0,2,MERGED
3268,build(deps): bump com.mycila:license-maven-plugin from 4.6 to 5.0.0,dependabot,2025-04-28T23:36:05Z,2025-05-01T07:01:54+00:00,1,55.43,True,1,1,1,7748,2,0,2,MERGED
3262,build(deps): bump org.springframework:spring-web from 7.0.0-M3 to 7.0.0-M4,dependabot,2025-04-21T22:16:00Z,2025-04-22T18:50:26+00:00,1,20.57,True,1,1,1,4122,2,0,2,MERGED
3261,build(deps): bump org.sonarsource.scanner.maven:sonar-maven-plugin from 5.0.0.4389 to 5.1.0.4751,dependabot,2025-04-21T22:15:54Z,2025-04-22T18:52:26+00:00,1,20.61,True,1,1,1,3743,2,0,2,MERGED
3260,build(deps-dev): bump io.projectreactor:reactor-test from 3.8.0-M1 to 3.8.0-M2,dependabot,2025-04-21T22:15:49Z,2025-05-19T22:55:34+00:00,1,672.66,False,1,1,1,2636,3,0,3,CLOSED
3258,chore: removed duplicated dependency,e5LA,2025-04-19T16:11:48Z,2025-04-22T18:44:59+00:00,2,74.55,True,0,6,1,84,4,0,4,MERGED
3257,Added a simple analogy for understanding the singleton pattern,itsmegayu,2025-04-18T04:54:02Z,2025-04-22T18:42:36+00:00,1,109.81,False,4,0,1,43,3,0,3,CLOSED
3256,Translate to persian,maziyar-gerami,2025-04-17T11:36:36Z,2025-04-22T18:55:07+00:00,15,127.31,True,643,0,8,364,4,0,4,MERGED
3255,feat: Implement Actor Model pattern with automatic actor ID and communication with loose coupling #3251Actor model,ssrijan-007-sys,2025-04-15T09:16:51Z,2025-04-22T18:29:58+00:00,6,177.22,True,728,0,12,611,5,9,14,MERGED
3254,build(deps): bump com.diffplug.spotless:spotless-maven-plugin from 2.44.3 to 2.44.4,dependabot,2025-04-14T22:33:40Z,2025-04-15T15:10:28+00:00,1,16.61,True,1,1,1,2361,2,0,2,MERGED
3253,build(deps): bump io.micrometer:micrometer-tracing-bridge-brave from 1.4.4 to 1.4.5,dependabot,2025-04-14T22:31:47Z,2025-04-15T15:09:55+00:00,1,16.64,True,1,1,1,2489,2,0,2,MERGED
3252,build(deps): bump org.jacoco:jacoco-maven-plugin from 0.8.12 to 0.8.13,dependabot,2025-04-14T22:30:52Z,2025-04-15T15:09:22+00:00,1,16.64,True,1,1,1,4167,2,0,2,MERGED
3251,Implement Actor Model pattern #3232Actor model,ssrijan-007-sys,2025-04-14T17:17:13Z,2025-04-15T09:11:52+00:00,3,15.91,False,402,0,11,969,2,0,2,CLOSED
3249,Adding backpressure design pattern #3233,sanurah,2025-04-09T21:32:54Z,2025-04-12T05:46:49+00:00,10,56.23,True,663,0,11,110,5,3,8,MERGED
3248,build(deps-dev): bump de.flapdoodle.embed:de.flapdoodle.embed.mongo from 4.18.1 to 4.20.0,dependabot,2025-04-07T23:56:15Z,2025-04-08T17:08:51+00:00,1,17.21,True,1,1,1,2060,2,0,2,MERGED
3247,build(deps): bump org.projectlombok:lombok from 1.18.36 to 1.18.38,dependabot,2025-04-07T23:56:13Z,2025-04-08T17:09:47+00:00,1,17.23,True,2,2,2,2854,2,0,2,MERGED
3246,build(deps): bump org.apache.maven.plugins:maven-compiler-plugin from 3.13.0 to 3.14.0,dependabot,2025-04-07T23:39:23Z,2025-04-08T17:08:06+00:00,1,17.48,True,1,1,1,3768,2,0,2,MERGED
3244,fix: handle awaitTermination result and ensure proper ExecutorService shutdown,2897robo,2025-04-07T04:23:05Z,2025-04-10T16:33:41+00:00,8,84.18,True,14,57,1,1255,9,3,12,MERGED
3243,#2673: Microservice pattern: Polling publisher,quantdevv,2025-04-06T12:40:33Z,2025-05-29T18:34:28+00:00,4,1277.9,False,1248,37,40,953,5,7,12,CLOSED
3241,build(deps): bump junit.version from 5.7.0 to 5.12.1,dependabot,2025-04-01T17:56:47Z,2025-04-21T22:15:45+00:00,2,484.32,False,1,1,1,9659,2,1,3,CLOSED
3240,build(deps): bump com.fasterxml.jackson.core:jackson-databind from 2.17.2 to 2.18.3,dependabot,2025-03-31T22:26:01Z,2025-04-01T17:58:25+00:00,1,19.54,True,2,2,2,1555,2,0,2,MERGED
3239,build(deps-dev): bump org.junit.jupiter:junit-jupiter-migrationsupport from 5.11.4 to 5.12.1,dependabot,2025-03-31T22:25:35Z,2025-04-01T17:56:42+00:00,1,19.52,False,1,1,1,4178,2,0,2,CLOSED
3238,build(deps-dev): bump org.awaitility:awaitility from 4.2.2 to 4.3.0,dependabot,2025-03-31T22:23:12Z,2025-04-01T17:56:54+00:00,1,19.56,True,1,1,1,3217,2,0,2,MERGED
3236,fix: resolve SonarCloud issue in App.java #2865,2897robo,2025-03-31T13:41:35Z,2025-03-31T18:08:18+00:00,3,4.45,True,23,13,1,811,5,0,5,MERGED
3235,Feature/3230 - Clean Architecture,Suchismita-Deb,2025-03-31T06:53:28Z,2025-04-05T06:40:56+00:00,11,119.79,True,1303,3,20,41,7,4,11,MERGED
3223,feat: add publisher-subscriber design pattern (#2898),sanurah,2025-03-29T13:25:50Z,2025-03-30T17:24:16+00:00,16,27.97,True,1003,0,19,75,4,8,12,MERGED
3220,build(deps): bump org.springframework.boot:spring-boot-dependencies from 2.7.5 to 3.4.4,dependabot,2025-03-25T01:34:50Z,2025-03-29T17:35:20+00:00,1,112.01,False,10,10,10,4803,2,0,2,CLOSED
3219,build(deps): bump logback.version from 1.5.6 to 1.5.18,dependabot,2025-03-25T00:49:59Z,2025-03-25T15:33:40+00:00,1,14.73,True,1,1,1,7626,2,0,2,MERGED
3218,build(deps): bump jakarta.persistence:jakarta.persistence-api from 3.1.0 to 3.2.0,dependabot,2025-03-25T00:47:12Z,2025-03-25T15:32:58+00:00,1,14.76,True,1,1,1,3834,2,0,2,MERGED
3215,Add Service Stub Pattern using Sentiment Analysis example,johnklint81,2025-03-22T21:10:31Z,2025-03-23T05:37:35+00:00,4,8.45,True,377,0,10,365,4,0,4,MERGED
3214,German Translation for abstract-document and improved Main README,DenizAltunkapan,2025-03-22T19:23:24Z,2025-03-23T05:21:24+00:00,2,9.97,True,245,40,3,232,4,0,4,MERGED
3213,Java 21 update,iluwatar,2025-03-20T18:28:04Z,2025-03-25T16:28:33+00:00,3,118.01,True,108,151,9,76,1,2,3,MERGED
3207,build(deps): bump org.junit.jupiter:junit-jupiter-engine from 5.7.0 to 5.12.1,dependabot,2025-03-17T22:42:56Z,2025-04-01T17:56:50+00:00,1,355.23,False,1,1,1,4157,2,0,2,CLOSED
3206,docs: Improve Anti-Corruption-Layer README(#3200),Duartegdm,2025-03-14T22:39:01Z,2025-03-18T08:07:33+00:00,2,81.48,True,1,1,1,250,4,1,5,MERGED
3205,build(deps): bump org.projectlombok:lombok from 1.18.24 to 1.18.36,dependabot,2025-03-10T22:05:34Z,2025-03-18T07:44:55+00:00,1,177.66,True,1,1,1,7757,2,0,2,MERGED
3204,Added and translated map-reduce README.md to Spanish.,Francisco-G-P,2025-03-10T20:08:49Z,2025-03-18T07:51:41+00:00,2,179.71,True,256,0,1,430,5,0,5,MERGED
