number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
22596,fix: respect storage indicator setting,shenlong-tanwen,2025-10-02T22:07:01Z,2025-10-03T14:07:16+00:00,1,16.0,True,8,13,3,223,0,0,0,MERGED
22587,chore: post release tasks,alextran1502,2025-10-02T15:39:53Z,2025-10-02T20:22:14+00:00,1,4.71,True,11,11,2,0,0,0,0,MERGED
22585,fix: show only owned assets in places and map,shenlong-tanwen,2025-10-02T13:53:30Z,2025-10-02T15:41:14+00:00,1,1.8,True,44,19,6,299,0,0,0,MERGED
22584,fix: remove new timeline version check,shenlong-tanwen,2025-10-02T13:39:16Z,2025-10-02T15:38:55+00:00,1,1.99,True,1,4,1,12,0,0,0,MERGED
22583,chore: clean auth-user entity on reset,shenlong-tanwen,2025-10-02T13:23:55Z,2025-10-03T03:48:17+00:00,1,14.41,True,1,0,1,184,0,0,0,MERGED
22578,fix: do not delete asset on share,shenlong-tanwen,2025-10-02T09:20:14Z,2025-10-02T15:34:59+00:00,2,6.25,True,8,2,1,24,0,0,0,MERGED
22562,update link to documentation to https://docs.immich.app,Crazy3lf,2025-10-02T04:11:49Z,2025-10-02T15:42:05+00:00,1,11.5,False,19,19,19,961,3,0,3,CLOSED
22554,fix(docs): one-click doc fixes,kennyfuto,2025-10-01T22:35:43Z,2025-10-02T16:26:59+00:00,1,17.85,True,3,3,1,901,0,0,0,MERGED
22529,fix: missing email button padding,Funk66,2025-10-01T07:55:26Z,2025-10-01T14:03:22+00:00,1,6.13,True,5,5,2,1212,0,0,0,MERGED
22527,fix: improve sync backup error indicator  ,shenlong-tanwen,2025-10-01T07:05:56Z,2025-10-03T13:36:45+00:00,1,54.51,True,81,58,8,471,0,0,0,MERGED
22526,fix(server): Revert update libmimalloc path (#22345),alextran1502,2025-10-01T06:25:00Z,2025-10-01T13:58:24+00:00,5,7.56,True,7,6,1,12,1,2,3,MERGED
22518,fix: do not run multiple engines on cold startup,shenlong-tanwen,2025-10-01T01:00:57Z,2025-10-03T14:35:56+00:00,2,61.58,True,46,35,2,763,0,0,0,MERGED
22496,chore(deps): update node.js to v22.20.0,renovate,2025-09-30T04:48:55Z,2025-10-02T09:17:41+00:00,1,52.48,True,14,14,14,968,0,0,0,MERGED
22494,chore(deps): update grafana/grafana docker tag to v12.2.0,renovate,2025-09-30T00:28:17Z,2025-10-02T16:24:48+00:00,1,63.94,False,1,1,1,12904,1,0,1,CLOSED
22492,fix: show un-hashed remainder assets,shenlong-tanwen,2025-09-29T23:07:02Z,2025-09-30T13:19:03+00:00,1,14.2,True,6,3,2,372,0,0,0,MERGED
22487,chore: post release tasks,alextran1502,2025-09-29T19:05:45Z,2025-09-30T13:19:25+00:00,1,18.23,True,11,11,2,0,0,0,0,MERGED
22486,chore(web): update translations,weblate,2025-09-29T19:02:13Z,2025-10-03T15:10:09+00:00,3,92.13,True,2600,435,31,86,0,0,0,MERGED
22472,chore: show error message in upload details route,shenlong-tanwen,2025-09-29T06:10:27Z,2025-09-29T17:31:09+00:00,1,11.35,True,47,7,3,80,2,0,2,MERGED
22454,feat: show motion photo icon on mobile timeline tile,bwees,2025-09-28T00:08:13Z,2025-09-28T02:27:34+00:00,2,2.32,True,33,15,1,0,0,1,1,MERGED
22453,chore: show download button for remote only assets,shenlong-tanwen,2025-09-27T23:17:17Z,2025-09-28T02:28:07+00:00,2,3.18,True,1,1,1,0,0,0,0,MERGED
22452,fix: prefer remote images in new timeline,shenlong-tanwen,2025-09-27T21:59:32Z,2025-09-28T02:29:29+00:00,3,4.5,True,5,27,2,0,0,1,1,MERGED
22428,chore: replace immich.app/docs with docs.immich.app globally,gablilli,2025-09-26T20:23:54Z,2025-10-02T15:42:15+00:00,1,139.31,True,122,122,36,1281,5,0,5,MERGED
22405,fix: shrink age view to fit and not overflow,bwees,2025-09-26T02:47:11Z,2025-10-02T20:19:14+00:00,2,161.53,True,9,6,1,942,0,0,0,MERGED
22390,fix(mobile): scrubbing mode on scroll to date event,mertalev,2025-09-25T20:38:55Z,2025-09-26T00:20:43+00:00,1,3.7,True,8,5,1,186,0,0,0,MERGED
22372,fix(pump-version): fix immich-ml pyproject.toml path,aaronliu0130,2025-09-25T01:53:58Z,2025-09-25T07:29:10+00:00,1,5.59,True,2,2,2,989,1,0,1,MERGED
