number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
10391,Doc: Fixed a typo,writinwaters,2025-09-30T09:41:14Z,2025-09-30T10:57:34+00:00,1,1.27,True,1,1,1,70,0,0,0,MERGED
10370,Fix: Added read-only mode support and optimized navigation logic #9869,dcc123456,2025-09-30T01:43:23Z,2025-09-30T04:00:29+00:00,1,2.29,True,468,253,27,716,0,0,0,MERGED
10356,Feat: add support for international Dashscope service,yongtenglei,2025-09-29T03:59:29Z,2025-09-29T06:49:45+00:00,1,2.84,True,59,15,12,164,0,0,0,MERGED
10346,Fix: Interoperate with the pipeline rerun and unbindTask interfaces. #9869,dcc123456,2025-09-28T10:25:08Z,2025-09-28T11:32:19+00:00,1,1.12,True,511,239,17,175,0,0,0,MERGED
10345,Fix highlight with infinity,yuzhichang,2025-09-28T09:50:20Z,2025-09-30T11:15:01+00:00,2,49.41,True,94,98,5,122,0,1,1,MERGED
10342,Feat/admin drop user,Lynn-Inf,2025-09-28T08:00:04Z,2025-09-29T02:16:14+00:00,7,18.27,True,451,16,23,156,0,5,5,MERGED
10317,Fix: floating widget match style with original one,adagora,2025-09-26T11:30:33Z,2025-09-28T05:58:11+00:00,1,42.46,True,425,126,4,367,0,0,0,MERGED
10315,Fix: Improved knowledge base configuration and related logic #9869,dcc123456,2025-09-26T10:00:47Z,2025-09-26T11:09:11+00:00,1,1.14,True,374,231,19,457,0,0,0,MERGED
10298,"FIX: Rename the CometEmbed and CometSeq2txt classes to CometAPIEmbed and CometAPISeq2txt, and correct supported_models.mdx.",TensorNull,2025-09-25T15:21:32Z,2025-09-26T02:50:56+00:00,1,11.49,True,3,3,3,219,0,0,0,MERGED
10268, Fix: Optimized the timeline component and parser editing features #9869,dcc123456,2025-09-24T09:31:05Z,2025-09-24T11:58:30+00:00,1,2.46,True,644,263,21,744,0,0,0,MERGED
10251,UI: Update Russian language ru.ts,mcoder6425,2025-09-24T00:11:06Z,2025-09-24T04:48:13+00:00,1,4.62,True,226,0,1,239,0,0,0,MERGED
10250,Fix: Russian language config.ts,rjohny55,2025-09-23T18:46:53Z,2025-09-24T04:48:41+00:00,1,10.03,True,1,1,1,247,0,0,0,MERGED
10219,add GPT-5 Responses API path with correct streaming events,lokudadalla,2025-09-22T15:29:48Z,2025-09-23T07:33:26+00:00,1,16.06,False,867,197,2,385,3,0,3,CLOSED
10207,Feat: add support for pipeline logs operation,yongtenglei,2025-09-22T08:35:00Z,2025-09-23T01:46:31+00:00,1,17.19,True,340,17,8,148,0,8,8,MERGED
10206,Fix: pipeline debug...,KevinHuSh,2025-09-22T08:32:40Z,2025-09-24T03:12:08+00:00,1,42.66,True,71,162,12,160,0,6,6,MERGED
10187,Chat Widget,melmathari,2025-09-21T14:15:41Z,2025-09-22T03:03:33+00:00,1,12.8,True,975,6,6,191,1,0,1,MERGED
10186,Feat: add admin CLI and admin service,JinHai-CN,2025-09-21T06:26:58Z,2025-09-22T02:37:49+00:00,1,20.18,True,1210,6,15,182,1,0,1,MERGED
10184,Fix: enable scrolling at chat setting,atsushi729,2025-09-20T06:29:05Z,2025-09-22T02:37:34+00:00,1,44.14,True,7,1,2,1700,0,0,0,MERGED
10171,The retrieval component needs to support returning JSON data(#10170),wilmerxu,2025-09-19T06:21:35Z,2025-09-22T09:28:29+00:00,1,75.11,True,23,0,5,108,1,0,1,MERGED
10162,Docs: Input and output variables defined in the Input and Output sections  must also be implemented in your code.,writinwaters,2025-09-18T10:18:24Z,2025-09-19T03:35:58+00:00,1,17.29,True,14,1,2,77,0,0,0,MERGED
10150,Support server health check by http://localhost:<port>/v1/system/healthz,Magicbook1108,2025-09-18T03:59:16Z,2025-09-19T03:11:07+00:00,2,23.2,True,153,122,5,158,0,1,1,MERGED
10141,Feat: Keep connection status during generating agent by drag and drop …,FatMii,2025-09-17T15:35:01Z,2025-09-29T02:28:19+00:00,1,274.89,True,560,62,8,435,11,0,11,MERGED
10137,Fix: embedding model failure in CometAPI,buua436,2025-09-17T10:04:51Z,2025-09-18T06:49:47+00:00,1,20.75,True,8,4,1,333,0,0,0,MERGED
10132,feat(dataset): Added data pipeline configuration functionality #9869,dcc123456,2025-09-17T08:32:30Z,2025-09-18T01:31:57+00:00,1,16.99,True,397,134,25,470,0,1,1,MERGED
10126,Fixed the issue where database connections were interrupted under high concurrency,lemsn,2025-09-17T04:47:25Z,2025-09-25T09:03:44+00:00,3,196.27,True,66,17,2,183,0,1,1,MERGED
10091,Build(deps): Bump axios from 1.9.0 to 1.12.0 in /sandbox/sandbox_base_image/nodejs,dependabot,2025-09-13T15:02:24Z,2025-09-18T01:41:25+00:00,1,106.65,True,27,26,1,4983,0,0,0,MERGED
10067,Docs: Removed `/v1` from Ollama base URLs,writinwaters,2025-09-12T02:39:36Z,2025-09-17T05:48:30+00:00,1,123.15,True,2,2,2,70,0,0,0,MERGED
10066,Fix(dataset): Optimized the dataset configuration page UI #9869,dcc123456,2025-09-12T02:26:23Z,2025-09-12T08:01:38+00:00,1,5.59,True,255,256,15,447,0,0,0,MERGED
10052,fix: Displays the dataset creation and settings page #9869,dcc123456,2025-09-11T05:29:40Z,2025-09-11T09:25:07+00:00,1,3.92,True,8,19,3,293,0,0,0,MERGED
10051,Feature/20250911 agent component config,wilmerxu,2025-09-11T04:59:32Z,2025-09-11T07:29:32+00:00,1,2.5,False,0,0,0,380,0,1,1,CLOSED
10045,Fix: Hide dataflow related functions #9869,dcc123456,2025-09-11T02:48:32Z,2025-09-11T04:02:26+00:00,1,1.23,True,130,33,3,143,0,0,0,MERGED
10043,Docs: How to connect to an MCP server as a client,writinwaters,2025-09-11T01:56:01Z,2025-09-11T11:02:50+00:00,3,9.11,True,109,11,4,76,0,5,5,MERGED
10040,"feat: add multiple docker tags (latest, latest_full, latest_slim) to …",adrianweidig,2025-09-10T12:58:19Z,2025-09-13T13:44:53+00:00,2,72.78,True,6,2,1,926,1,1,2,MERGED
10006,Docs: v0.20.5 - Added Framework prompt block documentation for the Agent component,writinwaters,2025-09-09T13:31:04Z,2025-09-10T02:46:22+00:00,3,13.26,True,63,4,1,70,0,5,5,MERGED
9993,Fix: Optimized the table of contents style and homepage card layout #3221,dcc123456,2025-09-09T07:05:30Z,2025-09-09T10:50:44+00:00,1,3.75,True,6,7,4,440,0,0,0,MERGED
9978,"Fix: Update the pagination prompt text in zh.ts, changing ""page"" to ""item/page"" #3221",dcc123456,2025-09-08T06:03:31Z,2025-09-08T09:14:23+00:00,1,3.18,True,3,7,3,180,0,0,0,MERGED
9968,"Fix: In ragflow/rag/app /naive.py, if there are multiple images in one line, the other images will be lost",Woody-Hu,2025-09-08T00:58:26Z,2025-09-11T03:08:31+00:00,1,74.17,True,36,30,1,106,4,0,4,MERGED
9932,Feat: add TokenPony model provider,zhileihuang,2025-09-05T06:16:08Z,2025-09-11T09:25:31+00:00,2,147.16,True,83,0,5,64,1,0,1,MERGED
9924,fix: Optimize internationalization configuration #3221,dcc123456,2025-09-04T10:43:03Z,2025-09-05T01:57:15+00:00,1,15.24,True,175,51,36,327,0,0,0,MERGED
9913,Fix kb isolation infinity conn,SyedShahmeerAli12,2025-09-04T07:18:22Z,2025-09-04T13:14:56+00:00,1,5.94,True,1,1,1,467,0,0,0,MERGED
9908,"before docker-compose up, first down it,and cleans.",zhanluxianshen,2025-09-04T05:43:11Z,2025-09-04T10:47:27+00:00,1,5.07,True,1,0,1,815,0,0,0,MERGED
9877,Feat: Add metadata filtering function for /api/v1/retrieval,huang-aoqin,2025-09-02T09:45:59Z,2025-09-05T03:12:15+00:00,1,65.44,True,22,12,4,357,3,0,3,MERGED
9852,Fix: Optimize page layout and style #3221,dcc123456,2025-09-01T08:01:36Z,2025-09-01T10:52:32+00:00,1,2.85,True,28,16,9,480,0,0,0,MERGED
9830,Fix: Optimize styling and add a search settings loading state #3221,dcc123456,2025-08-29T09:58:04Z,2025-09-01T03:45:49+00:00,1,65.8,True,22,8,3,490,0,0,0,MERGED
9812,Fix JSON serialization error for ModelMetaclass objects,SaurabhLingam,2025-08-28T16:01:16Z,2025-09-02T08:17:34+00:00,1,112.27,True,29,1,1,806,2,0,2,MERGED
9787,Fix: Optimized variable node display and Agent template multi-language support #3221,dcc123456,2025-08-28T06:21:27Z,2025-08-28T07:43:25+00:00,1,1.37,True,135,51,9,538,0,0,0,MERGED
9772,Add Russian language Update app.tsx,rjohny55,2025-08-27T18:55:08Z,2025-08-28T03:42:42+00:00,1,8.79,True,2,0,1,317,0,0,0,MERGED
