number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
1692,Add Anytype,RedSnoww12,2025-09-20T17:18:19Z,2025-09-20T18:49:19+00:00,2,1.52,True,1,0,1,895,0,1,1,MERGED
1674,add awesome link for Standard Notes.,jonhadfield,2025-08-15T11:02:27Z,2025-08-15T16:44:30+00:00,1,5.7,True,1,1,1,1237,0,1,1,MERGED
1667,Add DockDoor,ejbills,2025-07-10T23:36:21Z,2025-07-11T07:39:40+00:00,2,8.06,True,1,0,1,1148,0,0,0,MERGED
1665,Add KubeSwitch,razvanmacovei,2025-07-07T14:06:41Z,2025-07-07T16:08:18+00:00,2,2.03,True,1,0,1,1227,0,0,0,MERGED
1664,Add SimTool to Developer Utilities,azizuysal,2025-07-05T22:07:56Z,2025-07-06T16:06:42+00:00,4,17.98,True,24,22,3,1164,0,1,1,MERGED
1660,Add Windsurf & fix invalid link,Qifull,2025-06-26T02:03:53Z,2025-06-26T05:16:40+00:00,1,3.21,True,4,2,2,0,0,0,0,MERGED
1652,"Add ""Saga Reader"" to awesome-mac",sopaco,2025-05-31T12:05:38Z,2025-06-20T13:02:31+00:00,2,480.95,True,1,0,1,2394,0,0,0,MERGED
1649,Add Free Download Manager,aman-senpai,2025-05-29T17:38:01Z,2025-05-30T03:15:17+00:00,2,9.62,True,1,0,1,754,0,0,0,MERGED
1607,Add TimeScribe,WINBIGFOX,2025-03-15T14:44:19Z,2025-03-16T08:27:16+00:00,1,17.72,True,1,0,1,1075,0,0,0,MERGED
1560,Add OpenRecall & add Rem & add Rewind & add Tradingview,Qifull,2024-11-25T17:38:27Z,2024-12-02T09:10:48+00:00,2,159.54,True,9,1,2,0,1,1,2,MERGED
1558,Add Haystack Editor & add Jane Reader & fix typos,Qifull,2024-11-23T20:42:46Z,2024-11-24T14:45:57+00:00,3,18.05,True,9,6,2,0,0,2,2,MERGED
1553,Add Typora to editor-plugin list & fix Ryujinx in CN list,Qifull,2024-11-11T23:09:57Z,2024-11-12T02:07:58+00:00,1,2.97,True,20,16,4,0,0,0,0,MERGED
1545,Add Bluesky & fix typos,Qifull,2024-10-27T03:01:00Z,2024-10-27T21:06:02+00:00,4,18.08,False,10,8,2,0,0,1,1,CLOSED
1538,Add SketchyBar & fix typos & remove Google Assistant,Qifull,2024-10-21T21:35:55Z,2024-10-22T06:03:13+00:00,1,8.46,True,5,4,2,0,1,0,1,MERGED
1537,Add Testpiler,furnacecreek,2024-10-21T13:09:48Z,2025-07-23T15:40:17+00:00,2,6602.51,True,1,0,1,1065,0,0,0,MERGED
1531,Add Wallpaper Player & Copi to CN list & add Mastodon & Matrix & Misskey to EN list & fix typos,Qifull,2024-10-18T22:16:29Z,2024-10-19T21:10:45+00:00,2,22.9,True,11,6,2,0,0,1,1,MERGED
1511,Remove 8 apps & add 12 apps to Chinese list & fix bugs,Qifull,2024-10-08T22:25:38Z,2024-10-09T12:14:30+00:00,12,13.81,True,40,38,1,278,0,6,6,MERGED
1496,fix: update the erroneous link for RerouteMe,yixi8524,2024-09-25T09:49:40Z,2024-09-26T09:36:41+00:00,2,23.78,True,1,1,1,1347,0,1,1,MERGED
1487,Add_cursor_and_pap.er,ZhouQiang19980220,2024-09-23T09:53:18Z,2024-09-24T01:38:47+00:00,2,15.76,False,2,1,1,35,1,1,2,CLOSED
1462,add 123云盘，并将百度云改成百度网盘,Qifull,2024-08-14T12:25:16Z,2024-08-15T15:26:53+00:00,1,27.03,True,7,3,1,1227,0,0,0,MERGED
1458,Add the JSON Schema CLI,jviotti,2024-08-02T19:57:40Z,2025-03-05T01:32:03+00:00,2,5141.57,True,1,0,1,1016,2,0,2,MERGED
1453,Add Magic Switch,hristo2612,2024-07-22T20:03:34Z,2025-03-29T17:48:30+00:00,1,5997.75,True,1,0,1,775,0,0,0,MERGED
1445,Add CodeMenu,wiktorwojcik112,2024-06-30T13:26:38Z,2024-06-30T15:07:13+00:00,1,1.68,True,1,0,1,1619,0,0,0,MERGED
1433,Add One Task,sindresorhus,2024-05-31T17:42:51Z,2024-05-31T20:07:19+00:00,2,2.41,True,1,0,1,608,0,0,0,MERGED
1431,MakeItHome,cekkr,2024-05-28T12:15:57Z,2024-05-28T14:26:05+00:00,1,2.17,True,1,0,1,1764,1,0,1,MERGED
1422,Add Dropshelf and Dropover,xiaoheiwowo,2024-04-28T10:38:48Z,2024-05-28T16:16:11+00:00,1,725.62,True,5,0,2,1125,0,0,0,MERGED
1413,Added Ice,owencmcgrath,2024-04-10T02:53:07Z,2024-04-10T15:18:10+00:00,2,12.42,True,2,1,1,1222,1,1,2,MERGED
1398,Add GitMind,cy920820,2024-03-18T06:47:17Z,2024-03-18T12:14:42+00:00,2,5.46,True,1,0,1,1227,0,1,1,MERGED
1388,Add Neovim to editors.,theherk,2024-02-20T15:09:41Z,2024-10-12T14:16:02+00:00,1,5639.11,False,1,0,1,977,3,0,3,CLOSED
1374,Update README.md,mkk,2024-01-12T09:15:44Z,2025-03-17T09:17:09+00:00,2,10320.02,False,1,0,1,566,1,0,1,CLOSED
1368,Smit309 #1239 Add Capacities,smit309,2024-01-07T01:21:29Z,2024-01-20T20:09:40+00:00,6,330.8,False,4,0,1,1227,1,1,2,CLOSED
1367,Smit309 #1242 Add RapidAPI,smit309,2024-01-06T17:47:06Z,2024-04-07T16:57:21+00:00,2,2207.17,False,3,0,1,1227,0,1,1,CLOSED
1366,Smit309 #1226 Add Unsplash Wallpapers,smit309,2024-01-06T17:40:57Z,2025-04-22T03:47:45+00:00,3,11314.11,False,2,0,1,1227,0,1,1,CLOSED
1364,Added FunKey,arimajain,2024-01-05T15:10:05Z,2024-04-02T03:22:36+00:00,1,2100.21,True,1,0,1,1227,4,0,4,MERGED
1357,Adding trax,nbonamy,2023-12-30T14:56:35Z,2023-12-31T14:11:06+00:00,2,23.24,True,1,0,1,1235,0,1,1,MERGED
1350,#1318 fixed homebrew Bug Report,asrar211,2023-12-29T14:34:58Z,2023-12-30T00:36:15+00:00,1,10.02,False,1,0,1,1227,1,1,2,CLOSED
1334,Add fzf,Ian729,2023-11-09T12:22:53Z,2023-11-16T03:04:55+00:00,1,158.7,False,1,0,1,1350,0,1,1,CLOSED
1331,Added Studio 3T,aalfath,2023-11-06T13:32:48Z,2023-11-10T12:03:29+00:00,4,94.51,True,1,0,1,1095,0,1,1,MERGED
1330,Add Canary Mail,antonengelhardt,2023-11-06T10:44:29Z,2023-11-07T00:50:05+00:00,2,14.09,True,1,0,1,1158,0,1,1,MERGED
1310,Add Saber ,ColoursofOSINT,2023-09-20T18:05:22Z,2023-09-21T00:16:55+00:00,1,6.19,True,2,1,1,1250,0,0,0,MERGED
1305,Add Rust Rover IDE in JetBrains section,lynnmeanslight,2023-09-15T09:02:37Z,2023-09-15T12:57:48+00:00,2,3.92,True,1,0,1,1227,0,1,1,MERGED
1251,Add Jellyfin.,yslin1995,2023-05-16T11:47:49Z,2023-05-17T09:39:19+00:00,7,21.86,True,2,1,1,695,0,1,1,MERGED
1250,Update README.md,yslin1995,2023-05-16T09:55:41Z,2023-05-16T11:41:43+00:00,1,1.77,False,3,1,1,809,0,1,1,CLOSED
1144,Add Elytra.app,dezinezync,2022-11-25T04:10:34Z,2022-11-25T05:45:57+00:00,1,1.59,True,2,0,2,1142,0,0,0,MERGED
1136,Update Reeder 5 icon tag,wzieciak,2022-11-15T15:02:41Z,2022-11-18T14:35:30+00:00,2,71.55,True,1,1,1,855,0,1,1,MERGED
1081,Add FreeTube,unknown,2022-07-18T17:31:59Z,2022-07-19T03:39:40+00:00,3,10.13,True,2,1,1,881,0,1,1,MERGED
