number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
4951,Wrap long lines in comments in Config.md,stefanhaller,2025-10-09T17:33:42Z,2025-10-10T19:27:56+00:00,8,25.9,True,154,91,4,186,2,2,4,MERGED
4948,fix(nix): use nixos-unstable,doprz,2025-10-08T16:39:35Z,2025-10-09T06:43:26+00:00,1,14.06,True,14,14,2,462,3,0,3,MERGED
4943,"Show ""Log (x of y)"" in the title bar when there is more than one branch log command",stefanhaller,2025-10-07T15:30:31Z,2025-10-10T10:51:54+00:00,4,67.36,True,20,4,3,16,1,1,2,MERGED
4929,Give better visual feedback when checking out the previous branch,stefanhaller,2025-10-02T16:32:45Z,2025-10-05T08:04:06+00:00,1,63.52,True,26,1,3,929,3,0,3,MERGED
4889,Add merge menu with conflict resolver,lmnek,2025-09-12T14:31:57Z,2025-10-09T06:51:04+00:00,4,640.32,True,556,44,26,1437,10,7,17,MERGED
4844,Update go to 1.25,kyu08,2025-08-23T03:26:45Z,2025-10-05T08:21:49+00:00,3,1036.92,True,13,13,6,709,6,1,7,MERGED
4832,Add a user config for using git's external diff command for paging,stefanhaller,2025-08-18T07:31:07Z,2025-08-20T08:42:37+00:00,2,49.19,True,52,5,10,584,10,1,11,MERGED
4830,Run label check workflow only on label events and open pr event,kyu08,2025-08-16T08:14:58Z,2025-08-18T05:44:43+00:00,3,45.5,True,15,9,2,1049,0,2,2,MERGED
4829,Enhance PR/Issue templates readability,kyu08,2025-08-16T07:18:37Z,2025-08-18T05:39:53+00:00,3,46.35,True,21,19,4,1063,5,3,8,MERGED
4826,feat(nix): add comprehensive Nix flake,doprz,2025-08-15T02:54:47Z,2025-10-08T13:08:45+00:00,37,1306.23,True,357,5,7,915,23,23,46,MERGED
