number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
882,Typo: fix Github to GitHub,morihaya,2024-03-17T08:44:01Z,2024-09-01T07:20:06+00:00,3,4030.6,False,9,9,8,63,1,2,3,CLOSED
847,Fix typo in README-zh.md,BreakingLead,2023-02-15T09:00:06Z,2023-07-12T21:40:23+00:00,1,3540.67,True,1,1,1,0,1,0,1,MERGED
824,fr: Synchronize the translation,ericguirbal,2022-12-30T17:41:09Z,2023-03-07T19:34:51+00:00,2,1609.89,True,3,3,1,0,1,0,1,MERGED
778,Fix README-zh.md typo,yees7,2022-06-18T12:25:42Z,2022-07-16T01:06:16+00:00,3,660.68,True,1,1,1,0,0,0,0,MERGED
747,test file for new branch,NathanKocurek,2021-10-15T19:53:19Z,2021-12-06T07:37:46+00:00,2,1235.74,False,1,0,1,0,1,0,1,CLOSED
745,Create README-tr.md,otuva,2021-09-20T14:20:01Z,2022-09-12T07:42:00+00:00,1,8561.37,False,642,18,19,0,0,0,0,CLOSED
718,Fix typo README-id.md,piharpi,2020-12-16T22:26:09Z,2022-09-11T02:31:14+00:00,1,15196.08,False,1,1,1,41,0,0,0,CLOSED
684,Minor spelling fix in readme,55abhilash,2020-04-10T05:00:03Z,2020-08-17T00:27:52+00:00,1,3091.46,False,1,1,1,27,2,0,2,CLOSED
682,"complete, most up-to-date translation into Polish language",matt-kita,2020-03-25T16:24:50Z,2020-09-07T19:20:29+00:00,3,3986.93,True,641,17,18,317,2,0,2,MERGED
661,misspelled a word,yeahdef,2020-02-12T19:52:05Z,2020-08-17T00:28:13+00:00,1,4468.6,False,1,1,1,0,1,0,1,CLOSED
652,fix: markdown bold syntax,9w,2019-11-12T14:31:31Z,2020-05-09T07:40:24+00:00,1,4289.15,False,4,4,1,66,1,0,1,CLOSED
650,Fixed a typo in README.md,teymour-aldridge,2019-11-01T18:44:29Z,2020-08-17T00:28:43+00:00,1,6941.74,False,1,1,1,0,1,0,1,CLOSED
641,fr: Synchronize the translation,ericguirbal,2019-07-31T14:37:28Z,2022-12-29T22:41:26+00:00,1,29936.07,True,14,7,1,0,2,0,2,MERGED
