number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
995,Added one useful resource,Paras-96,2024-06-11T04:41:44Z,2024-08-07T17:15:58+00:00,1,1380.57,True,1,0,1,193,0,0,0,MERGED
976,remove duplicated project Neuron,inyong37,2024-02-14T13:18:46Z,2024-02-26T15:22:25+00:00,1,290.06,True,0,2,1,38,1,0,1,MERGED
956,Added C++ backpropagation tool,xcelerit-squad,2023-09-17T18:48:09Z,2023-10-30T15:30:34+00:00,1,1028.71,True,1,0,1,0,0,0,0,MERGED
953,Updated ISL books in books.md,seshupavan,2023-07-25T05:31:57Z,2023-08-14T21:29:34+00:00,1,495.96,True,2,1,1,371,0,0,0,MERGED
933,Updated a broken Link,Lokeshrathi,2023-04-17T07:24:24Z,2023-05-07T21:59:45+00:00,3,494.59,True,2,1,1,64,1,0,1,MERGED
923,Add Frouros to README.md,jaime-cespedes-sisniega,2023-03-18T15:49:06Z,2023-04-12T00:39:15+00:00,1,584.84,True,1,0,1,64,1,0,1,MERGED
891,Added `DockerDL` a set of ready to use deep-learning docker images,matifali,2022-10-22T05:33:42Z,2022-11-06T15:56:59+00:00,1,370.39,True,1,0,1,0,2,0,2,MERGED
890,Added the SKBEL package,robinthibaut,2022-10-17T08:54:30Z,2022-11-06T15:56:42+00:00,1,487.04,True,1,0,1,131,0,0,0,MERGED
889,Update README.md,Pranjal360Agarwal,2022-10-10T17:13:26Z,2022-11-06T06:25:48+00:00,1,637.21,False,45,0,1,88,1,0,1,CLOSED
842,deepface + retinaface + chefboost,serengil,2022-01-31T13:53:30Z,2022-03-18T13:40:15+00:00,1,1103.78,True,3,0,1,68,0,0,0,MERGED
802,Add Intel(R) Extension for Scikit-learn and update name DAAL,PetrovKP,2021-06-30T19:01:51Z,2021-07-06T13:57:06+00:00,1,138.92,True,2,1,1,98,0,0,0,MERGED
699,Delete ml-curriculum.md,sajjushaik,2020-06-22T11:04:51Z,2020-08-18T14:19:05+00:00,1,1371.24,False,0,28,1,0,2,0,2,CLOSED
633,sort items lexicographically,vengodelsur,2019-09-30T12:05:13Z,2020-01-27T14:58:13+00:00,1,2858.88,False,458,432,2,49,3,0,3,CLOSED
602,Update README.md,ddbourgin,2019-04-18T19:47:21Z,2019-05-10T19:26:16+00:00,1,527.65,True,1,0,1,91,0,0,0,MERGED
536,Update README.md,benedekrozemberczki,2018-09-24T21:30:03Z,2018-10-04T09:27:20+00:00,1,227.95,False,2,1,1,0,1,1,2,CLOSED
418,Propose changes for brain.js new location,robertleeplummerjr,2017-08-31T18:43:42Z,2017-09-02T14:32:06+00:00,1,43.81,True,1,0,1,0,1,0,1,MERGED
374,Update README.md,sbromberger,2017-05-08T04:36:51Z,2017-05-17T16:46:54+00:00,1,228.17,True,1,0,1,45,2,0,2,MERGED
331,Update README.md,felipexw,2016-11-11T12:50:24Z,2016-11-13T17:45:32+00:00,1,52.92,True,1,0,1,35,0,0,0,MERGED
