number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
4534,Introduce 'raw' mode,junegunn,2025-09-28T12:07:20Z,2025-10-08T15:17:00+00:00,3,243.16,True,1140,493,20,840,55,8,63,MERGED
4528,Fix 7-byte CSI sequence leftover prints,masmu,2025-09-23T10:31:17Z,2025-09-23T14:33:41+00:00,1,4.04,True,3,0,1,543,1,0,1,MERGED
4525,style: add format rules for bash files,xieyonn,2025-09-21T08:47:21Z,2025-09-24T13:41:54+00:00,9,76.91,True,319,240,16,1533,15,2,17,MERGED
4521,Style change: thinner gutter,junegunn,2025-09-14T15:37:17Z,2025-09-16T12:22:56+00:00,1,44.76,True,138,29,8,194,0,0,0,MERGED
4518,refactor: use maps.Copy and maps.Clone,mickychang9,2025-09-11T09:39:19Z,2025-09-29T09:11:19+00:00,4,431.53,True,6,11,3,116,1,1,2,MERGED
4501,Adjust base16 (16) theme,junegunn,2025-08-24T06:41:24Z,2025-09-17T10:38:49+00:00,3,579.96,True,21,12,4,610,9,1,10,MERGED
4488,use fixed length array when possible,ipinak,2025-08-13T05:49:01Z,2025-08-15T12:16:42+00:00,7,54.46,True,3,3,1,49,1,2,3,MERGED
4468,fix(shell): check for mawk existence before version check,LangLangBart,2025-07-24T17:28:26Z,2025-07-25T08:33:18+00:00,5,15.08,True,11,11,5,1908,8,1,9,MERGED
4419,Implement asynchronous transform actions,junegunn,2025-06-10T16:40:47Z,2025-06-15T15:39:11+00:00,2,118.97,True,460,197,7,756,1,4,5,MERGED
4416,Add footer,junegunn,2025-06-09T15:31:31Z,2025-06-10T14:02:23+00:00,1,22.51,True,826,226,11,938,0,1,1,MERGED
4415,"[bash,zsh] Add fixes to `__fzf_list_hosts`",akinomyoga,2025-06-08T12:14:50Z,2025-06-09T12:46:54+00:00,1,24.53,True,22,18,2,261,1,0,1,MERGED
4412,"[bash,zsh] Improve the AWK compatibility",akinomyoga,2025-06-05T10:47:24Z,2025-06-07T15:00:17+00:00,3,52.21,True,180,39,6,818,5,1,6,MERGED
4407,"[bash,zsh] Reduce the number of fork & exec",akinomyoga,2025-06-03T12:13:13Z,2025-06-05T04:02:11+00:00,4,39.82,True,67,10,2,1615,7,1,8,MERGED
4405,[bash] Set shell options for pathname expansion `~/.ssh/config.d/*`,akinomyoga,2025-06-03T09:56:41Z,2025-06-03T11:47:29+00:00,1,1.85,True,17,1,1,1606,4,0,4,MERGED
4379,Add initial security policy,janderssonse,2025-05-11T06:51:22Z,2025-05-14T02:05:20+00:00,1,67.23,True,33,0,1,1625,2,1,3,MERGED
4377,bash: set keybinding right before printing special character,ajeetdsouza,2025-05-09T06:45:58Z,2025-05-10T06:29:27+00:00,3,23.72,True,3,3,1,680,4,1,5,MERGED
4370,Add 'alt-bg' color for striped lines,junegunn,2025-05-02T01:42:33Z,2025-05-04T05:32:06+00:00,3,51.83,True,60,19,7,867,12,3,15,MERGED
4361,[fish] History improvements and small changes,bitraid,2025-04-22T16:58:43Z,2025-04-27T15:27:51+00:00,4,118.49,True,27,15,1,1081,4,2,6,MERGED
4351,Disable tmux popup when already running inside one,peikk0,2025-04-18T07:10:57Z,2025-04-18T08:35:48+00:00,1,1.41,True,3,2,2,774,2,0,2,MERGED
4349,Use tty from stderr or fallback to /dev/tty ,tlxpro,2025-04-17T20:04:50Z,2025-04-20T02:30:19+00:00,2,54.42,False,10,7,3,9,9,1,10,CLOSED
4345,Fix panic when use header border without pointer/marker,phanen,2025-04-13T05:17:42Z,2025-04-13T11:24:29+00:00,1,6.11,True,15,0,2,1278,1,0,1,MERGED
4308,src: changed 'interface{}' to 'any',mgabrielmarin,2025-03-10T22:50:14Z,2025-03-11T05:24:54+00:00,1,6.58,True,4,4,3,0,1,0,1,MERGED
4305,Bump golang.org/x/sys from 0.30.0 to 0.31.0,dependabot,2025-03-10T13:24:40Z,2025-05-12T13:34:00+00:00,1,1512.16,False,3,3,2,1593,1,0,1,CLOSED
4280,[fish] Enable multiple history commands insertion,bitraid,2025-02-24T11:29:58Z,2025-02-25T15:18:56+00:00,2,27.82,True,41,6,2,497,4,1,5,MERGED
4266,Don't trim last field when delimiter is regex,phanen,2025-02-21T10:12:09Z,2025-02-21T13:21:55+00:00,2,3.16,True,12,1,2,10,1,1,2,MERGED
4259,[fish] Small clean-ups and optimizations,bitraid,2025-02-19T10:38:27Z,2025-02-19T23:30:30+00:00,1,12.87,True,119,138,1,445,2,0,2,MERGED
4232,Fix bin/fzf-preview.sh to make image preview work on ghostty terminal,Coko7,2025-02-09T05:09:29Z,2025-02-09T11:02:05+00:00,4,5.88,True,3,3,1,668,4,2,6,MERGED
4225,Update README.md,ericdachen,2025-02-06T18:23:24Z,2025-02-09T00:19:15+00:00,3,53.93,True,14,0,1,74,5,2,7,MERGED
4157,add `border-native` option to `--tmux` flag,aead,2025-01-03T15:16:08Z,2025-01-04T09:30:33+00:00,7,18.24,True,30,12,5,450,3,4,7,MERGED
4143,Don't include the file name in type information,xuhdev,2024-12-25T01:04:06Z,2024-12-26T05:58:11+00:00,1,28.9,True,1,1,1,88,1,0,1,MERGED
4115,chore: completion test command sequence,LangLangBart,2024-12-02T17:16:51Z,2024-12-03T11:34:27+00:00,1,18.29,True,30,14,2,827,1,0,1,MERGED
4112,Enhance install script to handle commented and uncommented lines (#3632),buttering,2024-11-29T06:12:01Z,2024-12-01T14:21:12+00:00,1,56.15,True,24,15,1,1079,4,0,4,MERGED
4094,Improve fish integration,bitraid,2024-11-14T17:45:36Z,2024-11-18T10:08:34+00:00,3,88.38,True,44,36,1,2097,5,1,6,MERGED
4090,fix(zsh): handle backtick trigger edge case,LangLangBart,2024-11-12T01:08:47Z,2024-11-14T07:07:52+00:00,1,53.98,True,16,8,1,2221,11,0,11,MERGED
