number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
880,[编程艺术] add 重构 改善既有代码的设计,froggengoing,2024-03-20T10:08:18Z,2024-04-07T06:59:02+00:00,1,428.85,False,2,1,1,0,5,0,5,CLOSED
849,Linux 设备驱动 (第三版) 链接失效,bzy-nya,2022-03-22T14:03:29Z,2022-06-13T03:22:07+00:00,1,1981.31,True,1,1,1,0,3,0,3,MERGED
848,添加了R语言教程、Python黑魔法手册,RobertHoffman,2022-03-15T10:01:34Z,2022-06-13T03:22:30+00:00,1,2153.35,True,2,0,1,16,0,0,0,MERGED
847,通过例子学 Rust 中文版,loocao,2022-03-04T07:51:11Z,2022-06-13T03:22:46+00:00,1,2419.53,True,1,0,1,0,0,0,0,MERGED
846,Update README.md（添加Node相关电子书籍）,Sheng14,2022-03-03T12:34:28Z,2022-06-13T03:23:11+00:00,1,2438.81,True,2,0,1,48,8,0,8,MERGED
845,add book 《游戏引擎 浅入浅出》,ThisisGame,2022-02-16T16:11:04Z,2022-06-13T03:25:12+00:00,3,2795.24,True,7,0,1,0,7,0,7,MERGED
825,"[Feature](README.md): add ""labuladong 的算法小抄"".",Haceau-Zoac,2021-01-24T03:59:16Z,2022-06-13T03:20:50+00:00,1,12119.36,True,7,0,1,79,0,0,0,MERGED
824,更新《Google Java编程风格指南》的链接,kungkao,2021-01-13T11:28:17Z,2022-06-13T03:20:27+00:00,1,12375.87,True,1,1,1,0,1,0,1,MERGED
820,Merge pull request #1 from justjavac/master,xiejing2014,2020-11-27T03:40:06Z,2022-06-13T03:19:51+00:00,1,13511.66,False,0,0,0,6,0,0,0,CLOSED
814,Add 2 learning resources on Git / Version Control,gittower-moved,2020-05-19T12:05:28Z,2022-06-13T03:19:40+00:00,1,18111.24,True,2,0,1,0,1,0,1,MERGED
813,更新了emacs 相关和 两本thinkphp开发手册,muxik,2020-05-01T02:28:41Z,2022-06-13T03:19:10+00:00,1,18552.84,True,4,0,1,96,0,0,0,MERGED
812,修改“用Python做科学计算”网址,JMbaozi,2020-04-30T00:42:28Z,2022-06-13T03:18:42+00:00,1,18578.6,True,1,1,1,116,0,0,0,MERGED
728,Leetcode-php,wuqinqiang,2019-10-12T10:05:33Z,2020-02-05T02:49:11+00:00,1,2776.73,True,1,0,1,29,2,0,2,MERGED
710,fix link: Clojure/Clojure入门教程,zombie110year,2019-06-20T15:12:40Z,2020-02-04T12:26:59+00:00,1,5493.24,True,1,1,1,183,1,0,1,MERGED
676,新增《Python编程 从入门到实践》（2016版）,ithou,2018-11-22T03:40:14Z,2020-02-04T12:25:12+00:00,1,10544.75,False,3,0,1,17,1,0,1,CLOSED
669,Update .editorconfig,PRIYANKOMANNA,2018-10-19T12:36:13Z,2018-11-05T09:22:56+00:00,1,404.78,False,4,0,1,0,0,1,1,CLOSED
656,Merge pull request #1 from justjavac/master,39haohezi,2018-07-13T08:36:05Z,2020-02-04T12:22:36+00:00,1,13707.78,False,0,0,0,13,1,0,1,CLOSED
639,添加电子书“《Real-Time Rendering 3rd》提炼总结”,QianMo,2018-04-23T03:18:02Z,2018-11-05T09:20:57+00:00,1,4710.05,True,1,0,1,36,0,0,0,MERGED
637,推荐java编程思想,Balticbb,2018-04-12T13:03:13Z,2018-11-05T07:13:41+00:00,1,4962.17,False,1,0,1,51,1,0,1,CLOSED
619,Add vim-galore 中译本和 SpaceVim,wsdjeg,2017-12-25T11:33:47Z,2020-04-11T13:36:45+00:00,1,20114.05,False,2,0,1,17,3,0,3,CLOSED
610,fix: Android学习之路 url 404,EliYao,2017-12-03T04:22:04Z,2020-02-04T12:21:58+00:00,1,19040.0,False,1,1,1,0,0,0,0,CLOSED
393,hackers,pluckhuang,2015-10-15T11:30:32Z,2019-11-05T08:14:18+00:00,2,35564.73,False,12,0,1,0,0,0,0,CLOSED
