number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
3,Fixed typo,radarhere,2016-10-06T10:08:17Z,2016-10-06T16:40:31+00:00,1,6.54
6,License.md Added,rusrushal13,2016-10-06T15:49:06Z,2016-10-06T21:20:55+00:00,1,5.53
9,Adding more descriptive links.,Carmezim,2016-10-06T19:24:59Z,2016-10-06T21:25:38+00:00,1,2.01
23,Pull request with fixed mis-formatted & Go resources,ladrift,2016-10-09T01:36:16Z,2016-10-09T03:32:02+00:00,1,1.93
38,Add a tutorial on Udemy.,jenhausu,2016-10-15T16:08:41Z,2016-10-16T02:17:14+00:00,2,10.14
78,[Don't Merge yet] Spanish Translation in progress,dossorio,2016-12-20T19:12:18Z,2017-05-28T17:00:33+00:00,12,3813.8
83,Initial Draft of Hindi Translation,saurabh-mhaisekar,2016-12-22T05:53:09Z,2016-12-25T20:03:37+00:00,2,86.17
88,WIP: Initialization of Russian translation. Issue #87.,Ilyushin,2016-12-23T08:07:38Z,2020-11-28T18:12:43+00:00,3,34474.08
94,Hindi translation in progress,ram-rana-16,2016-12-26T09:55:48Z,2016-12-27T04:55:10+00:00,1,18.99
103,typo_fix_hn_trans,raj-maurya,2016-12-31T13:58:21Z,2021-07-29T15:11:02+00:00,3,40105.21
123,started,junjw1,2017-01-06T05:01:41Z,2017-01-07T18:18:30+00:00,1,37.28
159,Thai Translation - First pull request,iphayao,2017-03-04T01:18:38Z,2017-03-12T00:16:34+00:00,9,190.97
164,translate the list of contents in Arabic and other words,AmrReda,2017-03-10T06:08:00Z,2017-04-05T03:58:52+00:00,1,621.85
165,Updated Ukrainian translation,olegkramko,2017-03-11T11:10:48Z,2017-08-23T10:08:21+00:00,2,3958.96
168,Thai translation: Fixed typos,kindraywind,2017-03-14T02:40:05Z,2017-03-14T17:00:08+00:00,1,14.33
173,Add a link to help with Forking a repo,jarvisluong,2017-03-19T14:52:34Z,2017-03-19T18:32:36+00:00,1,3.67
185,Translation: Turkish,yakupad,2017-04-11T09:46:43Z,2021-07-29T16:02:39+00:00,1,37686.27
199,Update some words and Adding in readme-hi.md,jitendra3109,2017-04-29T05:30:06Z,2024-05-03T15:58:53+00:00,2,61474.48
212,fix(gitignore): change js-style comments to shell comments,sbolel,2017-06-05T10:31:08Z,2017-06-09T04:09:25+00:00,1,89.64
213,added anchor to video series,avizmarlon,2017-06-09T14:37:40Z,2017-06-10T17:52:17+00:00,1,27.24
266,"Translate to ukrainian up to ""Lang-specific"" part",tbatsenko,2017-10-28T12:59:11Z,2024-05-03T15:59:15+00:00,3,57099.0
288,Feature/update vietnamese,hienvd,2017-12-20T08:52:43Z,2017-12-22T03:29:47+00:00,1,42.62
311,Translation:  French #chunk4,armandfardeau,2018-02-27T20:32:52Z,2020-10-14T15:29:35+00:00,1,23034.95
315,Update book list,AyaAzzam,2018-04-06T09:32:18Z,2018-04-20T02:19:44+00:00,1,328.79
373,Hash Tables Section incorrect link,moonik,2018-10-24T19:32:15Z,2020-02-12T05:53:16+00:00,4,11410.35
379,Update README.md,piyushver,2018-10-30T14:31:56Z,2020-12-29T21:07:30+00:00,2,18990.59
406,Fix coursera link,akashgiricse,2019-01-16T04:25:29Z,2019-01-19T20:55:14+00:00,2,88.5
422,Update translations image link,hunghw,2019-04-25T07:47:27Z,2019-04-26T02:19:49+00:00,1,18.54
434,Translation: German,koko-joe,2019-07-13T16:55:06Z,2019-09-14T20:12:46+00:00,7,1515.29
