number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
25,Fix some issues,m1guelpf,2017-03-19T13:32:51Z,2017-03-23T05:14:20+00:00,1,87.69
328,"Added a list of Linux & Unix server distributions, and Emacs as text editor",denisse-dev,2018-01-11T02:10:03Z,2018-02-27T08:57:27+00:00,1,1134.79
373,fixes #369,prakharcipher,2018-01-30T22:21:06Z,2018-02-04T21:16:06+00:00,1,118.92
394,Added Cypress,mihhu,2018-02-13T22:41:10Z,2020-01-10T22:50:16+00:00,1,16704.15
502,Emoji for both genders,drepram,2018-10-11T02:09:55Z,2018-10-11T20:48:08+00:00,1,18.64
505,him -> them,jfdnc,2018-10-13T22:00:01Z,2020-01-04T07:21:27+00:00,1,10737.36
519,"fix the cut off names teamcity, LXC, and puppet",johnoct,2018-11-29T21:08:43Z,2019-03-17T06:06:20+00:00,1,2576.96
526,Change hosting to hoisting,michaelspinks,2018-12-31T09:16:04Z,2019-05-06T16:37:15+00:00,3,3031.35
559,Brazilian Portuguese translation,JorgeSegtowich,2019-02-01T00:42:06Z,2020-01-18T09:17:55+00:00,3,8432.6
610,Grammar and words correction for readme.md,kushwahasameerkumar,2019-08-10T22:11:36Z,2020-01-10T22:48:11+00:00,1,3672.61
622,Prometheus added,beingnishas,2019-10-16T02:41:44Z,2020-01-18T09:03:14+00:00,3,2262.36
626,Changed SASS -> Sass,Ronkiro,2019-10-29T17:42:05Z,2020-01-03T14:58:05+00:00,2,1581.27
638,fix broken link,toshihidetagami,2020-01-07T14:42:16Z,2020-01-08T10:05:32+00:00,1,19.39
656,Fix typo Gitlab -> GitLab,mism-mism,2020-02-20T05:49:47Z,2020-03-13T21:15:05+00:00,1,543.42
671,Farsi/Persian Support added,clRcoDE,2020-03-29T00:33:19Z,2020-03-29T08:05:34+00:00,2,7.54
675,Translate back-end roadmap into Chinese,hszhakka,2020-03-29T10:48:11Z,2020-03-29T11:52:13+00:00,1,1.07
678,Translation to Spanish,marioagr,2020-03-30T03:41:41Z,2020-03-30T05:59:39+00:00,1,2.3
687,#669 adding arabic translations frontend map + intro map,AbdelouahabMbarki,2020-04-04T14:05:24Z,2020-04-04T18:02:53+00:00,1,3.96
701,add gridsome to frontend,hussamkhatib,2020-04-16T15:20:33Z,2020-04-17T16:55:11+00:00,1,25.58
703,Translat devops into Chinese,zhongmax,2020-04-20T05:52:03Z,2020-04-20T20:10:49+00:00,1,14.31
704,"Fix some grammar in ""Learn a Language""",riccardomc,2020-04-20T15:46:55Z,2020-04-20T20:10:03+00:00,1,4.39
707,correcting typo on Devop Roadmap startup management(initd) to startup…,THErealARETE,2020-04-23T23:24:49Z,2020-05-06T00:00:05+00:00,1,288.59
711,Add Polish translations,mbiesiad,2020-05-05T13:20:16Z,2020-05-06T23:35:35+00:00,1,34.26
716,Gitlab Error in png #705 resolved,Upinder123,2020-05-10T01:38:50Z,2021-12-03T13:20:10+00:00,6,13739.69
723,Added GraphQL to backend,kosantosbik,2020-05-23T23:53:49Z,2021-01-09T09:29:41+00:00,2,5529.6
724,Turkish Translation,AtakanErmis,2020-05-29T19:41:24Z,2020-05-30T13:05:18+00:00,1,17.4
739,Translate backend into japanese,yusuken1983,2020-07-03T07:08:07Z,2020-07-06T08:48:23+00:00,1,73.67
742,Remove double entry for dig,heidar,2020-07-03T21:07:44Z,2020-07-06T08:47:40+00:00,1,59.67
751,Korean translation,unknown,2020-07-23T18:55:17Z,2020-07-25T12:27:22+00:00,1,41.53
755,fix:Text typo Gitlab should be GitLab,vikashchander,2020-08-02T18:50:52Z,2021-10-09T11:51:22+00:00,14,10385.01
756,Artificial Intelligence - Roadmap,JulianaCP,2020-08-04T00:07:01Z,2022-10-05T00:40:55+00:00,12,19008.56
800,Added Zuul CI to the DevOps roadmap,danpawlik,2020-10-23T09:54:44Z,2022-08-04T12:42:49+00:00,1,15602.8
804,Add Uzbek translation,Nuruddinjr,2020-10-27T18:51:24Z,2020-10-30T08:27:54+00:00,1,61.61
806,Update backend.png to match wireframe JSON (fix grammatical error),tjreigh,2020-10-29T14:54:47Z,2021-01-08T10:59:38+00:00,1,1700.08
811,Added Bitbucket Pipeline to DevOps CI/CD Tool,successtar,2020-11-02T17:26:47Z,2022-08-04T12:44:14+00:00,2,15355.29
813,ukrainian translation added,Dobrovolskyi,2020-11-04T19:17:38Z,2020-11-22T20:25:57+00:00,2,433.14
831,自定义文件上传,wooyoohoo,2021-01-12T01:57:31Z,2021-01-12T05:53:40+00:00,1,3.94
835,Update read.me,JulioSergioFS,2021-01-13T15:55:18Z,2021-02-02T05:37:36+00:00,6,469.7
863,new file,trishashang11,2021-03-24T11:16:43Z,2021-04-29T09:50:09+00:00,2,862.56
906,[SP Translation] Typo fixed line 11283,kant,2021-08-10T22:39:17Z,2021-09-07T04:37:30+00:00,1,653.97
953,Update 104-accessibility.md,sehajanand,2021-12-10T19:24:02Z,2021-12-10T21:56:16+00:00,2,2.54
955,Update 100-sass.md,sehajanand,2021-12-10T19:42:34Z,2021-12-10T22:00:56+00:00,1,2.31
968,Added [course] Flexbox learning resource,eihabkhan2,2021-12-21T13:09:09Z,2021-12-21T20:09:20+00:00,1,7.0
988,Update 103-csharp.md,Allison-E,2022-01-09T15:34:38Z,2022-01-10T06:15:01+00:00,1,14.67
989,Chakra UI resources,jaamaalxyz,2022-01-10T18:05:45Z,2022-01-11T07:25:01+00:00,1,13.32
995,Update 106-cors.md,ragul-thangaraju,2022-01-13T08:14:04Z,2022-01-13T13:40:48+00:00,3,5.45
998,Add Os and General KnowKnowledge content at backend roadmap,Santibio,2022-01-14T11:50:47Z,2022-01-14T16:05:52+00:00,1,4.25
999,Apollo Description and Content added,iArchitSharma,2022-01-14T17:37:27Z,2022-01-15T17:11:21+00:00,1,23.57
1000,Added Description and Resources for Relay Modern,iArchitSharma,2022-01-14T17:44:06Z,2022-01-15T16:55:48+00:00,3,23.2
1002,Update 104-accessibility.md,larsingerlars,2022-01-15T02:41:19Z,2022-01-15T08:27:48+00:00,1,5.77
1003,Update 103-php.md,truncgil,2022-01-15T04:06:16Z,2022-01-15T17:05:36+00:00,1,12.99
1004,Update 107-eleventy.md,larsingerlars,2022-01-15T09:55:48Z,2022-01-15T16:50:15+00:00,1,6.91
1005,Update 101-rust.md,DukeofEkiti,2022-01-15T20:21:02Z,2022-01-28T21:28:25+00:00,1,313.12
1008,Added Resources for Vue.js,iArchitSharma,2022-01-16T17:09:10Z,2022-01-17T10:48:05+00:00,2,17.65
1016,enhancement: Header pages links colors,HaithamLeo,2022-01-19T07:39:46Z,2022-08-04T12:37:33+00:00,1,4732.96
1044,Resources added for RxJS,iArchitSharma,2022-01-23T16:30:07Z,2022-01-28T21:27:29+00:00,1,124.96
1045,Resources added for NgRx,iArchitSharma,2022-01-23T16:48:13Z,2022-01-28T21:25:55+00:00,1,124.63
1089,Add Content about Linux Modules,alperkaya0,2022-02-01T00:03:52Z,2022-03-14T17:23:26+00:00,1,1001.33
1091,Added Resources for Radix UI,iArchitSharma,2022-02-01T11:33:04Z,2022-02-02T11:38:25+00:00,1,24.09
1093,Added Resources for Material UI,iArchitSharma,2022-02-02T12:49:57Z,2022-02-02T14:38:17+00:00,1,1.81
1094,Added Resources for Emotion css,iArchitSharma,2022-02-02T18:01:51Z,2022-02-02T20:20:51+00:00,1,2.32
1098,Added resources for Styled jsx,iArchitSharma,2022-02-03T09:50:55Z,2022-02-03T19:54:43+00:00,2,10.06
1099,CAP Theorem Resources,KodeyThomas,2022-02-03T13:41:44Z,2022-02-17T14:38:18+00:00,1,336.94
1106,"Add Esbuild to ""Esbuild""",jaone,2022-02-04T15:47:46Z,2022-02-09T16:17:25+00:00,3,120.49
1107,Added content for Pick a Framework,iArchitSharma,2022-02-04T16:22:29Z,2022-02-12T16:58:24+00:00,1,192.6
1111,Added content in Standardjs,iArchitSharma,2022-02-05T11:10:33Z,2022-02-09T16:13:35+00:00,2,101.05
1112,Update 100-gof-design-patterns.md,rasyad91,2022-02-05T11:46:12Z,2022-02-09T16:12:29+00:00,2,100.44
1116,Added Resources for Less,iArchitSharma,2022-02-06T07:54:23Z,2022-02-06T14:17:43+00:00,2,6.39
1127,update 100-terminal-usage.md,narasimhauppala,2022-02-09T18:12:14Z,2022-02-12T09:58:18+00:00,1,63.77
1130,Added resources for Rollup,iArchitSharma,2022-02-10T16:30:47Z,2022-02-12T09:56:53+00:00,1,41.44
1131,Update 104-jwt.md,paulmarsicloud,2022-02-11T03:17:17Z,2022-02-12T09:56:10+00:00,1,30.65
1133,Added resources for Parcel,iArchitSharma,2022-02-11T16:57:53Z,2022-02-12T09:54:21+00:00,2,16.94
1134,Added resources for Proton Native,iArchitSharma,2022-02-13T15:25:47Z,2022-02-13T17:57:54+00:00,1,2.54
1136,Update 102-cypress.md,himanshusonixd,2022-02-14T13:34:49Z,2022-02-17T14:36:40+00:00,1,73.03
1137,Update 101-react-testing-library.md,himanshusonixd,2022-02-14T13:43:23Z,2022-02-17T14:34:28+00:00,1,72.85
1138,update 105-memory-management,narasimhauppala,2022-02-14T14:23:21Z,2022-02-17T14:30:53+00:00,1,72.13
1140,Add Gatsbyjs content on Frontend roadmap,aroyan,2022-02-15T04:48:42Z,2022-02-15T12:04:51+00:00,1,7.27
1141,Added Resources for Mocha,iArchitSharma,2022-02-15T17:07:58Z,2022-02-17T14:19:21+00:00,1,45.19
1146,Resources added for Chai js,iArchitSharma,2022-02-18T17:29:45Z,2022-02-19T01:24:10+00:00,1,7.91
1149,Resources added for Jasmine,iArchitSharma,2022-02-21T16:52:25Z,2022-02-25T10:15:24+00:00,2,89.38
1161,update 108-owasp.md,narasimhauppala,2022-02-28T18:07:56Z,2022-03-14T17:20:11+00:00,1,335.2
1169,Added resources for Basics of SEO in Frontend Development Roadmap,Jaiharishan,2022-03-04T20:50:01Z,2022-03-14T17:17:33+00:00,1,236.46
1182,Added Process Management definition and resources,marceladuarte,2022-03-12T17:41:37Z,2022-03-14T15:06:49+00:00,1,45.42
1188,Resources added for Nginx,iArchitSharma,2022-03-15T17:52:53Z,2022-03-16T11:22:36+00:00,1,17.5
1191,Resources added for CaddyServer,iArchitSharma,2022-03-17T17:24:47Z,2022-03-18T06:56:22+00:00,1,13.53
1194,Resources added for MS IIS,iArchitSharma,2022-03-18T11:30:12Z,2022-03-19T07:15:29+00:00,1,19.75
1196,Add API brief description,iamthenewking,2022-03-20T10:37:16Z,2022-08-04T12:29:22+00:00,1,3289.87
1203,Resources added for Oracle,iArchitSharma,2022-03-23T06:54:00Z,2022-05-25T12:23:24+00:00,1,1517.49
1204,feat: add Lighthouse blog post,aroyan,2022-03-23T14:06:16Z,2022-08-04T08:10:54+00:00,1,3210.08
1205,Update 104-basic-terminal-commands.md,paulmarsicloud,2022-03-23T20:14:12Z,2022-04-22T21:33:01+00:00,1,721.31
1208,Resources added for JSON api,iArchitSharma,2022-03-25T17:51:46Z,2022-04-19T09:16:40+00:00,1,591.41
1210,Update 101-after-js.md added introduction and links,himanshurajora,2022-03-26T11:51:29Z,2022-04-16T12:50:25+00:00,1,504.98
1217,Switch to gender neutral terms,inclusive-coding-bot,2022-03-30T22:23:56Z,2022-03-31T15:50:07+00:00,1,17.44
1219,updated message-borkers pages,sfmohassel,2022-03-31T21:33:26Z,2022-04-16T12:48:28+00:00,2,375.25
1227,"Add the Vox video ""How  Does the Internet Works?""",lucassouzafranco,2022-04-15T23:43:06Z,2022-04-16T12:31:01+00:00,2,12.8
1231,Update 100-orms.md,KeyCode17,2022-04-19T00:07:38Z,2022-04-19T09:14:43+00:00,1,9.12
1235,Add angular content,andrey-kudinov,2022-04-21T16:12:17Z,2022-04-22T21:28:22+00:00,1,29.27
1237,Update 102-soap.md,mtiessler,2022-04-24T20:14:02Z,2022-08-04T12:14:09+00:00,1,2440.0
1289,Update 101-how-oss-work-in-general.md,GabrielNunes12,2022-06-09T20:29:17Z,2022-06-14T12:26:30+00:00,1,111.95
1298,Resources added for oracle,iArchitSharma,2022-06-16T13:53:32Z,2022-06-18T10:13:25+00:00,1,44.33
1300,Added a reading point,BimbiAver,2022-06-19T06:51:43Z,2022-08-03T16:01:10+00:00,1,1089.16
1304,Slides roadmap-backend-gerenciamento-de-io,jose13luiz,2022-06-20T20:03:20Z,2022-06-22T07:38:59+00:00,1,35.59
1305,Resources added for Server side,iArchitSharma,2022-06-21T08:47:35Z,2022-08-01T12:39:39+00:00,1,987.87
1316,Resources added for Open ID,iArchitSharma,2022-06-30T17:33:04Z,2022-08-03T15:59:15+00:00,1,814.44
1317,Update 100-universal.md - angular universal description,krzeminski,2022-06-30T21:45:46Z,2022-08-03T15:58:01+00:00,1,810.2
1323,Adding Column-DBs content,devarshi-ap,2022-07-03T04:59:25Z,2022-08-03T15:54:49+00:00,2,754.92
1324,Add Redis video,jingning42,2022-07-03T20:13:22Z,2022-08-03T15:51:58+00:00,1,739.64
1325,"Web servers intro, got most help from the mdn docs",punixcorn,2022-07-04T17:01:18Z,2022-08-03T15:49:59+00:00,1,718.81
1329,Update 100-apis.md,Touseef-ahmad,2022-07-05T14:10:29Z,2022-08-03T15:43:43+00:00,1,697.55
1333,Add content in 108-posix-basics,wrongbyte,2022-07-09T02:21:52Z,2022-08-03T15:38:19+00:00,1,613.27
1336,Update 101-domain-driven-design.md,esa-kian,2022-07-12T15:28:10Z,2022-07-14T05:06:48+00:00,1,37.64
1340,Update 100-cookie-based.md,evinw,2022-07-14T02:19:05Z,2022-08-03T15:31:57+00:00,1,493.21
1345,Add Database normalization description and ref,esa-kian,2022-07-15T15:10:32Z,2022-08-01T09:29:08+00:00,1,402.31
1346,Resources added for IO management,IkramulMurad,2022-07-15T16:57:45Z,2022-08-01T09:25:25+00:00,1,400.46
