number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
2572,Patch 1,pochopsp,2025-08-22T18:32:38Z,2025-10-08T04:05:26+00:00,1,1113.55,True,14,14,1,68,0,0,0,MERGED
1610,Update misplaced bold marker ** and added missing words at some places,vijethkash123,2024-08-13T16:40:37Z,2025-10-08T04:06:00+00:00,1,10091.42,True,6,6,1,33,0,0,0,MERGED
1410,[fix][java] generate-parentheses,kkty39,2023-06-04T22:33:47Z,2023-06-09T02:18:29+00:00,1,99.75,True,15,16,1,90,0,0,0,MERGED
1406,[fix][typescript] house-robber-iii,yyj08070631,2023-05-30T10:25:11Z,2023-06-14T09:46:39+00:00,4,359.36,True,23,19,1,103,3,1,4,MERGED
1400,fix python solution of problem 8Zf90G,onmoonno,2023-05-17T06:51:18Z,2025-10-08T04:07:38+00:00,1,20997.27,False,12,6,1,119,0,0,0,CLOSED
1397,[fix][javascript] house-robber-iii,yyj08070631,2023-05-16T09:44:35Z,2023-05-30T10:24:22+00:00,1,336.66,False,70289,70273,1,103,2,0,2,CLOSED
1394,[fix][java]perfect-squares,mengyaduan,2023-04-26T06:31:47Z,2023-05-17T02:25:40+00:00,1,499.9,True,3,2,1,105,0,0,0,MERGED
1391,pop函数修改,Perryen,2023-04-24T08:11:40Z,2023-05-17T02:28:26+00:00,1,546.28,True,3,1,1,188,0,0,0,MERGED
1388,[fix][cpp] rotate-image,heshuyue,2023-04-11T09:20:23Z,2023-04-13T02:09:53+00:00,1,40.83,True,1,1,1,81,0,0,0,MERGED
1387,[fix][cpp] sort-characters-by-frequency,heshuyue,2023-04-04T07:20:57Z,2023-04-10T01:34:44+00:00,1,138.23,True,11,12,1,97,0,0,0,MERGED
1385,[fix][cpp] ba-zi-fu-chuan-zhuan-huan-cheng-zheng-shu-lcof,aiwandianao,2023-04-02T07:05:26Z,2023-04-02T10:19:38+00:00,1,3.24,True,1,1,1,116,0,0,0,MERGED
1383,[bug][cpp] qn8gGX,and-star,2023-03-30T08:32:43Z,2023-04-02T10:18:13+00:00,1,73.76,True,4,1,1,75,0,0,0,MERGED
1382,[fix][cpp] qing-wa-tiao-tai-jie-wen-ti-lcof,mrwangone,2023-03-29T18:57:44Z,2023-04-02T10:16:02+00:00,1,87.31,True,7,3,1,103,0,0,0,MERGED
1378,[fix][cpp] xu-lie-hua-er-cha-shu-lcof,mrwangone,2023-03-27T03:05:42Z,2023-03-28T01:31:10+00:00,1,22.42,True,3,3,1,98,0,0,0,MERGED
1374,[fix][cpp] edit-distance,mrwangone,2023-03-26T21:31:39Z,2023-03-27T00:28:49+00:00,1,2.95,True,3,3,1,84,0,0,0,MERGED
1372,[fix][Python] qing-wa-tiao-tai-jie-wen-ti-lcof,and-star,2023-03-26T17:49:32Z,2023-03-26T23:11:36+00:00,1,5.37,True,3,3,1,74,0,0,0,MERGED
1107,Fixing typo,ChillOrb,2023-02-27T01:45:12Z,2023-03-26T06:16:36+00:00,1,652.52,True,1,1,1,0,0,0,0,MERGED
1087,typo fixes to SUMMARY.md,audryhsu,2022-09-20T17:52:55Z,2023-03-26T06:19:10+00:00,1,4476.44,True,7,7,1,0,0,0,0,MERGED
980,Fix some grammar mistakes,rathawut,2022-09-03T16:38:40Z,2022-09-06T12:51:20+00:00,1,68.21,True,30,30,1,0,0,0,0,MERGED
904,Update Framework and thoughts about learning data structure and algor…,kobukuro,2022-03-24T10:25:01Z,2023-03-26T06:22:50+00:00,1,8803.96,False,1,1,1,0,0,1,1,CLOSED
608,【268. 丢失的数字】【 python3】,ruisunyc,2020-11-25T14:43:12Z,2021-03-20T08:13:02+00:00,1,2753.5,True,31,3,1,32,0,0,0,MERGED
579,【529. 扫雷游戏】【JavaScript】,jxlust,2020-11-12T02:18:48Z,2021-03-15T07:14:08+00:00,1,2956.92,False,212,0,1,0,1,1,2,CLOSED
507,【300.最长上升子序列】【Python】,SherlockGuo,2020-11-11T04:56:01Z,2020-11-17T09:49:14+00:00,1,148.89,True,46,0,1,10,0,0,0,MERGED
486,【92. 反转链表 II】【C++】,m-sters,2020-11-10T05:09:58Z,2020-11-17T09:24:12+00:00,1,172.24,False,55,4,1,0,2,0,2,CLOSED
427,[english] Sync Table of Contents with master/Chinese branch,leewc,2020-07-28T09:58:34Z,2020-09-23T03:29:55+00:00,6,1361.52,True,53,42,1,337,3,2,5,MERGED
338,添加koko偷香蕉python3代码,eric496,2020-06-22T21:49:55Z,2020-11-04T08:34:31+00:00,1,3226.74,False,84,19,3,0,1,1,2,CLOSED
324,Update 判断回文链表.md,tianzhongwei,2020-06-22T11:34:33Z,2020-11-04T08:34:52+00:00,1,3237.01,False,59,1,1,10,0,0,0,CLOSED
322,Update 如何去除有序数组的重复元素.md,tianzhongwei,2020-06-22T11:20:29Z,2020-11-04T08:34:52+00:00,1,3237.24,False,47,3,1,10,0,0,0,CLOSED
318,添加C++解法代码；添加多种解法：二维动态规划 + 二分查找；记忆化递归；一维动态规划,tianzhongwei,2020-06-22T09:52:19Z,2020-11-04T08:34:51+00:00,1,3238.71,False,153,5,2,2,0,0,0,CLOSED
234,Update AnalysisOfDynamicProgramming.md,mosaaleb,2020-04-01T22:26:03Z,2020-06-22T02:06:56+00:00,1,1947.68,False,10,9,1,60,0,0,0,CLOSED
115,translate 算法思路系列/双指针技巧,miaoxiaozui2017,2020-03-02T05:38:31Z,2020-03-02T11:39:50+00:00,1,6.02,True,199,199,2,22,0,1,1,MERGED
107,算法学习之路全文翻译,ShuoZheLi,2020-03-01T23:12:24Z,2020-03-02T04:06:58+00:00,1,4.91,True,94,81,2,36,5,3,8,MERGED
98,translate 动态规划系列/编辑距离.md,Master-cai,2020-03-01T11:36:46Z,2020-03-01T13:10:20+00:00,1,1.56,True,271,263,9,21,2,3,5,MERGED
97,translate 高频面试系列/座位调度.md ,brucecat,2020-03-01T10:09:54Z,2020-03-02T11:17:15+00:00,1,25.12,True,223,0,10,28,2,2,4,MERGED
90,translate 数据结构系列/单调栈,miaoxiaozui2017,2020-03-01T07:19:22Z,2020-03-01T12:43:16+00:00,1,5.4,True,122,119,2,13,0,2,2,MERGED
89,translate the article UnionFind 算法应用,z1ming,2020-03-01T07:02:12Z,2020-03-01T11:41:33+00:00,1,4.66,True,220,225,6,121,3,5,8,MERGED
87,The Longest Palindromic Substring.md English,Lrc123,2020-03-01T05:13:32Z,2020-03-01T11:10:42+00:00,1,5.95,True,119,104,4,82,4,3,7,MERGED
78,翻译了数据结构系列，二叉堆实现优先队列,build2645,2020-03-01T02:33:00Z,2020-03-01T05:09:21+00:00,3,2.61,True,213,216,2,117,1,4,5,MERGED
61,English 翻译数据结构系列/单调队列.md,warmingkkk,2020-02-29T09:27:49Z,2020-03-01T12:32:47+00:00,2,27.08,True,183,185,3,24,4,6,10,MERGED
