number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
10116,Fix: Always fetch withCounts from inside the canvas,mfortman11,2025-10-04T02:33:19Z,2025-10-04T16:49:56+00:00,2,14.28,True,3,2,2,566,5,0,5,MERGED
10099,fix: Backport macOS specific ver reqs,erichare,2025-10-02T23:06:48Z,2025-10-03T14:41:27+00:00,1,15.58,True,14,11,2,1244,3,0,3,MERGED
10094,fix: Proper support for VLM in Docling,erichare,2025-10-02T18:35:34Z,2025-10-03T18:53:12+00:00,3,24.29,True,857,623,154,917,3,2,5,MERGED
10092,feat: Add withCounts option to MCP server queries,edwinjosechittilappilly,2025-10-02T16:08:27Z,2025-10-02T20:53:31+00:00,3,4.75,True,19,8,5,1489,5,0,5,MERGED
10091,fix: Remove outdated modules in favor of LFX versions,erichare,2025-10-02T14:56:52Z,2025-10-03T15:10:47+00:00,1,24.23,True,4,31,7,1220,3,0,3,MERGED
10083,docs: add jq and path selection to data operations,mendonk,2025-10-02T03:08:03Z,2025-10-02T17:32:28+00:00,1,14.41,True,58,0,2,55,3,0,3,MERGED
10078,fix: responses api add async loggers,edwinjosechittilappilly,2025-10-01T23:10:20Z,2025-10-02T19:19:16+00:00,2,20.15,True,165,9,4,1861,4,0,4,MERGED
10069,fix: add back news rss comps,jordanrfrazier,2025-10-01T16:56:26Z,2025-10-02T15:29:35+00:00,2,22.55,True,460,0,5,734,3,7,10,MERGED
10068,feat: Add Openrag feature flag changing starter project name,mfortman11,2025-10-01T16:26:16Z,2025-10-02T21:53:50+00:00,4,29.46,True,379,17,15,706,6,1,7,MERGED
10066,ci: release fixes; add flag to always run full CI during release,jordanrfrazier,2025-10-01T15:43:48Z,2025-10-03T17:56:22+00:00,2,50.21,True,212,131,14,747,7,0,7,MERGED
10051,feat: add container address check to ollama,mfortman11,2025-09-30T20:06:38Z,2025-10-02T14:09:10+00:00,8,42.04,True,205,47,5,544,3,6,9,MERGED
10050,chore: update langchain links in docs,aimurphy,2025-09-30T20:04:16Z,2025-10-02T15:03:43+00:00,1,42.99,True,20,20,12,531,5,0,5,MERGED
10048,feat: Better support for advanced parser in File Component,erichare,2025-09-30T17:31:22Z,2025-10-03T18:01:30+00:00,1,72.5,True,78,35,6,1840,4,1,5,MERGED
10044,feat: Add container detection utilities for localhost URL transformation,mfortman11,2025-09-30T16:12:28Z,2025-09-30T17:32:31+00:00,2,1.33,True,400,1,4,706,2,2,4,MERGED
10043,fix: broadly catch exceptions when building components,jordanrfrazier,2025-09-30T15:25:49Z,2025-09-30T21:11:54+00:00,1,5.77,True,85,8,3,347,3,0,3,MERGED
10041,docs: windows desktop update issue,mendonk,2025-09-30T03:10:17Z,2025-10-01T17:33:11+00:00,2,38.38,True,43,0,3,702,7,0,7,MERGED
10034,fix: Broaden exception handling in API connection,Cristhianzl,2025-09-30T00:39:03Z,2025-09-30T19:17:32+00:00,1,18.64,True,1,4,1,1571,2,0,2,MERGED
10032,fix: Ensure `log_level` is set correctly,ogabrielluiz,2025-09-29T21:47:02Z,2025-09-30T20:52:16+00:00,4,23.09,True,2,5,2,130,3,1,4,MERGED
10030,docs: OpenAPI spec version upgraded from 1.5.1 to 1.6.0,github-actions,2025-09-29T20:06:35Z,2025-09-30T01:45:32+00:00,1,5.65,True,876,178,1,100,3,0,3,MERGED
10029,docs: windows desktop update issue,mendonk,2025-09-29T20:03:02Z,2025-09-30T01:45:32+00:00,3,5.71,True,44,0,3,696,8,3,11,MERGED
10028,fix: Update dependency versions -  pyproject.toml,HimavarshaVS,2025-09-29T19:41:00Z,2025-10-02T15:00:49+00:00,10,67.33,True,11843,4293,166,1111,4,7,11,MERGED
10026,style: Improve logo spacing and disable interaction,Cristhianzl,2025-09-29T19:23:52Z,2025-10-02T13:57:01+00:00,1,66.55,True,2,2,3,776,4,0,4,MERGED
10025,"docs: Clean unused assets, reorganize the directory structure to match the nav for easier 3rd party contribution",aimurphy,2025-09-29T19:05:25Z,2025-09-30T00:08:34+00:00,2,5.05,True,637,899,152,788,8,4,12,MERGED
10024,refactor: Move default shortcuts to customization module,Cristhianzl,2025-09-29T18:54:04Z,2025-09-30T18:06:59+00:00,2,23.22,True,140,137,2,1253,4,3,7,MERGED
10021,feat: Improve sender name resolution with ChatOutput utility,Cristhianzl,2025-09-29T15:46:53Z,2025-09-30T17:04:22+00:00,2,25.29,True,303,2,3,1641,3,0,3,MERGED
10020,chore: Exclude database files from debugger auto-reload,Cristhianzl,2025-09-29T15:39:32Z,2025-10-02T13:42:02+00:00,2,70.04,True,4,2,2,920,2,1,3,MERGED
10016,docs: adjusting the documentation based on the open api spec.,davidkgp,2025-09-28T21:07:05Z,2025-09-30T13:05:03+00:00,3,39.97,True,5,6,1,442,2,5,7,MERGED
10010,feat: Add memory order parameter to Agent component,rodrigosnader,2025-09-27T03:51:24Z,2025-10-04T02:27:54+00:00,1,166.61,False,533,49,20,1156,3,0,3,CLOSED
10009,fix: Extract text content from Message objects for agent input,rodrigosnader,2025-09-27T03:00:38Z,2025-09-30T20:21:35+00:00,3,89.35,True,15,9,1,1108,4,0,4,MERGED
10008,fix: Restore Agent memory functionality by fixing inheritance and type compatibility,rodrigosnader,2025-09-27T02:29:46Z,2025-09-29T21:48:37+00:00,2,67.31,True,54,46,18,1431,3,1,4,MERGED
10006,fix: Update Ruff issues in lfx and backend,edwinjosechittilappilly,2025-09-26T21:33:03Z,2025-09-26T22:47:04+00:00,1,1.23,True,243,287,168,1143,3,0,3,MERGED
10003,fix: Rename Component-  Smart Function into Smart Transform,deon-sanchez,2025-09-26T19:39:47Z,2025-09-30T22:34:49+00:00,3,98.92,True,57,51,26,1481,6,9,15,MERGED
10002,fix: Rename Component-  Smart Function into Smart Transform,deon-sanchez,2025-09-26T18:21:21Z,2025-09-26T19:40:28+00:00,2,1.32,False,177,232,182,1099,7,2,9,CLOSED
9998,docs: remove table styling and use default values,mendonk,2025-09-26T14:08:35Z,2025-09-26T19:51:26+00:00,1,5.71,True,0,75,1,363,4,0,4,MERGED
9991,fix: Improve docs_metadata handling in OpenSearch component,edwinjosechittilappilly,2025-09-26T06:08:02Z,2025-09-26T23:04:48+00:00,5,16.95,True,17,6,1,534,2,3,5,MERGED
9988,ci: allow releasing from branch,jordanrfrazier,2025-09-26T03:28:10Z,2025-09-30T21:10:04+00:00,3,113.7,True,1143,140,11,704,4,6,10,MERGED
9985,fix: Improve file metadata extraction and loading,edwinjosechittilappilly,2025-09-25T21:08:10Z,2025-09-26T16:05:49+00:00,2,18.96,True,1,1,1,654,2,1,3,MERGED
9984,hotfix: fixed the Issue with name as reserved keyword for action fields,Uday-sidagana,2025-09-25T15:26:23Z,2025-09-27T08:17:00+00:00,1,40.84,False,33,6,1,558,2,0,2,CLOSED
9980,chore: Update .coderabbit.yaml configuration to add pre-merge checks,ogabrielluiz,2025-09-25T13:27:21Z,2025-09-25T16:22:55+00:00,2,2.93,True,44,4,1,569,2,1,3,MERGED
9975,"feat: Consolidate Web Search, News Search, and RSS Reader into unified component",rodrigosnader,2025-09-25T02:27:54Z,2025-09-30T22:32:04+00:00,3,140.07,True,622,475,7,2004,3,3,6,MERGED
9971,style: Improve logo spacing and disable interaction,Cristhianzl,2025-09-24T17:54:02Z,2025-09-29T19:24:11+00:00,2,121.5,False,2,2,3,193,2,0,2,CLOSED
9969,refactor: Update AgentComponent to utilize MODEL_OPTIONS_METADATA from constants,ogabrielluiz,2025-09-24T17:48:49Z,2025-09-25T14:13:44+00:00,2,20.42,True,45,43,17,1036,3,0,3,MERGED
9967,fix: incorrect Placeholder in Run Flow Component (Advanced Controls),deon-sanchez,2025-09-24T15:34:53Z,2025-09-25T20:20:03+00:00,2,28.75,True,4,2,1,751,2,0,2,MERGED
9966,"fix: For every component that uses an LLM input, replace with the new LLM selector",deon-sanchez,2025-09-24T15:08:14Z,2025-09-25T17:28:09+00:00,2,26.33,True,250,165,17,2126,4,0,4,MERGED
9965,fix: type handling in file component,jordanrfrazier,2025-09-24T14:04:12Z,2025-09-24T15:04:25+00:00,1,1.0,True,380,45,31,138,2,0,2,MERGED
9962,feat: Add DataFrame to Toolset component and improve Mock Data naming,rodrigosnader,2025-09-24T03:46:14Z,2025-09-30T21:39:49+00:00,3,161.89,True,543,8,4,2324,3,9,12,MERGED
9957,refactor: Improve modal management and UI consistency,Cristhianzl,2025-09-23T20:44:36Z,2025-09-24T00:11:10+00:00,1,3.44,True,40,5,4,1081,4,0,4,MERGED
9954,feat: Keyboard shortcut Command+J for exporting flow,deon-sanchez,2025-09-23T18:59:30Z,2025-09-25T16:53:06+00:00,4,45.89,True,14,0,1,1279,4,1,5,MERGED
9953,feat: add customization layer for duplicate file functionality,italojohnny,2025-09-23T17:45:26Z,2025-09-24T00:45:58+00:00,2,7.01,True,4,1,2,616,5,0,5,MERGED
9952,fix: Bump Chroma versions for Graph RAG updates and changes,erichare,2025-09-23T16:48:05Z,2025-09-23T17:51:21+00:00,2,1.05,True,462,176,21,1396,3,1,4,MERGED
9948,fix: No Data Columns for Api Response on body table,deon-sanchez,2025-09-22T20:21:19Z,2025-09-24T17:14:42+00:00,1,44.89,True,3,1,1,585,4,0,4,MERGED
