number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
6656,[12.x] Bump Vite version,AhmedAlaa4611,2025-08-15T11:35:11Z,2025-08-15T13:58:22+00:00,1,2.39,False,1,1,1,23,0,0,0,CLOSED
6655,[12.x] Use application name from configuration,AhmedAlaa4611,2025-08-15T09:26:35Z,2025-08-15T13:59:01+00:00,2,4.54,True,1,1,1,545,0,1,1,MERGED
6645,Fix Critical Security Vulnerability in form-data Dependency,izzygld,2025-07-23T09:02:04Z,2025-07-23T14:16:57+00:00,1,5.25,True,1,1,1,1341,1,0,1,MERGED
6627,fix alphabetical order,Khuthaily,2025-06-05T21:19:24Z,2025-06-06T15:09:38+00:00,1,17.84,True,4,4,1,22,0,0,0,MERGED
6622,config/app.php timezone should be configurable based on .env var APP_TIMEZONE,developerByDay,2025-05-27T17:35:58Z,2025-05-27T18:48:59+00:00,1,1.22,False,1,1,1,275,0,0,0,CLOSED
6621,[12.x] Minor grammar improvements in README,mohammadRezaei1380,2025-05-27T13:48:32Z,2025-05-27T15:19:28+00:00,1,1.52,False,2,2,1,286,1,0,1,CLOSED
6591,[12.x] Remove obsolete driver option,AhmedAlaa4611,2025-04-01T15:29:03Z,2025-04-01T18:13:09+00:00,1,2.73,False,3,3,1,21,0,0,0,CLOSED
6571,feat: updated welcome blade template,DHANESHJOSHI,2025-03-08T19:02:23Z,2025-03-09T12:39:09+00:00,1,17.61,False,10246,42,4,36,1,0,1,CLOSED
6554,feat: add type hints for $this in routes/console.php,AJenbo,2025-02-26T22:59:00Z,2025-03-02T18:43:13+00:00,2,91.74,False,1,0,1,757,3,1,4,CLOSED
6544,Migration key was too long issue.,dev-archana-soni,2025-02-20T11:54:53Z,2025-02-20T14:42:31+00:00,1,2.79,False,2,1,1,267,2,0,2,CLOSED
6539,Re-add nunomaduro/collision,jasonmccreary,2025-02-13T18:07:40Z,2025-02-14T15:16:25+00:00,5,21.15,True,1,0,1,293,3,1,4,MERGED
6523,Upgrade to Tailwind CSS v4.0,datlechin,2025-01-23T02:12:46Z,2025-01-31T17:34:00+00:00,1,207.35,True,30,46,6,0,1,1,2,MERGED
