number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
364,Basics of JavaScripts.,Mihirpanchal123,2023-10-01T13:49:23Z,2023-10-25T10:55:35+00:00,1,573.1,False,3,0,1,108,2,0,2,CLOSED
341,Fixed a Broken Link,Rajvira10,2023-07-20T15:47:01Z,2023-08-02T16:31:15+00:00,1,312.74,True,1,1,1,192,0,0,0,MERGED
334,Create asfd,Anandhi-11,2023-06-12T15:01:37Z,2023-06-20T11:25:10+00:00,1,188.39,False,1,0,1,0,0,0,0,CLOSED
332,Update CONTRIBUTING.md,devprotim,2023-05-24T09:32:37Z,2023-06-20T11:25:34+00:00,1,649.88,True,13,14,1,91,0,0,0,MERGED
293,I made a Dutch Version,Peter-The-Great,2022-10-18T09:51:45Z,2022-12-05T16:43:07+00:00,1,1158.86,False,3,2,1,0,1,0,1,CLOSED
291,docs(index.js): modified the copy of the index.js,cristian-sbardelotto,2022-10-16T18:15:16Z,2022-11-03T10:46:33+00:00,4,424.52,False,10,2,1,0,5,3,8,CLOSED
290,Add Bengali Translation of this Repo - resolve #289,crescentpartha,2022-10-15T14:05:31Z,2022-10-20T12:27:52+00:00,1,118.37,False,70,69,1,94,5,0,5,CLOSED
288,added code of conduct file,JP-GECT,2022-10-15T07:16:54Z,2022-11-09T17:07:24+00:00,1,609.84,False,0,0,1,39,0,0,0,CLOSED
285,Add Swedish Translation,FenixHongell,2022-10-14T06:20:34Z,2023-10-02T12:15:36+00:00,1,8477.92,True,1,0,1,0,0,0,0,MERGED
224,404 Status Error,sojinsamuel,2022-07-30T07:17:02Z,2023-10-06T16:57:10+00:00,1,10401.67,True,1,0,1,221,0,0,0,MERGED
184,Added Video Links for Promises and Currying,sachindra149,2021-10-17T16:36:19Z,2021-10-18T11:30:11+00:00,1,18.9,True,5,1,1,182,0,0,0,MERGED
142,Top 3 category for JavaScript Engines section,rohitmi0023,2020-04-10T15:12:35Z,2020-11-10T11:23:46+00:00,1,5132.19,False,10,3,1,209,0,0,0,CLOSED
79,Added link to Polish translation,lipnyCzlowiek,2018-11-14T09:30:55Z,2018-11-14T11:35:16+00:00,2,2.07,True,163,171,1,0,0,1,1,MERGED
