number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
9661,💄 style: improve search experience,arvinxx,2025-10-11T13:00:21Z,2025-10-11T16:56:17+00:00,2,3.93,True,857,153,32,146,6,1,7,MERGED
9652,💄 style: add lab to support disable rich text,arvinxx,2025-10-11T08:20:01Z,2025-10-11T10:03:57+00:00,2,1.73,True,275,67,11,1114,7,2,9,MERGED
9651,🐛 fix(plugin-store): Fix search functionality for old plugin store,ONLY-yours,2025-10-11T02:56:11Z,2025-10-11T06:22:31+00:00,1,3.44,True,22,3,2,786,7,0,7,MERGED
9646,💄 style: Update infini-ai models,sxjeru,2025-10-11T00:26:28Z,2025-10-11T17:32:11+00:00,1,17.1,True,488,292,6,161,8,0,8,MERGED
9644,💄 style: add more AWS regions,edwnhoffmann,2025-10-10T22:38:05Z,2025-10-11T17:32:06+00:00,1,18.9,True,36,2,1,581,7,0,7,MERGED
9637,🐛 fix: disable rich text in markdown editor,arvinxx,2025-10-10T11:40:09Z,2025-10-11T07:59:56+00:00,1,20.33,True,278,82,23,861,7,0,7,MERGED
9627,🐛 fix(bedrock): add parameter conflict handling for Claude 4+ models,arvinxx,2025-10-10T03:10:06Z,2025-10-11T07:08:26+00:00,1,27.97,True,1011,227,38,980,15,0,15,MERGED
9625,🤖 style: update i18n,lobehubbot,2025-10-10T00:16:36Z,2025-10-10T02:08:21+00:00,1,1.86,True,450,180,36,410,7,0,7,MERGED
9612,🐛 fix: slove desktop double click & onclick all trigger problem,ONLY-yours,2025-10-09T03:47:35Z,2025-10-10T02:37:07+00:00,2,22.83,False,85,32,2,598,6,2,8,CLOSED
9611,🐛 fix: fix standalone plugin rerender issue,blueskyxi3,2025-10-09T01:41:43Z,2025-10-09T07:26:50+00:00,1,5.75,True,2,1,1,463,8,0,8,MERGED
9608,📝 docs(dev): clarify feature organization patterns in tutorial,dhofheinz,2025-10-08T21:43:00Z,2025-10-09T02:48:52+00:00,2,5.1,True,22,4,2,2430,7,0,7,MERGED
9602,🤖 style: update i18n,lobehubbot,2025-10-08T00:15:23Z,2025-10-08T05:24:29+00:00,1,5.15,True,162,0,18,382,7,0,7,MERGED
9594,💄 style: Add GPT-5 pro model,sxjeru,2025-10-07T00:40:10Z,2025-10-07T15:33:08+00:00,1,14.88,True,188,20,9,738,8,2,10,MERGED
9593,📝 docs: remove outdated nextauth server database warning,dhofheinz,2025-10-06T20:37:17Z,2025-10-07T04:20:18+00:00,2,7.72,True,0,10,2,942,7,0,7,MERGED
9587,fix: qwen image inside new api,tjx666,2025-10-06T09:52:17Z,2025-10-06T13:46:23+00:00,1,3.9,True,134,173,9,156,8,0,8,MERGED
9581,📝 docs: update Zustand import syntax for v5 compatibility,dhofheinz,2025-10-06T02:42:15Z,2025-10-06T03:53:45+00:00,2,1.19,True,1,1,1,791,7,0,7,MERGED
9580,🤖 style: update i18n,lobehubbot,2025-10-06T00:15:53Z,2025-10-06T04:23:39+00:00,1,4.13,True,270,0,18,403,7,0,7,MERGED
9568,💄 style: add promptfoo to improve prompts quality,arvinxx,2025-10-05T13:03:06Z,2025-10-05T14:24:30+00:00,2,1.36,True,1587,174,28,881,7,2,9,MERGED
