number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
2741,FEAT: ufw app profile for debian ,Gabbar-v7,2025-10-05T06:25:51Z,2025-10-05T17:18:58+00:00,1,10.89,False,236,179,9,984,0,9,9,CLOSED
2629,feat: Add background service with actionable notifications,cp90-pixel,2025-08-05T05:25:17Z,2025-09-06T12:57:37+00:00,3,775.54,False,686,0,8,1485,0,3,3,CLOSED
2509,Updated README_IT.md,LandDar,2025-06-13T15:11:51Z,2025-06-24T11:38:51+00:00,1,260.45,True,63,38,1,57,0,0,0,MERGED
2455,Update files name duplicate counter (#2391),ivansapr,2025-05-12T10:00:06Z,2025-05-14T00:12:26+00:00,2,38.21,True,13,4,2,153,1,1,2,MERGED
2416,A clean UI revamp,ReallLucky,2025-04-21T19:22:59Z,2025-05-26T16:49:53+00:00,2,837.45,True,995,797,35,679,5,1,6,MERGED
2312,i18n: improve zh-TW,realtvop,2025-02-26T05:29:16Z,2025-02-28T13:34:01+00:00,1,56.08,True,3,3,1,47,0,0,0,MERGED
2304,Update zh-CN.json,EFLKumo,2025-02-22T08:36:25Z,2025-02-23T11:14:40+00:00,1,26.64,True,23,23,1,680,2,0,2,MERGED
2204,feat: webrtc discovery,Tienisto,2025-01-09T02:18:30Z,2025-07-12T16:59:45+00:00,1,4430.69,True,31551,1208,171,12,1,0,1,MERGED
2188,feat: update turkish language,aliwert,2025-01-02T12:52:10Z,2025-01-03T21:27:11+00:00,5,32.58,True,32,27,2,6,0,1,1,MERGED
2015,Add Option for Native iOS Image Picker to Enhance Privacy Control,Lightning-Lion,2024-11-06T02:27:56Z,2024-11-21T05:39:46+00:00,5,363.2,False,734,296,26,812,4,4,8,CLOSED
1979,fix(macos): persist destination folder access across app launches,ShlomoCode,2024-10-31T01:13:44Z,2024-10-31T15:11:25+00:00,2,13.96,True,52,20,6,12,1,1,2,MERGED
1977,Update (mainly) zh-* Translations for v1.16,graphemecluster,2024-10-30T22:23:04Z,2024-10-31T00:34:39+00:00,4,2.19,True,43,43,6,239,5,4,9,MERGED
1911,Added a quick dialog that will ask the user to open the file after receiving the file,hkhatuwal,2024-10-17T07:55:51Z,2024-10-20T02:57:39+00:00,5,67.03,False,53499,29666,51,219,4,6,10,CLOSED
1875,Select Multiple APK at once (Issue: #1439),KISHORE-KUMAR-S,2024-10-08T13:38:46Z,2024-10-08T20:08:00+00:00,2,6.49,True,1170,844,10,80,5,3,8,MERGED
